method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,1,0.3,0.1,4500,500,800,1368,2168,0.5089742396376096,0.26339999999999997,0.2634,,,,,102.36148275062442,0,797,0.31375,0.0,0.5582256317138672,0.5582256317138672,0.9976516962051392,0.007130276317357346,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16149152277129086,1.4192542386143545
GREATS,mnist,1,0.3,0.1,4500,500,800,1464,2264,,0.4414,0.4414,,,,,60.109982177615166,0,797,0.45125,0.0,0.5770367980003357,0.5770367980003357,0.9932689070701599,0.007878507162270617,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16318210693296245,1.4184089465335188
MaxLoss,mnist,1,0.3,0.2,4000,1000,800,1190,1990,0.5262732356786728,0.4193,0.4193,,,,,46.80994810536504,0,797,0.44625,0.0,0.5672986507415771,0.5672986507415771,0.9915064573287964,0.007205505036831704,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15885207094667164,1.4205739645266642
Marginal,mnist,1,0.3,0.2,4000,1000,800,1256,2056,0.5427933719474822,0.25870000000000004,0.2587,,,,,48.70273980498314,0,797,0.2925,0.0,0.5599313378334045,0.5599313378334045,0.9989639520645142,0.005829797460300119,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.15514547459005032,1.4224272627049748
PU-R,mnist,1,0.3,0.2,4000,1000,800,1163,1963,0.5195058567915112,0.27690000000000003,0.2769,,,,,100.28269376978278,0,797,0.3425,0.0,0.5586295127868652,0.5586295127868652,0.9955413341522217,0.00797381263240258,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16648302127248185,1.416758489363759
GREATS,mnist,1,0.3,0.2,4000,1000,800,1103,1903,,0.3738,0.3738,,,,,58.15254567749798,0,797,0.4275,0.0,0.5863132476806641,0.5863132476806641,0.9925882816314697,0.007868793675295999,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16161944201252504,1.4191902789937374
MaxLoss,mnist,1,0.3,0.3,3500,1500,800,992,1792,0.5426286198780872,0.4232,0.4232,,,,,46.50697735417634,0,797,0.44125,0.0,0.5636183619499207,0.5636183619499207,0.9891765117645264,0.007575168913971628,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16114781076839038,1.4194260946158048
Marginal,mnist,1,0.3,0.3,3500,1500,800,1082,1882,0.5683119068853557,0.25339999999999996,0.2534,,,,,48.195316571742296,0,797,0.28125,0.0,0.5671801567077637,0.5671801567077637,0.9990012049674988,0.005722239265015561,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.15595381870579167,1.4220230906471043
PU-R,mnist,1,0.3,0.3,3500,1500,800,945,1745,0.5291835163952783,0.25149999999999995,0.2515,,,,,97.9949056878686,0,797,0.34,0.0,0.5605586767196655,0.5605586767196655,0.9959595203399658,0.00780336310099449,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1636422071143276,1.4181788964428361
GREATS,mnist,1,0.3,0.3,3500,1500,800,924,1724,,0.41579999999999995,0.4158,,,,,56.154456307180226,0,797,0.43625,0.0,0.5792945623397827,0.5792945623397827,0.9928542375564575,0.007553931158991794,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16057969307581169,1.4197101534620942
