method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight,variant,sweep_name,sweep_value,mu,global_redundancy_weight,residual_rank,gamma_value
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.29874999999999996,0.29875,,,,,0.8228175570257008,0,0,51,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402,rank=0,residual_rank,0.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1318,1422,0.4361771795665845,0.27349999999999997,0.2735,,,,,1.9613944670418277,0,0,101,0.8173076923076923,0.8269230769230769,0.7258754968643188,0.7258754968643188,0.9954508543014526,0.08528397210593362,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.271891809343039,1.3640540953284805,1.3640540953284805,rank=0,residual_rank,0.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1292,1496,0.45757957780733705,0.35150000000000003,0.3515,,,,,5.584109539981,0,1,201,0.7745098039215687,0.8333333333333334,0.7978479862213135,0.7978479862213135,0.9935411214828491,0.05824957428307369,0.729064039408867,0.8817733990147784,0.729064039408867,0.9901960784313726,0.00980392156862745,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.2269024328041661,1.386548783597917,1.386548783597917,rank=0,residual_rank,0.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1374,1428,0.4379146413411945,0.30074999999999996,0.30075,,,,,0.8209684160538018,0,0,51,0.7962962962962963,0.8703703703703703,0.7108391523361206,0.7108391523361206,0.9969426989555359,0.12670139996510632,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.30101341613578414,1.3494932919321079,1.3494932919321079,rank=32,residual_rank,32.0,1.0,1.0,32,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1311,1415,0.4341496617998928,0.274,0.274,,,,,1.9409493840066716,0,0,101,0.8269230769230769,0.8269230769230769,0.7247312664985657,0.7247312664985657,0.9954643845558167,0.09530283930232224,0.7184466019417476,0.7281553398058253,0.6990291262135923,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.2732793359131491,1.3633603320434253,1.3633603320434253,rank=32,residual_rank,32.0,1.0,1.0,32,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1289,1493,0.4567130201612599,0.351,0.351,,,,,5.403323868056759,0,1,201,0.7745098039215687,0.8284313725490197,0.796947181224823,0.796947181224823,0.9933151006698608,0.08319714768179531,0.7142857142857143,0.7684729064039408,0.6995073891625616,0.9901960784313726,0.00980392156862745,0.8284313725490197,0.6612805854775594,0.1715686274509804,0.22931211867841161,1.3853439406607941,1.3853439406607941,rank=32,residual_rank,32.0,1.0,1.0,32,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.29874999999999996,0.29875,,,,,0.8212116499198601,0,0,51,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402,rank=64,residual_rank,64.0,1.0,1.0,64,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1317,1421,0.4358875657781027,0.27475000000000005,0.27475,,,,,1.9738448068965226,0,0,101,0.8269230769230769,0.8365384615384616,0.726047158241272,0.726047158241272,0.9954624176025391,0.08684458894637025,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8365384615384616,0.6425267139094082,0.16346153846153846,0.2718538729733875,1.3640730635133063,1.3640730635133063,rank=64,residual_rank,64.0,1.0,1.0,64,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1281,1485,0.4544017445878126,0.34950000000000003,0.3495,,,,,5.4796854929300025,0,1,201,0.7696078431372549,0.8284313725490197,0.7973166108131409,0.7973166108131409,0.9933371543884277,0.0696251075256047,0.7241379310344828,0.8522167487684729,0.7192118226600985,0.9901960784313726,0.00980392156862745,0.8284313725490197,0.6612805854775594,0.1715686274509804,0.2280799734399416,1.3859600132800292,1.3859600132800292,rank=64,residual_rank,64.0,1.0,1.0,64,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.29874999999999996,0.29875,,,,,0.8262979190330952,0,0,51,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402,rank=128,residual_rank,128.0,1.0,1.0,128,0.6931471805599453
