method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
Marginal,mnist,0,0.3,0.0,5000,0,800,1631,2431,0.5121135836816393,0.24139999999999995,0.7142973209852282,0.32631,0.48710316668298714,559.8622757786709,15.261369253043085,0,797,0.29875,0.0,0.5724042654037476
MaxLoss,mnist,0,0.3,0.2,4000,1000,800,1177,1977,0.5230155300814658,0.40149999999999997,0.7611554323294721,0.295125,0.4541042607098097,858.5909103182679,9.787383848102763,0,797,0.455,0.0,0.5736633539199829
PU-R,mnist,0,0.3,0.2,4000,1000,800,1205,2005,0.5300305986311287,0.2469,0.7237292586432531,0.3007125,0.4600729485318635,605.2141122788089,70.51711834408343,0,797,0.30875,0.0,0.5594743490219116
PU-C,mnist,0,0.3,0.2,4000,1000,800,1212,2012,0.5317834741435945,0.24180000000000001,0.7323903506382857,0.302825,0.46232304187549395,641.651235546469,22.93257917603478,0,797,0.3275,0.0,0.5647847056388855
Marginal,mnist,0,0.3,0.2,4000,1000,800,1276,2076,0.5477931997156702,0.2502,0.7426235482348068,0.31906,0.4794985512224012,619.0425123318282,12.880906771868467,0,797,0.315,0.0,0.5586017966270447
MaxLoss,mnist,0,0.3,0.4,3000,2000,800,688,1488,0.5288709739106707,0.36719999999999997,0.7489917373505703,0.22646000000000005,0.3785328141208821,907.2516138561361,8.719684879062697,0,797,0.42875,0.0,0.5589221119880676
PU-R,mnist,0,0.3,0.4,3000,2000,800,785,1585,0.5612118717981502,0.2369,0.7304051956800589,0.26164666666666664,0.41779513667537727,636.5224023101317,65.50392267014831,0,797,0.31375,0.0,0.5661280751228333
PU-C,mnist,0,0.3,0.4,3000,2000,800,790,1590,0.5628751351032406,0.2217,0.7301188182384056,0.26291666666666663,0.41919033052264265,629.6170635813261,18.525872197002172,0,797,0.305,0.0,0.5624094605445862
Marginal,mnist,0,0.3,0.4,3000,2000,800,828,1628,0.5755036990740336,0.24560000000000004,0.7479035181533135,0.27613,0.4336211327436383,658.215405802483,11.129383861087263,0,797,0.29875,0.0,0.5662975907325745
MaxLoss,mnist,0,0.3,0.6,2000,3000,800,264,1064,0.5716252151760273,0.39270000000000005,0.7216417992720469,0.13125499999999996,0.2649494525964208,888.7136708423251,7.121494599152356,0,797,0.43,0.0,0.5676149725914001
PU-R,mnist,0,0.3,0.6,2000,3000,800,365,1165,0.6217355079716071,0.2571,0.7172044779227869,0.18268,0.32783767949333437,642.7472243244607,59.89870281680487,0,797,0.33375,0.0,0.566329836845398
PU-C,mnist,0,0.3,0.6,2000,3000,800,358,1158,0.6182762394309975,0.25870000000000004,0.7135341073763957,0.179155,0.3236537928830131,642.4997866987467,13.533361453097314,0,797,0.335,0.0,0.559334933757782
Marginal,mnist,0,0.3,0.6,2000,3000,800,418,1218,0.6478589202743024,0.23760000000000003,0.734192568962745,0.20891500000000002,0.35848321518652376,608.6020021255752,8.827575992094353,0,797,0.30125,0.0,0.5636011362075806
MaxLoss,mnist,0,0.3,0.8,1000,4000,593,0,593,0.6466122942510992,0.33899999999999997,0.6227529480818091,0.0005700000000000005,0.05463657233891179,728.0216140056052,4.353977913968265,1,590,0.43844856661045534,0.0,0.572067141532898
PU-R,mnist,0,0.3,0.8,1000,4000,775,0,775,0.8203169615590014,0.3365,0.6157000813067128,0.003450000000000003,0.06458470783529997,678.9909745252704,51.87106915703043,1,772,0.40258064516129033,0.0,0.5720950961112976
PU-C,mnist,0,0.3,0.8,1000,4000,763,0,763,0.8091868337360211,0.3288,0.5929843845963454,9.000000000000007e-05,0.05223693022448489,666.6968720631492,8.665270321071148,1,760,0.40235910878112713,0.0,0.5813554525375366
Marginal,mnist,0,0.3,0.8,1000,4000,800,13,813,0.8551631393493153,0.3528,0.660470180286773,0.013930000000000014,0.08979415606662518,710.8846017489092,6.622140513034537,0,797,0.3825,0.0,0.577264130115509
MaxLoss,mnist,1,0.0,0.0,5000,0,465,0,465,0.10748273663921282,0.044300000000000006,0.22777545106599514,0.0005859999999999898,0.05470697150502518,557.318007646481,6.711017617955804,1,462,0.0,0.0,0.5782468318939209
PU-R,mnist,1,0.0,0.0,5000,0,696,0,696,0.15657658921554685,0.04169999999999996,0.22921684823638938,0.00012999999999999346,0.05247337363649247,582.946641789442,47.11471586790867,1,693,0.0,0.0,0.568524956703186
PU-C,mnist,1,0.0,0.0,5000,0,687,0,687,0.15467773930868134,0.04079999999999995,0.22991951645497352,0.00014999999999999237,0.05258703511371194,585.5076894005059,13.107429050141945,1,684,0.0,0.0,0.5590628981590271
Marginal,mnist,1,0.0,0.0,5000,0,800,98,898,0.19896726467413828,0.04800000000000004,0.2970052041560499,0.01959999999999996,0.10115659146981265,551.4230168072729,12.544797057053074,0,797,0.0,0.0,0.5566045045852661
MaxLoss,mnist,1,0.0,0.2,4000,1000,430,0,430,0.12473192939069122,0.05359999999999998,0.2357669035557398,0.00011749999999999039,0.05240091222429528,491.7379671475012,5.39078843803145,1,427,0.0,0.0,0.5699016451835632
PU-R,mnist,1,0.0,0.2,4000,1000,582,0,582,0.16520490346010774,0.048799999999999955,0.23304604194552575,0.0001349999999999918,0.052502039998395374,480.0113606702899,31.138211000012234,1,579,0.0,0.0,0.5673930048942566
PU-C,mnist,1,0.0,0.2,4000,1000,611,0,611,0.17287055810447782,0.04569999999999996,0.23753465018700787,2.4999999999997245e-06,0.05163008307504519,504.30433870087006,10.047787904040888,1,608,0.0,0.0,0.5593845844268799
Marginal,mnist,1,0.0,0.2,4000,1000,800,28,828,0.22979030589340255,0.04830000000000001,0.28098424351509504,0.007000000000000006,0.07412559802344128,533.1558813697618,10.753843714948744,0,797,0.0,0.0,0.5646136999130249
MaxLoss,mnist,1,0.0,0.4,3000,2000,363,0,363,0.14187005965504795,0.0524,0.2575111021359683,0.0002566666666666606,0.05315766824830421,430.93686579844456,4.107884052908048,1,360,0.0,0.0,0.5787456035614014
PU-R,mnist,1,0.0,0.4,3000,2000,494,0,494,0.18849262921139598,0.04690000000000005,0.2679759784747341,0.00033666666666666735,0.053557461115466276,462.6604208053604,21.200828592991456,1,491,0.0,0.0,0.5692688822746277
PU-C,mnist,1,0.0,0.4,3000,2000,507,0,507,0.1930838503758423,0.052200000000000024,0.26064301127743333,0.00031999999999999694,0.053475743627087347,439.26591670492616,7.485784800024703,1,504,0.0,0.0,0.5708931684494019
Marginal,mnist,1,0.0,0.4,3000,2000,714,0,714,0.2655252100666985,0.051000000000000045,0.2794025189396451,0.0008966666666666867,0.056008824700686306,486.6436178158689,8.662404394941404,1,711,0.0,0.0,0.5591580867767334
MaxLoss,mnist,1,0.0,0.6,2000,3000,278,0,278,0.16595797869376838,0.06130000000000002,0.29404641008981003,7.99999999999923e-05,0.05217546604047957,370.214095912831,2.6059696751181036,1,275,0.0,0.0,0.5809783339500427
PU-R,mnist,1,0.0,0.6,2000,3000,387,0,387,0.2243675067438744,0.05600000000000005,0.3072510669761112,2.9999999999996697e-05,0.0518460690403369,402.800388120034,12.151462787995115,1,384,0.0,0.0,0.5701245665550232
PU-C,mnist,1,0.0,0.6,2000,3000,385,0,385,0.22330507746664807,0.054200000000000026,0.3024288172904483,0.0,0.051604029648496474,392.28965815058086,4.763402715092525,1,382,0.0,0.0,0.5738865733146667
Marginal,mnist,1,0.0,0.6,2000,3000,555,0,555,0.3126452741562389,0.06240000000000001,0.3206445526300675,0.0011199999999999888,0.05688511172001015,414.1768629777118,5.653231468982995,1,552,0.0,0.0,0.5650745034217834
MaxLoss,mnist,1,0.0,0.8,1000,4000,179,0,179,0.22080486710183322,0.08089999999999997,0.37526276492165833,0.0009800000000000008,0.05634072121874684,274.86398896364267,1.4171264478936791,1,176,0.0,0.0,0.5872122645378113
PU-R,mnist,1,0.0,0.8,1000,4000,224,0,224,0.26943536213366315,0.07520000000000004,0.3773085933976789,0.0002100000000000002,0.05291433072342294,285.7057040224738,4.046116757905111,1,221,0.0,0.0,0.5761405229568481
PU-C,mnist,1,0.0,0.8,1000,4000,219,0,219,0.2640715489978902,0.08050000000000002,0.3823136361832364,0.00020000000000000017,0.05286101809387794,292.7798516578709,2.1870749299414456,1,216,0.0,0.0,0.5832682251930237
Marginal,mnist,1,0.0,0.8,1000,4000,358,0,358,0.4102698650676757,0.08230000000000004,0.40049343613570526,0.0003600000000000003,0.05367062525063265,316.6156450224221,3.012597706867382,1,355,0.0,0.0,0.5745107531547546
