method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.0,0.5,100,100,2500,2500,104,465,569,0.25712205801391974,0.1995,0.1995,,,,,1.5091427061706781,0,1,101,0.0,0.0,0.5915361642837524,0.5915361642837524,0.9813053607940674,0.04850339636351298,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23643182733966325,1.3817840863301685
GREATS,mnist,0,0.0,0.5,100,100,2500,2500,104,436,540,,0.19410000000000005,0.1941,,,,,1.4190433332696557,0,1,101,0.0,0.0,0.6239371299743652,0.6239371299743652,0.9792066812515259,0.05341210360955266,0.9611650485436893,0.9805825242718447,0.9611650485436893,0.0,0.0,0.2390248988419745,1.3804875505790126
MaxLoss,mnist,0,0.0,0.6,100,100,2000,3000,104,350,454,0.25979037903016433,0.17620000000000002,0.1762,,,,,0.9157098010182381,0,1,101,0.0,0.0,0.5702341794967651,0.5702341794967651,0.9888684749603271,0.05753598731119656,0.941747572815534,0.9611650485436893,0.9320388349514563,0.0,0.0,0.25482537113447123,1.3725873144327645
Marginal,mnist,0,0.0,0.6,100,100,2000,3000,104,377,481,0.2739797116955742,0.18730000000000002,0.1873,,,,,1.01994046010077,0,1,101,0.0,0.0,0.5962242484092712,0.5962242484092712,0.9958605766296387,0.03161674434120215,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.205626198980541,1.3971869005097295
PU-R,mnist,0,0.0,0.6,100,100,2000,3000,104,283,387,0.2243675067438744,0.17020000000000002,0.1702,,,,,1.4123207861557603,0,1,101,0.0,0.0,0.581063985824585,0.581063985824585,0.9868710041046143,0.04843210215562756,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.23822340961414035,1.3808882951929298
GREATS,mnist,0,0.0,0.6,100,100,2000,3000,104,224,328,,0.13560000000000005,0.1356,,,,,1.3025049231946468,0,1,101,0.0,0.0,0.6314461827278137,0.6314461827278137,0.9731800556182861,0.05150391313346844,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23622689907491504,1.3818865504625424
MaxLoss,mnist,0,0.0,0.7,100,100,1500,3500,104,224,328,0.2557627640198916,0.17279999999999995,0.1728,,,,,0.8901686053723097,0,1,101,0.0,0.0,0.5849703550338745,0.5849703550338745,0.9834944605827332,0.049952057389162696,0.9805825242718447,0.9805825242718447,0.970873786407767,0.0,0.0,0.23812507792798676,1.3809374610360066
Marginal,mnist,0,0.0,0.7,100,100,1500,3500,104,276,380,0.29241014481522143,0.20309999999999995,0.2031,,,,,0.9789647711440921,0,1,101,0.0,0.0,0.5970022678375244,0.5970022678375244,0.994236946105957,0.033926368989412065,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.20952754905478974,1.3952362254726052
PU-R,mnist,0,0.0,0.7,100,100,1500,3500,104,182,286,0.22589294606586918,0.14380000000000004,0.1438,,,,,1.329299433156848,0,1,101,0.0,0.0,0.5993373394012451,0.5993373394012451,0.9885428547859192,0.047642554943133325,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23391226717881478,1.3830438664105926
GREATS,mnist,0,0.0,0.7,100,100,1500,3500,104,168,272,,0.1632,0.1632,,,,,1.2158274138346314,0,1,101,0.0,0.0,0.6246522068977356,0.6246522068977356,0.9808331727981567,0.04585318983469194,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.22760176512643482,1.3861991174367825
MaxLoss,mnist,0,0.0,0.8,100,100,1000,4000,104,90,194,0.23710802366258577,0.12619999999999998,0.1262,,,,,0.8496827650815248,0,1,101,0.0,0.0,0.5763082504272461,0.5763082504272461,0.9780945181846619,0.05289930786973643,0.970873786407767,0.970873786407767,0.9514563106796117,0.0,0.0,0.24591058094003865,1.3770447095299807
Marginal,mnist,0,0.0,0.8,100,100,1000,4000,104,165,269,0.3173218587762676,0.19199999999999995,0.192,,,,,0.9257197827100754,0,1,101,0.0,0.0,0.6087052822113037,0.6087052822113037,0.994989275932312,0.03431365320694099,0.9805825242718447,0.9805825242718447,0.970873786407767,0.0,0.0,0.20772711153841153,1.3961364442307942
PU-R,mnist,0,0.0,0.8,100,100,1000,4000,104,134,238,0.284406234160997,0.17610000000000003,0.1761,,,,,1.2591444794088602,0,1,101,0.0,0.0,0.585203230381012,0.585203230381012,0.985938310623169,0.04775004024680668,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.23558914198646327,1.3822054290067682
