method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,1,0.0,0.4,100,100,600,400,104,14,118,0.2521851190831512,0.11739999999999995,0.47530765193473673,0.02163333333333333,0.1050268014218146,184.357237757746,0.9003413349855691,0,1,101,0.0,0.0,0.5844664573669434
Marginal,mnist,1,0.0,0.4,50,50,600,400,54,141,195,0.3899617313873023,0.2621,0.6953259969731707,0.24134999999999995,0.39529464387569474,107.52547532774439,0.5120125759858638,0,0,51,0.0,0.0,0.5885617733001709
Marginal,mnist,1,0.0,0.4,100,100,600,400,104,87,191,0.3829581480822526,0.19840000000000002,0.6514752539713394,0.1464833333333333,0.28402116645264236,160.55862029519463,0.981755156069994,0,1,101,0.0,0.0,0.5903477072715759
PU-C,mnist,1,0.0,0.4,50,50,600,400,54,103,157,0.32279596850275993,0.20830000000000004,0.6081368024491429,0.17168333333333333,0.31472959362727726,98.17006466554689,0.5589944438543171,0,0,51,0.0,0.0,0.589942216873169
PU-C,mnist,1,0.0,0.4,100,100,600,400,104,39,143,0.297665253339801,0.12570000000000003,0.529583112033127,0.06564999999999999,0.17638609516088416,153.17816148666142,1.0738626660313457,0,1,101,0.0,0.0,0.5972127914428711
PU-F,mnist,1,0.0,0.4,50,50,600,400,54,123,177,0.3583260510931723,0.23060000000000003,0.6669523748927491,0.20424999999999996,0.35309453323932133,115.71276629773901,0.7297426799777895,0,0,51,0.0,0.0,0.618395984172821
PU-F,mnist,1,0.0,0.4,100,100,600,400,104,44,148,0.30666646955069155,0.11329999999999996,0.5728603446735395,0.06908333333333334,0.18137849987333218,187.11200616295477,1.338813123991713,0,1,101,0.0,0.0,0.5975823402404785
MaxLoss,mnist,1,0.0,0.6,50,50,400,600,54,44,98,0.3178105974220671,0.1987,0.62593656212959,0.11377500000000002,0.24249292741691136,114.77963712105728,0.4127016991842538,0,0,51,0.0,0.0,0.5824669599533081
MaxLoss,mnist,1,0.0,0.6,100,95,400,600,99,0,99,0.32053921528859064,0.12139999999999995,0.4939163269850883,0.000249999999999998,0.0531234156866019,182.85265110207527,0.7595597431063652,1,0,96,0.0,0.0,0.5801998376846313
Marginal,mnist,1,0.0,0.6,50,50,400,600,54,66,120,0.3771557617583312,0.22219999999999995,0.6534006652804473,0.16407500000000003,0.3055607701544921,93.09923117382951,0.447639639955014,0,0,51,0.0,0.0,0.5847700238227844
Marginal,mnist,1,0.0,0.6,100,100,400,600,104,42,146,0.4456372421118431,0.1825,0.6523074796101732,0.10625000000000001,0.2326130506404914,140.02379505828827,0.8592171689961106,0,1,101,0.0,0.0,0.5929266214370728
PU-C,mnist,1,0.0,0.6,50,50,400,600,54,53,107,0.3422575832810253,0.17049999999999998,0.630739667376718,0.132325,0.266303601633186,102.6103876541969,0.49181911000050604,0,0,51,0.0,0.0,0.5841622948646545
PU-C,mnist,1,0.0,0.6,100,100,400,600,104,3,107,0.3422575832810253,0.11619999999999997,0.5124827077545477,0.00982499999999999,0.08083945236216666,166.38969902002896,0.9451966499909759,0,1,101,0.0,0.0,0.5824823975563049
PU-F,mnist,1,0.0,0.6,50,50,400,600,54,58,112,0.35573573008878157,0.21860000000000002,0.6558955496872505,0.14679999999999999,0.2844133625909201,107.46830733944807,0.5890576061792672,0,0,51,0.0,0.0,0.5989401936531067
PU-F,mnist,1,0.0,0.6,100,93,400,600,97,0,97,0.31507881137076765,0.12729999999999997,0.49002548492988185,0.0021749999999999747,0.06061429681503611,171.82222996858656,1.0216714250855148,1,0,94,0.0,0.0,0.5886504054069519
MaxLoss,mnist,1,0.0,0.8,50,50,200,800,54,6,60,0.4074783129617572,0.1824,0.654082813384662,0.033000000000000036,0.1253057422073906,114.17870835152051,0.4055472898762673,0,0,51,0.0,0.0,0.5909255146980286
MaxLoss,mnist,1,0.0,0.8,100,61,200,800,65,0,65,0.43433705548522994,0.1623,0.6191883552128635,0.0025500000000000024,0.06182874208505968,133.9903185318595,0.5325301408302039,1,0,62,0.0,0.0,0.5888893008232117
