method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,1,0.1,0.0,50,50,3000,0,54,241,295,0.11735166853759438,0.07320000000000004,0.42324091598857194,0,0,51,0.16666666666666666,0.35185185185185186,0.7586361765861511
PU-G,1,0.1,0.0,100,100,3000,0,104,124,228,0.09289913187967613,0.052100000000000035,0.6133416250231676,0,0,101,0.11538461538461539,0.25,0.6506369113922119
PU-G,1,0.1,0.0,200,200,3000,0,204,17,221,0.09032332972856238,0.0040999999999999925,1.069530249980744,0,1,201,0.11274509803921569,0.35294117647058826,0.5839153528213501
MaxLoss,1,0.2,0.0,50,50,3000,0,54,573,627,0.23521893582073972,0.16720000000000002,0.14730675000464544,0,0,51,0.35185185185185186,0.3888888888888889,0.7266601920127869
MaxLoss,1,0.2,0.0,100,100,3000,0,104,558,662,0.24743344442686066,0.1713,0.2692480420228094,0,0,101,0.28846153846153844,0.4326923076923077,0.7332141995429993
MaxLoss,1,0.2,0.0,200,200,3000,0,204,267,471,0.18035547027830034,0.08430000000000004,0.4299326670006849,0,1,201,0.2107843137254902,0.37745098039215685,0.5675563216209412
PU-C,1,0.2,0.0,50,50,3000,0,54,501,555,0.20998881832929328,0.14290000000000003,0.2252162920194678,0,0,51,0.2777777777777778,0.3333333333333333,0.8425629138946533
PU-C,1,0.2,0.0,100,100,3000,0,104,430,534,0.20260177814634517,0.12380000000000002,0.4794770000153221,0,0,101,0.2403846153846154,0.38461538461538464,0.7392759323120117
PU-C,1,0.2,0.0,200,200,3000,0,204,160,364,0.14222877041902393,0.050000000000000044,1.0121109170140699,0,1,201,0.22058823529411764,0.38235294117647056,0.5045360922813416
PU-F,1,0.2,0.0,50,50,3000,0,54,282,336,0.1321655985666439,0.0655,0.48150833399267867,0,0,51,0.2962962962962963,0.3888888888888889,0.7025543451309204
PU-F,1,0.2,0.0,100,100,3000,0,104,194,298,0.11843906552530825,0.04690000000000005,1.1232433749828488,0,0,101,0.2403846153846154,0.46153846153846156,0.7351464629173279
PU-F,1,0.2,0.0,200,200,3000,0,204,310,514,0.1955537197063677,0.07540000000000002,2.2493657920276746,0,1,201,0.23039215686274508,0.3872549019607843,0.5677165389060974
PU-G,1,0.2,0.0,50,50,3000,0,54,418,472,0.1807096485281363,0.11550000000000005,0.41560266696615145,0,0,51,0.37037037037037035,0.46296296296296297,0.8441287279129028
PU-G,1,0.2,0.0,100,100,3000,0,104,389,493,0.1881392219220288,0.11050000000000004,1.0338909169659019,0,0,101,0.19230769230769232,0.3269230769230769,0.8124089241027832
PU-G,1,0.2,0.0,200,200,3000,0,204,263,467,0.17893839586758986,0.0786,2.2112104580155574,0,1,201,0.22058823529411764,0.3431372549019608,0.5649540424346924
MaxLoss,1,0.3,0.0,50,50,3000,0,54,628,682,0.2543994504958391,0.1523,0.16203845798736438,0,0,51,0.35185185185185186,0.4444444444444444,0.7438908815383911
MaxLoss,1,0.3,0.0,100,100,3000,0,104,555,659,0.24638769769808277,0.13490000000000002,0.26133866602322087,0,0,101,0.28846153846153844,0.4326923076923077,0.8074116110801697
MaxLoss,1,0.3,0.0,200,200,3000,0,204,253,457,0.17539314867462963,0.09240000000000004,0.422174500010442,0,1,201,0.27941176470588236,0.4215686274509804,0.38358327746391296
PU-C,1,0.3,0.0,50,50,3000,0,54,511,565,0.2135017917607911,0.1169,0.22079908300656825,0,0,51,0.2962962962962963,0.3148148148148148,0.7951171398162842
PU-C,1,0.3,0.0,100,100,3000,0,104,464,568,0.2145551101421006,0.10929999999999995,0.46645183296641335,0,0,101,0.27884615384615385,0.4230769230769231,0.800456702709198
PU-C,1,0.3,0.0,200,200,3000,0,204,126,330,0.13000379299046472,0.041100000000000025,1.0294411669601686,0,1,201,0.29411764705882354,0.4411764705882353,0.7361111044883728
PU-F,1,0.3,0.0,50,50,3000,0,54,528,582,0.21946715575177222,0.12039999999999995,0.5521758330287412,0,0,51,0.4444444444444444,0.5,0.7463998198509216
PU-F,1,0.3,0.0,100,100,3000,0,104,483,587,0.22122010361636057,0.11129999999999995,1.2553854580037296,0,0,101,0.3076923076923077,0.5192307692307693,0.7378748059272766
PU-F,1,0.3,0.0,200,200,3000,0,204,235,439,0.16900222492404282,0.07320000000000004,2.5946515830000862,0,1,201,0.27450980392156865,0.47549019607843135,0.620417594909668
PU-G,1,0.3,0.0,50,50,3000,0,54,363,417,0.16117378696799278,0.09530000000000005,0.5549805000191554,0,0,51,0.37037037037037035,0.4444444444444444,0.7305052876472473
PU-G,1,0.3,0.0,100,100,3000,0,104,410,514,0.1955537197063677,0.10970000000000002,1.1985318750375882,0,0,101,0.4519230769230769,0.5192307692307693,0.6877450346946716
PU-G,1,0.3,0.0,200,200,3000,0,204,291,495,0.18884600239107385,0.07820000000000005,2.5072700420278125,0,1,201,0.3137254901960784,0.4411764705882353,0.6480521559715271
MaxLoss,1,0.4,0.0,50,50,3000,0,54,552,606,0.22787495696684346,0.16100000000000003,0.17481470794882625,0,0,51,0.35185185185185186,0.37037037037037035,0.7092602849006653
MaxLoss,1,0.4,0.0,100,100,3000,0,104,515,619,0.23242261295672506,0.1552,0.2680881659616716,0,0,101,0.36538461538461536,0.375,0.7088348865509033
MaxLoss,1,0.4,0.0,200,200,3000,0,204,240,444,0.17077872878871858,0.05810000000000004,0.42962995800189674,0,1,201,0.27941176470588236,0.3382352941176471,0.4425799548625946
PU-C,1,0.4,0.0,50,50,3000,0,54,550,604,0.22717491316143423,0.15839999999999999,0.24302975001046434,0,0,51,0.3333333333333333,0.35185185185185186,0.8264586925506592
PU-C,1,0.4,0.0,100,100,3000,0,104,489,593,0.22332271496998146,0.14770000000000005,0.4999154169927351,0,0,101,0.33653846153846156,0.38461538461538464,0.7992199659347534
PU-C,1,0.4,0.0,200,200,3000,0,204,310,514,0.1955537197063677,0.09389999999999998,1.0434759589843452,0,1,201,0.25980392156862747,0.31862745098039214,0.547444760799408
PU-F,1,0.4,0.0,50,50,3000,0,54,564,618,0.23207295371685177,0.134,0.7021844999981113,0,0,51,0.3888888888888889,0.4074074074074074,0.7184191346168518
PU-F,1,0.4,0.0,100,100,3000,0,104,454,558,0.2110430212924257,0.10460000000000003,1.427473874995485,0,0,101,0.27884615384615385,0.4423076923076923,0.6456981897354126
PU-F,1,0.4,0.0,200,200,3000,0,204,304,508,0.19343678752193227,0.0947,2.770047792000696,0,1,201,0.3088235294117647,0.43137254901960786,0.6449137926101685
PU-G,1,0.4,0.0,50,50,3000,0,54,646,700,0.2606606413028203,0.1602,0.5887444170075469,0,0,51,0.46296296296296297,0.48148148148148145,0.7749407291412354
PU-G,1,0.4,0.0,100,100,3000,0,104,626,730,0.27107922051800415,0.15710000000000002,1.2651014580042101,0,0,101,0.40384615384615385,0.46153846153846156,0.7951882481575012
PU-G,1,0.4,0.0,200,200,3000,0,204,349,553,0.2092858671094291,0.10070000000000001,2.5662773750373162,0,1,201,0.27450980392156865,0.3872549019607843,0.543298065662384
MaxLoss,2,0.0,0.0,50,50,3000,0,54,105,159,0.06728066253708676,0.03949999999999998,0.1621588749694638,0,0,51,0.0,0.018518518518518517,0.7432742714881897
MaxLoss,2,0.0,0.0,100,100,3000,0,104,11,115,0.05059218790847808,0.019000000000000017,0.26393637497676536,0,0,101,0.0,0.057692307692307696,0.8084639310836792
MaxLoss,2,0.0,0.0,200,116,3000,0,120,0,120,0.05250743729993701,0.01529999999999998,0.2872695829719305,1,0,117,0.0,0.08333333333333333,0.8049110770225525
PU-C,2,0.0,0.0,50,50,3000,0,54,68,122,0.05327200022293255,0.02739999999999998,0.09558066597674042,0,0,51,0.0,0.037037037037037035,0.7947244048118591
PU-C,2,0.0,0.0,100,100,3000,0,104,15,119,0.052124831709079444,0.017900000000000027,0.18437199998879805,0,0,101,0.0,0.0673076923076923,0.8154836297035217
PU-C,2,0.0,0.0,200,112,3000,0,116,0,116,0.050975687336176634,0.01629999999999998,0.20808658300666139,1,0,113,0.0,0.10344827586206896,0.8112581968307495
PU-F,2,0.0,0.0,50,50,3000,0,54,103,157,0.06652925873640925,0.03820000000000001,0.18610695796087384,0,0,51,0.0,0.05555555555555555,0.8239860534667969
