method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
PU-C,0.2,0.0,100,10,100.0,0.0,104.0,0.0,380.9,41.6208948592998,484.9,41.6208948592998,0.18497905986150726,0.014790789617950158,0.10682,0.011238038579356768,0.5357783254003152,0.07115629826105101,0.0,0.0,0.0,0.0,101.0,0.0,0.2625,0.008364095096602488,0.34423076923076923,0.009377396691235763,0.7857419073581695,0.015714477834282325
PU-C,0.2,0.0,200,10,200.0,0.0,204.0,0.0,147.0,23.278984323013557,351.0,23.278984323013557,0.13743443064158783,0.008367415945345865,0.04377000000000001,0.004557973477568972,1.0641567001992371,0.0696120020654017,0.0,0.0,1.0,0.0,201.0,0.0,0.24950980392156863,0.007783336839094482,0.36911764705882355,0.009273505636380852,0.5561033308506012,0.03752207322942059
PU-C,0.2,0.0,50,10,50.0,0.0,54.0,0.0,483.6,34.15559170098572,537.6,34.15559170098572,0.2036973906797357,0.012058788763507291,0.1331,0.009574317498159101,0.3024099375063088,0.07023673831734728,0.0,0.0,0.0,0.0,51.0,0.0,0.2518518518518518,0.030139643495638774,0.30555555555555547,0.014930106941293608,0.795063054561615,0.014920445970510527
PU-C,0.3,0.0,100,10,100.0,0.0,104.0,0.0,460.2,29.24524652733234,564.2,29.24524652733234,0.21310408080462367,0.010289007077455324,0.11606000000000001,0.008583656304603268,0.4851435207063332,0.009366841816920695,0.0,0.0,0.0,0.0,101.0,0.0,0.30288461538461536,0.013692313694419119,0.3894230769230769,0.01961423241127467,0.770678573846817,0.019601595707557682
PU-C,0.3,0.0,200,10,200.0,0.0,204.0,0.0,203.2,20.666559139505218,407.2,20.666559139505218,0.15759758736821822,0.007370867928536462,0.055840000000000015,0.0069541546335026684,1.0144658333039842,0.008320573336019077,0.0,0.0,1.0,0.0,201.0,0.0,0.2754901960784314,0.008196036734630359,0.37499999999999994,0.013927282573437932,0.5616871744394303,0.03442727777254568
PU-C,0.3,0.0,50,10,50.0,0.0,54.0,0.0,546.2,22.043290740419557,600.2,22.043290740419557,0.2257825119944755,0.007734228848977984,0.13391000000000003,0.007671237043513759,0.24873653751565145,0.008332739591979858,0.0,0.0,0.0,0.0,51.0,0.0,0.3222222222222222,0.03162036660460665,0.3759259259259259,0.039626552705442054,0.7683220386505127,0.014644124729851526
PU-C,0.4,0.0,100,10,100.0,0.0,104.0,0.0,489.7,17.994474460542357,593.7,17.994474460542357,0.2235265138966497,0.006313631697030489,0.13884000000000002,0.00512703509729443,0.4889161874074489,0.0076340413683970015,0.0,0.0,0.0,0.0,101.0,0.0,0.3134615384615384,0.015583648437363101,0.3769230769230769,0.018512216766914936,0.7954995930194855,0.01631855279452433
PU-C,0.4,0.0,200,10,200.0,0.0,204.0,0.0,291.9,15.708773203390376,495.9,15.708773203390376,0.18912416184321046,0.005568783107324618,0.08557999999999996,0.004890848597125042,1.0190956165955867,0.0105765485731413,0.0,0.0,1.0,0.0,201.0,0.0,0.3024509803921569,0.007381932678481382,0.3779411764705882,0.012666297370119935,0.4470448136329651,0.02292533138595794
PU-C,0.4,0.0,50,10,50.0,0.0,54.0,0.0,587.6,64.95335078175549,641.6,64.95335078175549,0.23989029093645514,0.022429539544196204,0.16734,0.025346107305768983,0.2447921791113913,0.0046359961862034995,0.0,0.0,0.0,0.0,51.0,0.0,0.3388888888888889,0.0227726749946873,0.3592592592592593,0.022119102305146812,0.7819618582725525,0.01689172199230236
PU-F,0.0,0.0,100,10,99.8,0.19999999999999996,103.8,0.19999999999999996,30.3,6.834634022551771,134.1,6.935336249158283,0.057840886194026095,0.002627988516593402,0.019599999999999996,0.0015343474907015767,0.32516627918812446,0.013086045352985718,0.1,0.09999999999999999,0.0,0.0,100.8,0.19999999999999996,0.0,0.0,0.12605580693815988,0.019105371481695953,0.7977041840553284,0.015060956041326179
PU-F,0.0,0.0,200,10,122.2,3.4634600554294765,126.2,3.4634600554294765,0.0,0.0,126.2,3.4634600554294765,0.0548635721381288,0.0013231676614586403,0.012540000000000006,0.001241701341797703,0.3759465082956012,0.014409110520049579,1.0,0.0,0.0,0.0,123.2,3.4634600554294765,0.0,0.0,0.13436692357054467,0.01975076966224536,0.7993602693080902,0.013647010484824374
PU-F,0.0,0.0,50,10,50.0,0.0,54.0,0.0,107.8,15.398268300905356,161.8,15.398268300905354,0.06817225401173346,0.00578814302126157,0.0371,0.0034229941409369725,0.20960815818980336,0.012061972152792054,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.1037037037037037,0.03174064230168504,0.7934432923793793,0.023462709501993532
PU-F,0.1,0.0,100,10,100.0,0.0,104.0,0.0,228.6,34.3893394334155,332.6,34.3893394334155,0.1306347458914388,0.012406768070868856,0.059309999999999995,0.007689017420248764,0.900160783098545,0.06911074653916346,0.0,0.0,0.0,0.0,101.0,0.0,0.1951923076923077,0.017905740671106948,0.2596153846153846,0.01917727602775845,0.7303639590740204,0.024237208130280106
PU-F,0.1,0.0,200,10,199.7,0.21343747458109494,203.7,0.21343747458109494,35.2,11.191067866830226,238.9,11.297443171896118,0.0968552016071044,0.004127563431069423,0.015800000000000015,0.003626691176387761,1.684045541501837,0.11796069105383286,0.2,0.13333333333333333,0.8,0.13333333333333333,200.7,0.21343747458109494,0.17282525847484775,0.006394572988967536,0.29015404727954686,0.013749973090093884,0.557311189174652,0.018055130733400142
PU-F,0.1,0.0,50,10,50.0,0.0,54.0,0.0,333.2,32.42420220898101,387.2,32.42420220898101,0.15032111644395627,0.01158741833743946,0.08099999999999999,0.005803428105678376,0.44307238720357417,0.011729208106819527,0.0,0.0,0.0,0.0,51.0,0.0,0.21666666666666665,0.02691386340319956,0.2555555555555556,0.02630527870699076,0.7486908555030822,0.020793638982432923
PU-F,0.2,0.0,100,10,100.0,0.0,104.0,0.0,331.2,36.65084507135469,435.2,36.65084507135469,0.16740850073983893,0.013035464552958526,0.07840000000000001,0.007689906804810225,1.1007288875989616,0.06320223480598935,0.0,0.0,0.0,0.0,101.0,0.0,0.2432692307692308,0.016471365586576404,0.326923076923077,0.023683273335783545,0.7396732807159424,0.015460503469728323
PU-F,0.2,0.0,200,10,200.0,0.0,204.0,0.0,137.6,23.819786359709905,341.6,23.819786359709905,0.13405116036883555,0.008543070436745353,0.0392,0.00571759467686272,2.1618511000997387,0.11421088006852759,0.0,0.0,1.0,0.0,201.0,0.0,0.22696078431372552,0.009186727318216077,0.33725490196078434,0.013667008932239532,0.532873472571373,0.020510305498894352
PU-F,0.2,0.0,50,10,50.0,0.0,54.0,0.0,386.8,35.17947633998487,440.8,35.17947633998487,0.16943481844500638,0.012458910019713599,0.09003,0.008247774784078971,0.5013109794002958,0.020235397863401994,0.0,0.0,0.0,0.0,51.0,0.0,0.2666666666666667,0.03186046395200973,0.3055555555555555,0.02607979033861433,0.7346877574920654,0.01635198745470627
PU-F,0.3,0.0,100,10,100.0,0.0,104.0,0.0,382.2,24.326391703936142,486.2,24.326391703936142,0.18564143047551623,0.008607903046715673,0.09539,0.00664080734716964,1.1979865455941763,0.04460908135679695,0.0,0.0,0.0,0.0,101.0,0.0,0.29711538461538456,0.007909591461059658,0.4057692307692308,0.022518164192628583,0.6984418272972107,0.019880625603448863
PU-F,0.3,0.0,200,10,200.0,0.0,204.0,0.0,223.4,16.80026454818164,427.4,16.80026454818164,0.16482643073541112,0.005971326398919314,0.058140000000000004,0.004665718951387165,2.393217641604133,0.06421100593440662,0.0,0.0,1.0,0.0,201.0,0.0,0.2671568627450981,0.009422028263619932,0.3735294117647059,0.017956022049432873,0.546435222029686,0.03260247964111694
PU-F,0.3,0.0,50,10,50.0,0.0,54.0,0.0,448.2,31.528047478043696,502.2,31.528047478043696,0.19124192288727498,0.01111958112953788,0.10733999999999999,0.010146222066474907,0.544129970803624,0.02279864280859284,0.0,0.0,0.0,0.0,51.0,0.0,0.35740740740740745,0.023269230648112052,0.412962962962963,0.02677191165703881,0.7141477882862091,0.016374493315231234
PU-F,0.4,0.0,100,10,100.0,0.0,104.0,0.0,392.2,29.653105514712394,496.2,29.653105514712394,0.18913277349201962,0.01048857249192573,0.09498999999999999,0.007328459744190608,1.2312614250811749,0.04158852549841972,0.0,0.0,0.0,0.0,101.0,0.0,0.2759615384615385,0.016471365586576404,0.3615384615384615,0.016292647470690813,0.6891339600086213,0.01765482565155075
PU-F,0.4,0.0,200,10,200.0,0.0,204.0,0.0,246.3,18.250753409106153,450.3,18.250753409106153,0.1729580300336238,0.0064819503464646515,0.06510000000000002,0.00682037796280789,2.44054589169682,0.0704694454701133,0.0,0.0,1.0,0.0,201.0,0.0,0.2617647058823529,0.016618538738681205,0.35196078431372546,0.017180966572673092,0.5117483139038086,0.02316106809710848
PU-F,0.4,0.0,50,10,50.0,0.0,54.0,0.0,470.3,27.002489597154636,524.3,27.002489597154636,0.19907518601394258,0.009541743332401867,0.11542999999999999,0.007322917603129385,0.5727840916952118,0.02321444091445111,0.0,0.0,0.0,0.0,51.0,0.0,0.34259259259259256,0.02548867015069454,0.3833333333333333,0.02500571493892481,0.7120809972286224,0.0167701357594242
