method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,1818,2022,,0.40874999999999995,0.40875,,,,,5.308221084997058,0,1,201,0.28431372549019607,0.6568627450980392,0.7023605704307556,0.7023605704307556,1.000000238418579,0.045713420168225986,0.8374384236453202,0.9064039408866995,0.8275862068965517,0.4362745098039216,0.5637254901960784,0.0392156862745098,0.9478856965025066,0.004901960784313725,0.24649445280912344,0.6883763867977192
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1514,1568,0.47834918106673285,0.47350000000000003,0.4735,,,,,0.4785686500836164,0,0,51,0.3148148148148148,0.5925925925925926,0.7688267827033997,0.7688267827033997,1.000000238418579,0.10119463362783757,0.5849056603773585,0.5660377358490566,0.49056603773584906,0.3333333333333333,0.6666666666666666,0.14814814814814814,0.9214767605903421,0.018518518518518517,0.30414481375076974,0.6739637965623075
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1441,1545,0.47172022640006617,0.4375,0.4375,,,,,1.0565070250304416,0,0,101,0.33653846153846156,0.625,0.7482598423957825,0.7482598423957825,1.0000004768371582,0.057994622049979794,0.8349514563106796,0.8543689320388349,0.7961165048543689,0.40384615384615385,0.5961538461538461,0.07692307692307693,0.9297100229266377,0.009615384615384616,0.26654966884725234,0.6833625827881868
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1299,1503,0.4596011840621941,0.43125,0.43125,,,,,2.786425422062166,0,1,201,0.3137254901960784,0.6323529411764706,0.7108418345451355,0.7108418345451355,1.000000238418579,0.04470397876988491,0.8472906403940886,0.916256157635468,0.8423645320197044,0.43137254901960786,0.5686274509803921,0.04411764705882353,0.9400142622006935,0.004901960784313725,0.259307774170359,0.6851730564574102
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1415,1469,0.44977720332099125,0.43500000000000005,0.435,,,,,0.7985234099905938,0,0,51,0.2777777777777778,0.5925925925925926,0.722130537033081,0.722130537033081,1.000000238418579,0.09204021770999117,0.6226415094339622,0.6981132075471698,0.5660377358490566,0.2962962962962963,0.7037037037037037,0.07407407407407407,0.9686337444538423,0.018518518518518517,0.3069956236487158,0.673251094087821
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1725,1829,0.5531972983153537,0.48675,0.48675,,,,,1.9223009669221938,0,0,101,0.3076923076923077,0.625,0.6319001317024231,0.6319001317024231,1.000000238418579,0.055060515994007145,0.9223300970873787,0.9223300970873787,0.9029126213592233,0.33653846153846156,0.6634615384615384,0.04807692307692308,0.9607353460618666,0.009615384615384616,0.2610982058341899,0.6847254485414525
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1267,1471,0.45035541633842513,0.41574999999999995,0.41575,,,,,5.4533700599567965,0,1,201,0.2647058823529412,0.6225490196078431,0.6179547309875488,0.6179547309875488,1.000000238418579,0.031234183775380328,0.9605911330049262,0.9605911330049262,0.9556650246305419,0.4166666666666667,0.5833333333333334,0.03431372549019608,0.9478306581627226,0.004901960784313725,0.20911228801162035,0.697721927997095
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1406,1460,0.4471747297793627,0.4395,0.4395,,,,,0.9578323010355234,0,0,51,0.37037037037037035,0.5925925925925926,0.7090479135513306,0.7090479135513306,1.0000001192092896,0.12632351945031364,0.4339622641509434,0.49056603773584906,0.4339622641509434,0.3333333333333333,0.6666666666666666,0.12962962962962962,0.9438592404341237,0.018518518518518517,0.3683661203739941,0.6579084699065014
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1464,1568,0.47834918106673285,0.43425,0.43425,,,,,2.2790445800637826,0,0,101,0.3557692307692308,0.5961538461538461,0.7238561511039734,0.7238561511039734,1.000000238418579,0.06723323146116386,0.7766990291262136,0.8058252427184466,0.7281553398058253,0.3557692307692308,0.6442307692307693,0.07692307692307693,0.9523412287519188,0.009615384615384616,0.29111635964083227,0.6772209100897919
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1389,1593,0.48554844316095114,0.4225,0.4225,,,,,6.722505475045182,0,1,201,0.28431372549019607,0.5931372549019608,0.6529685854911804,0.6529685854911804,1.000000238418579,0.044172079105095324,0.8669950738916257,0.896551724137931,0.8522167487684729,0.36764705882352944,0.6323529411764706,0.0392156862745098,0.9485710591310247,0.004901960784313725,0.2531855215988913,0.6867036196002771
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1576,1630,,0.474,0.474,,,,,0.8618081089807674,0,0,51,0.2962962962962963,0.7407407407407407,0.7252405285835266,0.7252405285835266,1.0000003576278687,0.0775753563305117,0.7924528301886793,0.7735849056603774,0.7169811320754716,0.37037037037037035,0.6296296296296297,0.05555555555555555,0.9745976183781423,0.018518518518518517,0.30482485038417745,0.6737937874039557
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1253,1357,,0.4185,0.4185,,,,,1.8485683409962803,0,0,101,0.34615384615384615,0.7692307692307693,0.7430132031440735,0.7430132031440735,1.000000238418579,0.06016775647413383,0.7669902912621359,0.883495145631068,0.7475728155339806,0.46153846153846156,0.5384615384615384,0.04807692307692308,0.960241011151467,0.009615384615384616,0.274093620692456,0.6814765948268859
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1232,1436,,0.4485,0.4485,,,,,4.454422594048083,0,1,201,0.3382352941176471,0.7450980392156863,0.7071003913879395,0.7071003913879395,1.0000003576278687,0.050313886750507825,0.7635467980295566,0.8817733990147784,0.7536945812807881,0.5196078431372549,0.4803921568627451,0.0392156862745098,0.9411415396610952,0.004901960784313725,0.26921889078256145,0.6826952773043596
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,778,832,0.45495136053068563,0.4175,0.4175,,,,,0.4318729139631614,0,0,51,0.25925925925925924,0.6851851851851852,0.7386265397071838,0.7386265397071838,1.0000001192092896,0.07871591201368368,0.7358490566037735,0.7924528301886793,0.660377358490566,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.9563484516897853,0.018518518518518517,0.28267138176554274,0.6793321545586143
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,706,810,0.4437736958498135,0.4085,0.4085,,,,,0.9506181249162182,0,0,101,0.28846153846153844,0.7596153846153846,0.7263161540031433,0.7263161540031433,1.0000004768371582,0.05945394481125387,0.8349514563106796,0.8932038834951457,0.8155339805825242,0.41346153846153844,0.5865384615384616,0.0673076923076923,0.9430473196894081,0.009615384615384616,0.2676278837374168,0.6830930290656458
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,627,831,0.45444372162455693,0.401,0.401,,,,,2.552868116996251,0,1,201,0.3137254901960784,0.7696078431372549,0.713986337184906,0.713986337184906,1.000000238418579,0.04392067747181419,0.8866995073891626,0.9113300492610837,0.8719211822660099,0.5098039215686274,0.49019607843137253,0.04411764705882353,0.9386172596283944,0.004901960784313725,0.2514489433994987,0.6871377641501253
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,840,894,0.48634465859504417,0.46525000000000005,0.46525,,,,,0.6440532540436834,0,0,51,0.2962962962962963,0.7777777777777778,0.7366571426391602,0.7366571426391602,1.000000238418579,0.07918760039896336,0.7169811320754716,0.7924528301886793,0.6792452830188679,0.3148148148148148,0.6851851851851852,0.07407407407407407,0.9659944891619913,0.018518518518518517,0.28949901545714946,0.6776252461357126
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,790,894,0.48634465859504417,0.45975,0.45975,,,,,1.5268658449640498,0,0,101,0.27884615384615385,0.7307692307692307,0.6842468976974487,0.6842468976974487,1.0,0.05775260053647375,0.883495145631068,0.8640776699029126,0.8446601941747572,0.3557692307692308,0.6442307692307693,0.038461538461538464,0.9622713728025932,0.009615384615384616,0.2601898169825266,0.6849525457543684
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,546,750,0.4131853639264591,0.389,0.389,,,,,4.458003339008428,0,1,201,0.25,0.7254901960784313,0.641383945941925,0.641383945941925,1.000000238418579,0.031466478025403075,0.9408866995073891,0.9408866995073891,0.9408866995073891,0.4362745098039216,0.5637254901960784,0.03431372549019608,0.9553191761848959,0.004901960784313725,0.20635361107416741,0.6984115972314582
