method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,runtime_sec,stop_reached,hit_limit,train_calls,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
PU-R-Manifold,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,702,906,0.20063803857192397,6.773084352025762,0,1,201,,,,,,,0.0392156862745098,0.4264705882352941,0.6053755283355713,0.6053755283355713,0.9940412044525146,0.024313852640575374,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.24019607843137256,0.7598039215686274,0.024509803921568627,0.9738753955735003,0.004901960784313725,0.1925114408382994,0.6316849258113827,1.5441187075389355
MaxLoss,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,50,50,5000,0,54,1865,1919,0.40881856222404167,0.5060226720524952,0,0,51,,,,,,,0.07407407407407407,0.3148148148148148,0.6815767884254456,0.6815767884254456,0.9730424880981445,0.07185026665903488,0.8867924528301887,0.9245283018867925,0.8490566037735849,0.018518518518518517,0.9814814814814815,0.037037037037037035,0.9982419467035816,0.018518518518518517,0.268748063130823,0.6145316857955649,1.5021885652780476
MaxLoss,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,100,100,5000,0,104,2123,2227,0.4710910734720528,1.1407324799802154,0,0,101,,,,,,,0.0673076923076923,0.41346153846153844,0.6463738679885864,0.6463738679885864,0.9850990772247314,0.04347788896954175,0.9805825242718447,0.9611650485436893,0.9514563106796117,0.20192307692307693,0.7980769230769231,0.04807692307692308,0.9715123539928252,0.009615384615384616,0.2266292542267548,0.6240084177989802,1.525353910175285
MaxLoss,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,200,200,5000,0,204,821,1025,0.22542795329354703,3.048370902077295,0,1,201,,,,,,,0.09803921568627451,0.44607843137254904,0.6119454503059387,0.6119454503059387,0.9929662942886353,0.02422102632487349,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.27450980392156865,0.7254901960784313,0.03431372549019608,0.9591256528657037,0.004901960784313725,0.19092234827088533,0.6320424716390508,1.544992708451013
GREATS,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,50,50,5000,0,54,1821,1875,,1.000078700017184,0,0,51,,,,,,,0.09259259259259259,0.5370370370370371,0.6851060390472412,0.6851060390472412,0.9708181619644165,0.059895839612438995,0.9622641509433962,0.9433962264150944,0.9245283018867925,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.9856299810167082,0.018518518518518517,0.24730146710161865,0.6193571699021357,1.5139841930941098
GREATS,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,100,100,5000,0,104,1202,1306,,2.113577942014672,0,0,101,,,,,,,0.08653846153846154,0.5576923076923077,0.6349796652793884,0.6349796652793884,0.9808632135391235,0.03801576952332432,0.9805825242718447,0.970873786407767,0.970873786407767,0.22115384615384615,0.7788461538461539,0.04807692307692308,0.9728779866933804,0.009615384615384616,0.22400327715888654,0.6245992626392505,1.5267981975626124
GREATS,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,200,200,5000,0,204,712,916,,4.889117731014267,0,1,201,,,,,,,0.08333333333333333,0.47058823529411764,0.6194606423377991,0.6194606423377991,0.988423228263855,0.022005493160832692,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.24509803921568626,0.7549019607843137,0.024509803921568627,0.9726070823656284,0.004901960784313725,0.18468890560433943,0.6334449962390236,1.5484211019176135
PU-R,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,50,50,5000,0,54,1584,1638,0.3516331139835529,0.8966724789934233,0,0,51,,,,,,,0.07407407407407407,0.42592592592592593,0.6570114493370056,0.6570114493370056,0.9730682373046875,0.06809942677335919,0.9433962264150944,0.9245283018867925,0.9056603773584906,0.09259259259259259,0.9074074074074074,0.037037037037037035,0.9919839976799338,0.018518518518518517,0.2654762645783695,0.6152678404698669,1.5039880544818969
PU-R,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,100,100,5000,0,104,1232,1336,0.2897347124526277,2.0476077100029215,0,0,101,,,,,,,0.04807692307692308,0.5,0.6155750155448914,0.6155750155448914,0.9875004887580872,0.04003447399122044,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.21153846153846154,0.7884615384615384,0.038461538461538464,0.9763698803567631,0.009615384615384616,0.22227493927874054,0.6249881386622834,1.5277487833966927
PU-R,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,200,200,5000,0,204,833,1037,0.22792157414369285,5.467595112975687,0,1,201,,,,,,,0.04411764705882353,0.46078431372549017,0.5940398573875427,0.5940398573875427,0.992795467376709,0.02239092292603601,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.27450980392156865,0.7254901960784313,0.029411764705882353,0.969350726045051,0.004901960784313725,0.1878440922488701,0.6327350792440043,1.5466857492631216
PU-R-Manifold,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,50,50,5000,0,54,1852,1906,0.40618102194275707,1.146573270088993,0,0,51,,,,,,,0.07407407407407407,0.48148148148148145,0.6458667516708374,0.6458667516708374,0.9820772409439087,0.06801302843498734,0.9811320754716981,0.9245283018867925,0.9245283018867925,0.12962962962962962,0.8703703703703703,0.05555555555555555,0.9843517841786616,0.018518518518518517,0.265063767109224,0.6153606524004247,1.504214928089927
PU-R-Manifold,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,100,100,5000,0,104,1473,1577,0.3391690496355295,2.6513597490265965,0,0,101,,,,,,,0.04807692307692308,0.4230769230769231,0.6205849647521973,0.6205849647521973,0.9899417757987976,0.03900371506376174,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.14423076923076922,0.8557692307692307,0.038461538461538464,0.9838224314421903,0.009615384615384616,0.2218185478113698,0.6250908267424418,1.5279997987037466
PU-R-Manifold,manifold_group_noise_fashion_mnist,1,0.1,0.0,support,200,200,5000,0,204,790,994,0.2189810085692443,7.106658315984532,0,1,201,,,,,,,0.04411764705882353,0.5,0.5846450328826904,0.5846450328826904,0.9921762943267822,0.022654007092632097,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.29411764705882354,0.7058823529411765,0.029411764705882353,0.9638685633435284,0.004901960784313725,0.18952363209537793,0.6323571827785399,1.5457620023475422
MaxLoss,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,50,50,5000,0,54,2168,2222,0.4700834159157239,0.5250743550714105,0,0,51,,,,,,,0.07407407407407407,0.5185185185185185,0.6577866673469543,0.6577866673469543,0.9721938371658325,0.07117844358930048,0.9056603773584906,0.9056603773584906,0.8490566037735849,0.12962962962962962,0.8703703703703703,0.07407407407407407,0.9802006868671368,0.018518518518518517,0.27383137795417345,0.613387939960311,1.499392742125205
MaxLoss,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,100,100,5000,0,104,1830,1934,0.4118609363795258,1.16104415000882,0,0,101,,,,,,,0.0673076923076923,0.46153846153846156,0.6391491889953613,0.6391491889953613,0.9845919609069824,0.044499395541774414,0.9805825242718447,0.9611650485436893,0.9514563106796117,0.20192307692307693,0.7980769230769231,0.04807692307692308,0.9728015661879903,0.009615384615384616,0.2302217873649667,0.6232000978428824,1.5233780169492683
MaxLoss,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,1008,1212,0.2641704150591977,3.0592045079683885,0,1,201,,,,,,,0.06372549019607843,0.5098039215686274,0.6104759573936462,0.6104759573936462,0.9885677695274353,0.023850586100164894,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.29901960784313725,0.7009803921568627,0.03431372549019608,0.9621607472903335,0.004901960784313725,0.19067319795932963,0.6320985304591509,1.5451297411223688
GREATS,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,50,50,5000,0,54,2147,2201,,1.0213552709901705,0,0,51,,,,,,,0.12962962962962962,0.6481481481481481,0.6894953846931458,0.6894953846931458,0.9760820269584656,0.06216111498058967,0.9056603773584906,0.9056603773584906,0.8867924528301887,0.18518518518518517,0.8148148148148148,0.05555555555555555,0.9837173736678106,0.018518518518518517,0.25651834844590876,0.6172833715996705,1.5089149083547502
GREATS,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,100,100,5000,0,104,1571,1675,,2.1869142829673365,0,0,101,,,,,,,0.11538461538461539,0.625,0.6465509533882141,0.6465509533882141,0.9836244583129883,0.042318194453577394,0.9805825242718447,0.970873786407767,0.9611650485436893,0.2980769230769231,0.7019230769230769,0.038461538461538464,0.9709969707136894,0.009615384615384616,0.2238581281938125,0.6246319211563921,1.526878029493403
GREATS,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,1053,1257,,5.0890980899566785,0,1,201,,,,,,,0.08333333333333333,0.5245098039215687,0.6111550331115723,0.6111550331115723,0.990043580532074,0.02507110374057528,0.9901477832512315,0.9901477832512315,0.9852216748768473,0.3088235294117647,0.6911764705882353,0.029411764705882353,0.9635547126593874,0.004901960784313725,0.1934881145427343,0.6314651742278848,1.5435815370014963
PU-R,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,50,50,5000,0,54,1839,1893,0.4035427212365903,0.9492730119964108,0,0,51,,,,,,,0.05555555555555555,0.37037037037037035,0.629443883895874,0.629443883895874,0.975110650062561,0.06609760759011754,0.9622641509433962,0.9433962264150944,0.9433962264150944,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.9881330234608441,0.018518518518518517,0.26564786209107205,0.6152292310295089,1.5038936758499106
PU-R,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,100,100,5000,0,104,1753,1857,0.3962326659820974,2.1693964840378612,0,0,101,,,,,,,0.04807692307692308,0.47115384615384615,0.6230116486549377,0.6230116486549377,0.9914117455482483,0.04050412379856248,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.20192307692307693,0.7980769230769231,0.04807692307692308,0.9758181387814411,0.009615384615384616,0.2212927004466533,0.6252091423995031,1.5282890147543409
PU-R,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,1109,1313,0.28499996627215296,5.870009907055646,0,1,201,,,,,,,0.05392156862745098,0.4950980392156863,0.610170304775238,0.610170304775238,0.9951296448707581,0.02292691897876157,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.3088235294117647,0.6911764705882353,0.024509803921568627,0.9618895249333563,0.004901960784313725,0.18814145869359328,0.6326681717939415,1.546522197718524
PU-R-Manifold,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,50,50,5000,0,54,2287,2341,0.4940369997639209,1.1997175749856979,0,0,51,,,,,,,0.05555555555555555,0.4444444444444444,0.6526951789855957,0.6526951789855957,0.9812781810760498,0.06739516809301556,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.07407407407407407,0.9259259259259259,0.05555555555555555,0.9909465740746211,0.018518518518518517,0.2636083859060519,0.6156881131711384,1.5050153877516717
PU-R-Manifold,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,100,100,5000,0,104,1740,1844,0.3935914737521671,2.7848189449869096,0,0,101,,,,,,,0.04807692307692308,0.49038461538461536,0.6131561994552612,0.6131561994552612,0.9844621419906616,0.03981724490854636,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.18269230769230768,0.8173076923076923,0.038461538461538464,0.9808717023922917,0.009615384615384616,0.22074580584031686,0.6253321936859286,1.5285898067878256
PU-R-Manifold,manifold_group_noise_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,1174,1378,0.2983728372491896,7.566099739051424,0,1,201,,,,,,,0.06372549019607843,0.5098039215686274,0.6029189825057983,0.6029189825057983,0.9927822351455688,0.023387710651006605,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.28921568627450983,0.7107843137254902,0.029411764705882353,0.9621668594066962,0.004901960784313725,0.18986973023396725,0.6322793106973573,1.545571648371318
MaxLoss,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,50,50,5000,0,54,1857,1911,0.4071955503313802,0.5104374650400132,0,0,51,,,,,,,0.07407407407407407,0.4444444444444444,0.668427586555481,0.668427586555481,0.9804186820983887,0.08370126977141173,0.8301886792452831,0.8679245283018868,0.7924528301886793,0.18518518518518517,0.8148148148148148,0.05555555555555555,0.9760355859847358,0.018518518518518517,0.28337509249206705,0.6112406041892849,1.4941436991293633
MaxLoss,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,100,100,5000,0,104,1614,1718,0.36795161239570007,1.1644768050173298,0,0,101,,,,,,,0.04807692307692308,0.47115384615384615,0.6433097124099731,0.6433097124099731,0.9850168228149414,0.041638250200493825,0.9805825242718447,0.970873786407767,0.9611650485436893,0.22115384615384615,0.7788461538461539,0.04807692307692308,0.9678047988928555,0.009615384615384616,0.22322914934515833,0.6247734413973394,1.5272239678601631
MaxLoss,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,200,200,5000,0,204,1051,1255,0.273046126763802,3.058826609980315,0,1,201,,,,,,,0.04411764705882353,0.43137254901960786,0.6333908438682556,0.6333908438682556,0.9917266368865967,0.02387054836184814,0.9901477832512315,0.9901477832512315,0.9852216748768473,0.2647058823529412,0.7352941176470589,0.03431372549019608,0.9620095298669102,0.004901960784313725,0.1868373366984516,0.6329615992428484,1.5472394648158518
GREATS,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,50,50,5000,0,54,2005,2059,,1.0436085360124707,0,0,51,,,,,,,0.12962962962962962,0.6481481481481481,0.6816385388374329,0.6816385388374329,0.9817022085189819,0.06404145708623922,0.9245283018867925,0.8679245283018868,0.8490566037735849,0.2037037037037037,0.7962962962962963,0.07407407407407407,0.9735028606492326,0.018518518518518517,0.2542917646281769,0.6177843529586602,1.5101395294545028
GREATS,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,100,100,5000,0,104,1181,1285,,2.129239515052177,0,0,101,,,,,,,0.08653846153846154,0.5865384615384616,0.6413724422454834,0.6413724422454834,0.9817821979522705,0.043208478977089945,0.9805825242718447,0.9611650485436893,0.9514563106796117,0.28846153846153844,0.7115384615384616,0.04807692307692308,0.9635069298093321,0.009615384615384616,0.22508518238025454,0.6243558339644427,1.5262031496908601
GREATS,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,200,200,5000,0,204,930,1134,,4.824637133977376,0,1,201,,,,,,,0.0784313725490196,0.5147058823529411,0.6082491874694824,0.6082491874694824,0.9923630952835083,0.02460061088938431,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.31862745098039214,0.6813725490196079,0.03431372549019608,0.9585372778346416,0.004901960784313725,0.1920497226091114,0.63178881241295,1.544372652564989
PU-R,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,50,50,5000,0,54,1517,1571,0.33794206305174157,0.9067188110202551,0,0,51,,,,,,,0.07407407407407407,0.5555555555555556,0.6508426666259766,0.6508426666259766,0.9784091711044312,0.06604565947123293,0.9433962264150944,0.9433962264150944,0.9056603773584906,0.14814814814814814,0.8518518518518519,0.05555555555555555,0.9831757935720518,0.018518518518518517,0.263185817318519,0.6157831911033332,1.5052478004748147
PU-R,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,100,100,5000,0,104,1340,1444,0.3119268949958496,2.045815364923328,0,0,101,,,,,,,0.08653846153846154,0.5192307692307693,0.6116446256637573,0.6116446256637573,0.9880324602127075,0.039233978656889164,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.25,0.75,0.04807692307692308,0.9694721275478749,0.009615384615384616,0.2234098476146758,0.624732784286698,1.5271245838119285
PU-R,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,200,200,5000,0,204,710,914,0.20230825658654794,5.508590552024543,0,1,201,,,,,,,0.06372549019607843,0.4803921568627451,0.6101087927818298,0.6101087927818298,0.9935123920440674,0.02296301798683963,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.29411764705882354,0.7058823529411765,0.03431372549019608,0.9569921709557538,0.004901960784313725,0.1900956578984,0.63222847697286,1.5454473881558801
PU-R-Manifold,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,50,50,5000,0,54,1718,1772,0.3789492259384133,1.1322873099707067,0,0,51,,,,,,,0.018518518518518517,0.5555555555555556,0.6567291021347046,0.6567291021347046,0.982079267501831,0.06963363542871655,0.9245283018867925,0.8679245283018868,0.8490566037735849,0.18518518518518517,0.8148148148148148,0.09259259259259259,0.9714733895609564,0.018518518518518517,0.2676254173345527,0.6147842810997257,1.5028060204659963
PU-R-Manifold,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,100,100,5000,0,104,1051,1155,0.25238663784693927,2.5305623549502343,0,0,101,,,,,,,0.028846153846153848,0.5,0.6217669248580933,0.6217669248580933,0.9857218861579895,0.04089487805166869,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.2403846153846154,0.7596153846153846,0.057692307692307696,0.9644950676509964,0.009615384615384616,0.2250096946514689,0.6243728187034195,1.5262446679416923
PU-R-Manifold,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,200,200,5000,0,204,719,923,0.20418659423012286,6.739272190956399,0,1,201,,,,,,,0.03431372549019608,0.4215686274509804,0.597065269947052,0.597065269947052,0.9921267032623291,0.024657814431444654,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.24019607843137256,0.7598039215686274,0.03431372549019608,0.965119614943501,0.004901960784313725,0.19526574541608582,0.6310652072813807,1.542603840021153
MaxLoss,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,50,50,5000,0,54,1611,1665,0.3571440916857682,0.5046719940146431,0,0,51,,,,,,,0.037037037037037035,0.37037037037037035,0.685175895690918,0.685175895690918,0.9724016189575195,0.0698133943215856,0.9056603773584906,0.9433962264150944,0.8867924528301887,0.09259259259259259,0.9074074074074074,0.07407407407407407,0.9853875682890447,0.018518518518518517,0.26334752302057984,0.6157468073203696,1.5051588623386813
MaxLoss,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,100,100,5000,0,104,1778,1882,0.4013097169226967,1.1366842730203643,0,0,101,,,,,,,0.04807692307692308,0.33653846153846156,0.6305392980575562,0.6305392980575562,0.9862810373306274,0.03853633797284469,0.970873786407767,0.9611650485436893,0.9611650485436893,0.1346153846153846,0.8653846153846154,0.038461538461538464,0.984733837255664,0.009615384615384616,0.22592165623043986,0.624167627348151,1.5257430890732582
MaxLoss,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,200,200,5000,0,204,1094,1298,0.2819104016525671,3.0455690500093624,0,1,201,,,,,,,0.08823529411764706,0.4362745098039216,0.6051732897758484,0.6051732897758484,0.9999999403953552,0.022978808308763456,0.9852216748768473,0.9901477832512315,0.9852216748768473,0.25980392156862747,0.7401960784313726,0.03431372549019608,0.9665528536314479,0.004901960784313725,0.19331633950542143,0.6315038236112802,1.5436760132720184
GREATS,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,50,50,5000,0,54,2176,2230,,1.0292486529797316,0,0,51,,,,,,,0.07407407407407407,0.48148148148148145,0.6776717901229858,0.6776717901229858,0.986346960067749,0.06122874988699859,0.9245283018867925,0.9056603773584906,0.9056603773584906,0.07407407407407407,0.9259259259259259,0.037037037037037035,0.9934234972488046,0.018518518518518517,0.2598767526395695,0.6165277306560969,1.5070677860482369
GREATS,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,100,100,5000,0,104,1543,1647,,2.1491841649403796,0,0,101,,,,,,,0.07692307692307693,0.5288461538461539,0.6493648290634155,0.6493648290634155,0.9858113527297974,0.04456433711700069,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.21153846153846154,0.7884615384615384,0.038461538461538464,0.9756284468807889,0.009615384615384616,0.23116062267805482,0.6229888598974377,1.52286165752707
GREATS,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,200,200,5000,0,204,803,1007,,4.840151387033984,0,1,201,,,,,,,0.07352941176470588,0.5,0.6235791444778442,0.6235791444778442,0.9910949468612671,0.025405966965802784,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.30392156862745096,0.696078431372549,0.03431372549019608,0.9602569363204121,0.004901960784313725,0.19474549983975686,0.6311822625360547,1.5428899750881337
PU-R,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,50,50,5000,0,54,1559,1613,0.3465271443128586,0.9407833470031619,0,0,51,,,,,,,0.07407407407407407,0.5,0.636870265007019,0.636870265007019,0.9758768081665039,0.070914755452354,0.9622641509433962,0.8679245283018868,0.8679245283018868,0.2037037037037037,0.7962962962962963,0.07407407407407407,0.9692535952906186,0.018518518518518517,0.271805439503959,0.6138437761116092,1.5005070082728227
PU-R,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,100,100,5000,0,104,1228,1332,0.28891150146955624,2.0553047920111567,0,0,101,,,,,,,0.0673076923076923,0.41346153846153844,0.6087554693222046,0.6087554693222046,0.9848240613937378,0.04418189534284536,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.19230769230769232,0.8076923076923077,0.057692307692307696,0.9714578784488127,0.009615384615384616,0.2319255615741002,0.6228167486458275,1.522440941134245
PU-R,manifold_group_noise_fashion_mnist,4,0.1,0.0,support,200,200,5000,0,204,1130,1334,0.289323118631728,5.582101840991527,0,1,201,,,,,,,0.05392156862745098,0.4264705882352941,0.5934314727783203,0.5934314727783203,0.992702066898346,0.022796716596105417,0.9950738916256158,0.9852216748768473,0.9852216748768473,0.25980392156862747,0.7401960784313726,0.03431372549019608,0.9650456679409677,0.004901960784313725,0.19057400856404091,0.6321208480730909,1.5451842952897776
