method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,1,0.4,0.6,400,600,282,0,282,0.7791848917258903,0.38660000000000005,0.7304725761255156,0.0014499999999999734,0.05811363917962348,405.51843780864215,2.9689349280670285,1,279,0.42907801418439717,0.0,0.5954766273498535
MaxLoss,mnist,1,0.4,0.8,200,800,111,0,111,0.6667640359373763,0.3721,0.766861787209783,0.0004500000000000004,0.054095117094987655,229.56792228157482,0.7703781279269606,1,108,0.3783783783783784,0.0,0.5866807103157043
Marginal,mnist,1,0.4,0.8,200,800,152,0,152,0.8515567203285173,0.40580000000000005,0.7634589455556086,0.009100000000000007,0.07916855053708678,207.73223837051088,1.1213833699002862,1,149,0.34210526315789475,0.0,0.6127694845199585
PU-C,mnist,1,0.4,0.8,200,800,133,0,133,0.7689179216977209,0.41400000000000003,0.7807070683244628,0.0025000000000000022,0.06166938159537633,234.8059275577302,1.1007947861216962,1,130,0.41353383458646614,0.0,0.5940923094749451
PU-F,mnist,1,0.4,0.8,200,800,127,0,127,0.7416817511548288,0.40690000000000004,0.8082284673673655,0.003500000000000003,0.06473233000954298,257.01241495469236,1.1690422920510173,1,124,0.3700787401574803,0.0,0.6267660856246948
MaxLoss,mnist,2,0.0,0.0,1000,0,177,0,177,0.2186234460095875,0.06910000000000005,0.38565046944576403,0.0,0.051604029648496474,300.50893344410616,1.3333012538496405,1,174,0.0,0.0,0.5904178619384766
Marginal,mnist,2,0.0,0.0,1000,0,300,33,333,0.3843739901203662,0.09809999999999997,0.5012012065948283,0.03300000000000002,0.1253057422073906,310.0862975532419,2.4837481752038,0,297,0.0,0.0,0.5805515050888062
PU-C,mnist,2,0.0,0.0,1000,0,226,0,226,0.27157832658849657,0.08030000000000004,0.4016273534369474,0.001190000000000001,0.057151707002148056,309.770560932869,2.1605485039763153,1,223,0.0,0.0,0.5797362923622131
PU-F,mnist,2,0.0,0.0,1000,0,192,0,192,0.23493995965691283,0.08330000000000004,0.393892266339544,0.00020000000000000017,0.05286101809387794,309.12546854858675,2.4735807930119336,1,189,0.0,0.0,0.5794646143913269
MaxLoss,mnist,2,0.0,0.2,800,200,162,0,162,0.25128984299954027,0.09240000000000004,0.40048466895650614,0.000849999999999993,0.055820129852211575,247.68898675474924,1.2339235660620034,1,159,0.0,0.0,0.5833041071891785
Marginal,mnist,2,0.0,0.2,800,200,300,2,302,0.43617096450179815,0.09730000000000005,0.43765727870935217,0.0050000000000000044,0.06895530556343926,266.21290809149883,2.434090489987284,0,297,0.0,0.0,0.5858151316642761
PU-C,mnist,2,0.0,0.2,800,200,183,0,183,0.279698280908633,0.08899999999999997,0.39738733179050406,0.0026374999999999806,0.06210585656096951,232.3051418907488,1.739254054846242,1,180,0.0,0.0,0.5803195238113403
PU-F,mnist,2,0.0,0.2,800,200,176,0,176,0.27026072319131345,0.09230000000000005,0.40322375978764263,0.00046249999999999124,0.054152724272108876,254.11447526188797,2.038876807084307,1,173,0.0,0.0,0.5913101434707642
MaxLoss,mnist,2,0.0,0.4,600,400,130,0,130,0.2741186819621362,0.09519999999999995,0.44895641452436535,0.0014166666666666928,0.057992601263940846,224.6052048386573,0.9809404439292848,1,127,0.0,0.0,0.5864638090133667
Marginal,mnist,2,0.0,0.4,600,400,236,0,236,0.46093036321690306,0.10060000000000002,0.4729663248090302,0.0016666666666667052,0.05888590272385813,246.54018958222514,1.840463327942416,1,233,0.0,0.0,0.5900906324386597
PU-C,mnist,2,0.0,0.4,600,400,161,0,161,0.32993571838596836,0.09670000000000001,0.4436006152000444,0.0008166666666666844,0.055684017350772726,223.1330807026969,1.4487563848961145,1,158,0.0,0.0,0.5711590647697449
PU-F,mnist,2,0.0,0.4,600,400,143,0,143,0.297665253339801,0.10729999999999995,0.4533994790138733,0.0015333333333333377,0.058413549879808464,228.1823620606807,1.5641267360188067,1,140,0.0,0.0,0.5821611285209656
MaxLoss,mnist,2,0.0,0.6,400,600,98,0,98,0.3178105974220671,0.124,0.5119098189129893,0.001749999999999987,0.05917675001463113,188.85436740176863,0.703353201970458,1,95,0.0,0.0,0.5762643218040466
Marginal,mnist,2,0.0,0.6,400,600,187,0,187,0.5504711129469797,0.11629999999999996,0.5223818968659882,0.002699999999999951,0.062302459221334434,193.00108103103662,1.3958985079079866,1,184,0.0,0.0,0.5776757597923279
PU-C,mnist,2,0.0,0.6,400,600,124,0,124,0.38780150888487697,0.12160000000000004,0.4998967383867278,0.00037499999999999643,0.053742650394800584,186.38739908094178,1.0592349430080503,1,121,0.0,0.0,0.5859972834587097
PU-F,mnist,2,0.0,0.6,400,600,114,0,114,0.3611071784980595,0.10719999999999996,0.5248840410271369,0.0009749999999999803,0.056320981550248846,201.7041371699156,1.1079727949108928,1,111,0.0,0.0,0.5824793577194214
