method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,0,0.4,0.4,600,400,300,85,385,0.7073858551448211,0.41469999999999996,0.8145617229964113,0.14335,0.28013117489614786,399.18519526671076,3.382360491901636,0,297,0.43666666666666665,0.0,0.6005624532699585
PU-G,mnist,0,0.4,0.4,600,400,300,136,436,0.787344501062762,0.3921,0.8591544132369424,0.2259333333333333,0.37793578504740244,360.9346706353012,3.52888042293489,0,297,0.38666666666666666,0.0,0.5998671054840088
GREATS,mnist,0,0.4,0.4,600,400,300,38,338,,0.46930000000000005,0.7686159263688951,0.06406666666666667,0.1740650888025755,468.2171339738054,2.603833056986332,0,297,0.43333333333333335,0.0,0.599379301071167
MaxLoss,mnist,0,0.4,0.6,400,600,251,0,251,0.7068708828301169,0.41159999999999997,0.7349182424774313,0.0009249999999999958,0.056122375675081555,414.6890305987358,1.427853456698358,1,248,0.4262948207171315,0.0,0.5873284935951233
PU-C,mnist,0,0.4,0.6,400,600,300,13,313,0.8486699748318642,0.3849,0.7734092115541916,0.03267500000000002,0.12475150022938125,375.0269179514361,2.2103146323934197,0,297,0.41,0.0,0.584397554397583
PU-F,mnist,0,0.4,0.6,400,600,274,0,274,0.7607671395526268,0.4003,0.7259085167581988,0.0008499999999999886,0.055820129852211575,402.80614306724846,2.4883604366332293,1,271,0.4051094890510949,0.0,0.6012762784957886
PU-G,mnist,0,0.4,0.6,400,600,300,31,331,0.8873255946673453,0.405,0.8295395436163818,0.07999999999999996,0.1969187277654628,377.57993947316544,2.8152565453201532,0,297,0.36,0.0,0.5762670040130615
GREATS,mnist,0,0.4,0.6,400,600,259,0,259,,0.3879,0.7274794167139763,0.00029999999999999363,0.05337664441366947,408.675552871379,2.0816268576309085,1,256,0.42084942084942084,0.0,0.5928428769111633
MaxLoss,mnist,0,0.4,0.8,200,800,136,0,136,0.7823460139916278,0.49539999999999995,0.8190710924946824,0.0043000000000000035,0.0670300843426776,265.81391792674054,0.7862468957901001,1,133,0.4411764705882353,0.0,0.5849944353103638
PU-C,mnist,0,0.4,0.8,200,800,157,0,157,0.8722261887742206,0.44930000000000003,0.7901127236788367,0.0009500000000000009,0.05622195655448998,247.3480006946591,1.105892589315772,1,154,0.4394904458598726,0.0,0.6056041717529297
