method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,mnist,2,0.0,0.0,3000,0,600,73,673,596,0.25126595271285623,0.04949999999999999,0.024666666666666615,0.0016666666666667052,0.33151738708385453,0.02442666666666665,0.16581753104590632,201.4884931654278,1.0,17.390675493366025,0.0016666666666667052,1.0111501526918,16.37785867400756,17.38900882669936,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.8460769857259958,0.8460769857259958,0.024666666666666615,0.8214103190593292,597,3000,3000,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.2478772085903165,19.29827820173125,68.70398941542953,0,597,1610706,0.0,0.0,0.35124874114990234
PU-C,mnist,2,0.0,0.1,2700,300,600,26,626,596,0.26051031361566857,0.05720000000000003,0.011481481481481537,0.008333333333333304,0.5584471135478798,0.09050370370370371,0.27537804906670826,435.47004767005336,1.0,19.02470264711139,0.008333333333333304,1.0112858755596354,18.00508343821842,19.016369313778057,0.9996296296296296,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.935444357662339,0.935444357662339,0.011481481481481537,0.9239628761808575,597,2700,2700,0.058780160722749115,0.00012568600613418795,0.46153846153846156,0.6810336643452553,21.940676860158618,64.81949209421873,0,597,1431606,0.0,0.0,0.3689100742340088
PU-C,mnist,2,0.0,0.2,2400,600,600,23,623,596,0.2911212625913322,0.056400000000000006,0.01041666666666663,0.0033333333333332993,0.49790645114245063,0.010875000000000003,0.1356820463751635,695.4020750752816,1.0,21.004082510143768,0.0033333333333332993,1.011437622383479,19.989311554426955,21.000749176810434,0.9995833333333334,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.977608864943424,0.977608864943424,0.01041666666666663,0.9671921982767574,597,2400,2400,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.9427192483105111,17.81184805924931,63.21161081362516,0,597,1252506,0.0,0.0,0.3015083372592926
PU-C,mnist,2,0.0,0.3,2100,900,549,0,549,545,0.2951026897644624,0.054300000000000015,0.0014285714285714457,0.005464480874316946,0.4550991420990914,0.016247619047619035,0.14839240852354027,441.45567358190465,1.0,21.79602599518276,0.005464480874316946,1.0116096862840014,20.778951828024443,21.790561514308443,0.9995238095238095,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9807352334260897,0.9807352334260897,0.0014285714285714457,0.9793066619975183,546,2100,2100,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.1048055122069231,38.91338932517984,50.991964507848024,1,546,995631,0.0,0.0,0.4191676378250122
PU-C,mnist,2,0.0,0.4,1800,1200,468,0,468,464,0.29615591606125236,0.05559999999999998,0.0022222222222222365,0.008547008547008517,0.4821070027616622,0.00537777777777779,0.12081289206166884,528.7788280701409,1.0,21.67748240482479,0.008547008547008517,1.0118083558800346,20.657127040397746,21.66893539627778,0.9994444444444445,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9918518228597201,0.9918518228597201,0.0022222222222222365,0.9896296006374978,465,1800,1800,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.21868487581489668,34.01598014759818,40.7992630507797,1,465,727260,0.0,0.0,0.369900643825531
PU-C,mnist,2,0.0,0.5,1500,1500,474,0,474,470,0.3578616394661367,0.06730000000000003,0.005333333333333301,0.016877637130801704,0.493982855979983,0.014466666666666676,0.14431984697437578,400.19290901435687,1.0,25.48338717632884,0.016877637130801704,1.0120433825029667,24.454466156695073,25.46650953919804,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0519628542275274,0.005333333333333301,1.0466295208941943,471,1500,1500,0.1193776641714437,0.00012568600613418795,0.3076923076923077,1.1419755323045022,24.307116545102023,37.72843417990953,1,471,593931,0.0,0.0,0.38883525133132935
PU-C,mnist,2,0.0,0.6,1200,1800,325,0,325,321,0.3152423831052147,0.06799999999999995,0.0,0.0,0.3994847603080539,0.004816666666666676,0.11912049979504243,224.4333362439566,1.0,22.351695824072287,0.0,1.0123311061396187,21.339364717932668,22.351695824072287,0.9991666666666666,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0549757849158972,0.0,1.0549757849158972,322,1200,1200,0.1193776641714437,0.00012568600613418795,0.3076923076923077,1.1938484395063806,22.94903331020916,22.068100000731647,1,322,333431,0.0,0.0,0.3674742877483368
PU-C,mnist,2,0.0,0.7,900,2100,280,0,280,276,0.36414228432113305,0.0927,0.028888888888888853,0.09285714285714286,0.7695583305640087,0.041133333333333334,0.19730091131018063,652.4426768611559,1.0,25.120089134072174,0.09285714285714286,1.0127021671347267,24.014529824080306,25.027231991215032,0.9988888888888889,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.251530930491831,0.028888888888888853,1.222642041602942,277,900,900,0.1193776641714437,0.00012568600613418795,0.46153846153846156,0.24271743713219526,21.699634449975484,17.641205344349146,1,277,209966,0.0,0.0,0.2640402317047119
PU-C,mnist,2,0.0,0.8,600,2400,120,0,120,116,0.25585477345157415,0.0706,0.0033333333333332993,0.01666666666666672,0.6852484319892663,0.007833333333333326,0.12777656612359264,397.4101707435035,1.0,17.018917479054593,0.01666666666666672,1.0132253791814296,15.989025433206496,17.002250812387928,0.9983333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.197852016518119,0.0033333333333332993,1.1945186831847856,117,600,600,0.1193776641714437,0.00099817731491033,0.46153846153846156,0.12225882635766935,22.71255591751152,9.29867971688509,1,117,62946,0.0,0.0,0.40142521262168884
PU-C,mnist,2,0.4,0.0,3000,0,600,1128,1728,596,0.6086322763585486,0.381,0.3763333333333333,0.0016666666666667052,0.7801043417927227,0.37984666666666667,0.6081895856112041,216.6996284958627,1.0,17.390675493366025,0.0016666666666667052,1.0111501526918,16.37785867400756,17.38900882669936,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.1977436523926626,0.3763333333333333,0.8214103190593292,597,3000,3000,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.2478772085903165,19.29827820173125,79.18094532657415,0,597,1610706,0.3983333333333333,0.0,0.3980865776538849
PU-C,mnist,2,0.4,0.1,2700,300,600,1018,1618,596,0.6332619898603298,0.49019999999999997,0.44592592592592595,0.31000000000000005,0.9215243912462172,0.4481407407407408,0.6724031953665783,683.7773902053202,1.0,19.326369313778056,0.31000000000000005,1.0112858755596354,18.00508343821842,19.016369313778057,0.9996296296296296,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.3698888021067834,0.44592592592592595,0.9239628761808575,597,2700,2700,0.058780160722749115,0.00012568600613418795,0.46153846153846156,0.6810336643452553,21.940676860158618,71.14564693253487,0,597,1431606,0.4066666666666667,0.0,0.0747360810637474
PU-C,mnist,2,0.4,0.2,2400,600,600,808,1408,596,0.6227107979939319,0.361,0.35124999999999995,0.05833333333333335,0.8111182396124045,0.3654833333333333,0.5941563381404126,293.17733867778935,1.0,21.059082510143767,0.05833333333333335,1.011437622383479,19.989311554426955,21.000749176810434,0.9995833333333334,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.3184421982767573,0.35124999999999995,0.9671921982767574,597,2400,2400,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.9427192483105111,17.81184805924931,70.21439892146736,0,597,1252506,0.42,0.0,0.2518730163574219
PU-C,mnist,2,0.4,0.3,2100,900,600,746,1346,596,0.6783522689365782,0.4961,0.4452380952380952,0.31499999999999995,0.9155723407635873,0.4604000000000001,0.6835052510034357,450.8136227857949,1.0,23.78802703152058,0.31499999999999995,1.0116096862840014,22.46141734523658,23.47302703152058,0.9995238095238095,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.434505820731315,0.4452380952380952,0.9892677254932197,597,2100,2100,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.18184575754987314,35.86786952960795,63.26520145777613,0,597,1073406,0.44166666666666665,0.0,0.04764614254236221
PU-C,mnist,2,0.4,0.4,1800,1200,600,623,1223,596,0.7185023718047887,0.5085999999999999,0.4833333333333333,0.4116666666666666,0.8991694575215334,0.46073333333333333,0.683805351377034,305.6937037089029,1.0,27.04767968562376,0.4116666666666666,1.0118083558800346,25.62420466307706,26.636013018957094,0.9994444444444445,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.5105418064028413,0.4833333333333333,1.0272084730695081,597,1800,1800,0.1193776641714437,0.00012568600613418795,0.3076923076923077,0.7838425439325508,27.195191905821627,57.71395013760775,0,597,894306,0.4166666666666667,0.0,0.029059695079922676
