method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,1,0.0,0.1,4500,500,627,0,627,623,0.15761353832203895,0.05010000000000003,0.0501,0.0,0.0,0.3090380109615129,6.222222222222573e-05,0.10102060395399366,548.1016073510235,1.0,12.762230793054076,0.0,1.0106280122561337,11.751602780797942,12.762230793054076,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6797364818864967,0.6797364818864967,0.0,0.6797364818864967,624,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.2651924993614347,37.99086477353344,51.16185879148543,1,624,2611128,0.0,0.0,0.5640420913696289,0.5640420913696289,0.9927946329116821,0.010030916849963557,0.9984025559105432,0.9984025559105432,0.9984025559105432,0.0,0.0,0.165236515649852,1.417381742175074
GREATS,mnist,1,0.0,0.1,4500,500,555,0,555,551,,0.0494,0.0494,0.0,0.0,0.319319747928687,0.000346666666666684,0.10266258684636703,583.3801697788149,1.0,11.485768762318306,0.0,1.0106280122561337,10.475140750062172,11.485768762318306,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6742076009633499,0.6742076009633499,0.0,0.6742076009633499,552,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.11795596493101887,42.51675059402432,22.487062320113182,1,552,2329716,0.0,0.0,0.5763369202613831,0.5763369202613831,0.9889298677444458,0.011053809573762926,0.9981949458483754,0.9981949458483754,0.9981949458483754,0.0,0.0,0.16601287950871324,1.4169935602456434
PU-R,mnist,1,0.0,0.2,4000,1000,586,0,586,582,0.16626318491762504,0.05120000000000002,0.0512,0.0,0.0,0.3169493744693018,0.0005499999999999839,0.1036801273740809,502.60777409394206,1.0,13.318968537787905,0.0,1.010779660365391,12.308188877422515,13.318968537787905,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6889848364564596,0.6889848364564596,0.0,0.6889848364564596,583,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.6276184555534452,32.62791392827104,42.62707755435258,1,583,2160015,0.0,0.0,0.5661929249763489,0.5661929249763489,0.9921891689300537,0.011823195533858787,0.9982905982905983,0.9982905982905983,0.9982905982905983,0.0,0.0,0.17316125831252888,1.4134193708437355
GREATS,mnist,1,0.0,0.2,4000,1000,506,0,506,502,,0.05410000000000004,0.0541,0.0,0.0,0.32129664654923323,7.999999999999785e-05,0.101138441843658,534.3162408119482,1.0,11.731409473041555,0.0,1.010779660365391,10.720629812676165,11.731409473041555,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6782637540559312,0.6782637540559312,0.0,0.6782637540559312,503,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.26692891685074654,37.30307532212727,17.78321383614093,1,503,1883735,0.0,0.0,0.5903810262680054,0.5903810262680054,0.9919159412384033,0.012737712073647002,0.998019801980198,0.996039603960396,0.996039603960396,0.0,0.0,0.1682383051146332,1.4158808474426834
PU-R,mnist,1,0.0,0.3,3500,1500,588,0,588,584,0.19032113760476932,0.04859999999999998,0.0486,0.0,0.0,0.33866739482272695,4.571428571428893e-05,0.1009070905819997,530.7264354105646,1.0,14.979959499876681,0.0,1.0109516123346298,13.969007887542052,14.979959499876681,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7242270563505082,0.7242270563505082,0.0,0.7242270563505082,585,3500,3500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.055703347544567,25.63998978897617,42.68552770931274,1,585,1874340,0.0,0.0,0.565983772277832,0.565983772277832,0.9934436082839966,0.011385636242523827,0.9982964224872232,0.9982964224872232,0.9982964224872232,0.0,0.0,0.16862190822105333,1.4156890458894733
GREATS,mnist,1,0.0,0.3,3500,1500,470,0,470,466,,0.0504,0.0504,0.0,0.0,0.3365731982097981,0.0001142857142857312,0.10135623199062488,520.6004303303283,1.0,12.342196758829433,0.0,1.0109516123346298,11.331245146494803,12.342196758829433,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6904496629667344,0.6904496629667344,0.0,0.6904496629667344,467,3500,3500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.6991209076979131,31.326990357769322,15.087276931852102,1,467,1523821,0.0,0.0,0.5791241526603699,0.5791241526603699,0.9884326457977295,0.013381890819541045,0.997867803837953,0.997867803837953,0.997867803837953,0.0,0.0,0.17033649248071728,1.4148317537596413
PU-R,mnist,1,0.0,0.4,3000,2000,475,0,475,471,0.18177196802571416,0.049900000000000055,0.0499,0.0,0.0,0.34862663587806136,6.666666666665932e-06,0.10060940958408444,487.3755535105536,1.0,14.218417335144906,0.0,1.0111501526918,13.207267182453107,14.218417335144906,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7428674826596876,0.7428674826596876,0.0,0.7428674826596876,472,3000,3000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.6133953654608755,23.62101919046455,24.65746267233044,1,472,1302956,0.0,0.0,0.5733246803283691,0.5733246803283691,0.9921818971633911,0.013266959086154835,0.9978902953586498,0.9978902953586498,0.9978902953586498,0.0,0.0,0.1718631439344074,1.4140684280327962
GREATS,mnist,1,0.0,0.4,3000,2000,432,0,432,428,,0.05589999999999995,0.0559,0.0,0.0,0.35954566448600217,0.00011999999999999122,0.10139155053737009,519.9053707040468,1.0,13.096829480139515,0.0,1.0111501526918,12.085679327447716,13.096829480139515,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7204525916328113,0.7204525916328113,0.0,0.7204525916328113,429,3000,3000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.74781890202596,25.68183826386911,12.330172738991678,1,429,1193478,0.0,0.0,0.5799368619918823,0.5799368619918823,0.9869869947433472,0.01467293562538265,0.9976798143851509,0.9976798143851509,0.9976798143851509,0.0,0.0,0.17350695136463098,1.4132465243176844
PU-R,mnist,1,0.0,0.5,2500,2500,460,0,460,456,0.21119942155200988,0.057499999999999996,0.0575,0.0,0.0,0.3662621818443593,0.00015199999999999437,0.10158514782302402,450.2065394860883,1.0,16.167603629389514,0.0,1.0113850264248379,15.156218602964676,16.167603629389514,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.8658433600840442,0.8658433600840442,0.0,0.8658433600840442,457,2500,2500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,7.1600245657907475,17.775283934708888,22.64510346017778,1,457,1036476,0.0,0.0,0.564434289932251,0.564434289932251,0.9921354055404663,0.014495889175873989,0.9978213507625272,0.9978213507625272,0.9978213507625272,0.0,0.0,0.17481138900910942,1.4125943054954453
GREATS,mnist,1,0.0,0.5,2500,2500,373,0,373,369,,0.058599999999999985,0.0586,0.0,0.0,0.37082748473190386,0.0008240000000000092,0.10494969116815274,449.5649082555264,1.0,13.485301226654855,0.0,1.0113850264248379,12.473916200230017,13.485301226654855,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7743534878328403,0.7743534878328403,0.0,0.7743534878328403,370,2500,2500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,3.481012016582977,21.268645515817145,8.89660931751132,1,370,855255,0.0,0.0,0.5925773978233337,0.5925773978233337,0.9871823191642761,0.016356089546705685,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.0,0.0,0.17487339365770518,1.4125633031711473
