dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
cifar10,MaxLoss,0.0,0.0,3,250.0,0.0,1640.0,8.18535277187245,1890.0,8.18535277187245,0.9626985242551503,0.0034271326204339068,0.7456333333333335,0.003943067052153401,0.9327825879179898,0.002042775822311455,0.6729833333333334,0.0030842305001049517,0.8557437631585566,0.0022097757338190066,65.02967950010498,1.9652645637844537,42.98164405301213,2.612711995346993,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.0,0.2,3,250.0,0.0,1348.6666666666667,0.881917103688197,1598.6666666666667,0.881917103688197,0.9999892174188668,1.077577155417236e-05,0.8927333333333335,0.00872569640646395,0.9981858561760303,0.0010653974817296042,0.8853791666666667,0.010412143184495883,0.9788035430128326,0.004039278538483579,138.44345630773554,89.59547957901368,34.32978119018177,0.0031113539854124416,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.0,0.4,3,250.0,0.0,949.3333333333334,0.6666666666666667,1199.3333333333333,0.6666666666666666,0.9999978694443902,2.1305556098620095e-06,0.8255333333333333,0.03984538172040073,0.9889449374381624,0.006575875003360055,0.8282222222222222,0.02866147293605471,0.9513590867844313,0.014608135731387622,52.60452931406343,14.331990010626956,28.232878567340475,0.009606808833153114,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.0,0.6,3,250.0,0.0,517.0,19.05255888325765,767.0,19.05255888325765,0.9764735991096435,0.014823268143626181,0.7869666666666667,0.026093187701858974,0.9485175827937349,0.025021610398448073,0.6653,0.08889268225412783,0.8416670216090164,0.05932893863770967,69.7031128881042,1.3326074816191753,22.18551914145549,0.004323270536759386,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.0,0.8,3,250.0,0.0,113.66666666666667,31.381169158872616,363.6666666666667,31.381169158872616,0.9395387460438845,0.058698608497984625,0.7062666666666666,0.02775766160500157,0.8362440590001795,0.14044248528386427,0.48800000000000016,0.1925598435119154,0.6718115287815632,0.18874055432230635,49.08358172118386,4.583293244905027,16.112078222446144,0.002715803636394824,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.4,0.0,3,250.0,0.0,1720.3333333333333,2.3333333333333335,1970.3333333333333,2.3333333333333335,0.9936557474623745,0.0007593314848797276,0.8470999999999999,0.005121523210920746,0.9672314613507912,0.00048794922682281303,0.7568400000000001,2.3094010767640177e-05,0.9119815630358564,1.4370338883863108e-05,58.85039025684399,1.7265227072513119,40.37779912135253,0.006661766316176583,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.4,0.2,3,250.0,0.0,1349.3333333333333,0.33333333333333337,1599.3333333333333,0.33333333333333337,0.9999999909196049,4.540197551250458e-09,0.9003666666666668,0.006176388732728667,0.999062298538493,0.0005952998633283334,0.8935583333333333,0.0026970695259443916,0.9822030734571051,0.0009910401877980541,79.32552871831962,40.740522220799946,34.33085476979613,0.004403413012628924,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.4,0.4,3,250.0,0.0,950.0,0.0,1200.0,0.0,1.0,0.0,0.8864333333333333,0.008682229616354963,0.9986517827662272,0.00014346005580412178,0.8932000000000001,0.005909745560732126,0.9819929547048779,0.002244180857180442,28.614221724057604,4.936282241198358,28.247200208405655,0.010721146934580213,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.4,0.6,3,250.0,0.0,549.3333333333334,0.6666666666666667,799.3333333333334,0.6666666666666667,0.999996081731903,3.918268096943696e-06,0.8781333333333333,0.002967790049477532,0.9957089698648042,0.0007183450435217407,0.8483,0.006150829889806212,0.9627683419414508,0.002938295778033781,32.978336400226084,10.17594974279435,22.187663718747597,0.0025720432658797583,0.0,0.0,241.0,0.0
cifar10,MaxLoss,0.4,0.8,3,250.0,0.0,146.33333333333334,3.6666666666666665,396.3333333333333,3.666666666666667,0.9977465747312332,0.002253425268766781,0.8290000000000001,0.03241249758966441,0.9773099001316933,0.021569008170519252,0.7163833333333334,0.11710719567036769,0.8709228031836123,0.08279863077989563,62.1182254461069,15.575152263565668,16.116813647560775,0.005598813302013678,0.0,0.0,241.0,0.0
cifar10,PU-C,0.0,0.0,3,250.0,0.0,1419.0,25.540817005987364,1669.0,25.540817005987364,0.8640880374781167,0.011854557505164575,0.6799333333333332,0.013051479269075648,0.900328016128618,0.0030057731792355025,0.6188833333333333,0.00436713610708183,0.8156536449487244,0.003348667256720092,57.81646468813383,1.433195150893932,68.17320322897285,0.09562455088371455,0.0,0.0,241.0,0.0
cifar10,PU-C,0.0,0.2,3,250.0,0.0,1348.0,2.0,1598.0,2.0,0.999885545965905,0.00011445403409500916,0.8384666666666667,0.027077071070885396,0.9897030631564528,0.00491345009657953,0.8186416666666666,0.03501585677510178,0.9456017381904104,0.017572936058765316,78.04953114675685,5.757240837450004,58.401311576366425,0.03785777521806627,0.0,0.0,241.0,0.0
cifar10,PU-C,0.0,0.4,3,250.0,0.0,890.0,31.176914536239792,1140.0,31.176914536239792,0.9679861337839005,0.01902811172001754,0.7497333333333334,0.010867893591267393,0.969245133609835,0.011505998665664352,0.6896055555555556,0.023691415724104475,0.8669292188892364,0.016706917289271435,119.93794472168115,19.601845369255948,46.06483377764622,0.1613723453924189,0.0,0.0,241.0,0.0
cifar10,PU-C,0.0,0.6,3,250.0,0.0,523.6666666666666,17.676098111417136,773.6666666666666,17.676098111417136,0.982810913779152,0.014457392472771587,0.7447333333333334,0.010205281856851265,0.9615471963664893,0.011746822481193535,0.6623,0.041527393067708945,0.8463771103136343,0.03009138148483627,78.50268213824306,6.848775946897907,34.1097030111899,0.10797863435088201,0.0,0.0,241.0,0.0
cifar10,PU-C,0.0,0.8,3,250.0,0.0,104.33333333333333,23.139672522411473,354.3333333333333,23.139672522411473,0.9255103975883685,0.03807060500482452,0.7010666666666667,0.03225090868659536,0.8629528367285983,0.06882707358623319,0.4173166666666666,0.15845338255917557,0.6212676562500064,0.14058154991596522,88.20316101139231,5.786408603660703,21.84507833669583,0.25790141306405406,0.0,0.0,241.0,0.0
cifar10,PU-C,0.4,0.0,3,250.0,0.0,1639.3333333333333,7.796010375684332,1889.3333333333333,7.796010375684332,0.9624224207752073,0.003253690407420418,0.8089666666666666,0.005889633076667645,0.95844321498048,0.00294948822735024,0.7448866666666666,0.003715312159757787,0.9044381789621071,0.0023666766049111033,46.808452637746285,3.814592016619924,69.70310264142852,0.0807556302943677,0.0,0.0,241.0,0.0
cifar10,PU-C,0.4,0.2,3,250.0,0.0,1349.0,0.5773502691896258,1599.0,0.5773502691896258,0.9999986124845842,1.3807107180148005e-06,0.8785333333333333,0.007743886477588502,0.9985515543124657,0.0007460118598713915,0.8772041666666667,0.002310137682284589,0.9757778354925936,0.0009550046090008232,74.9451416653518,17.307159732675608,58.47078292723745,0.03212655521764964,0.0,0.0,241.0,0.0
cifar10,PU-C,0.4,0.4,3,250.0,0.0,948.6666666666666,1.3333333333333335,1198.6666666666667,1.3333333333333335,0.99995280293903,4.719706096996864e-05,0.8238,0.015150247522730444,0.9968055253908372,0.0013695283095538316,0.8429944444444445,0.012746010026864709,0.9599522526212297,0.006079867889120089,80.98469869328638,29.149502175500867,46.33277463757744,0.008616189459408825,0.0,0.0,241.0,0.0
