method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
PU-C,0.4,0.0,10,499.8,18.582428976499994,5.8,5.8,505.6,22.540925742598354,0.19251518761739134,0.007945517270991208,0.019709999999999995,0.003955543227196771,3.7775914041907526,0.3160712985526999,0.9,0.09999999999999999,496.8,18.582428976499994
PU-C,0.4,0.1,10,463.5,15.739723278663094,0.0,0.0,463.5,15.739723278663094,0.1971119498834014,0.006170730512262086,0.01864000000000001,0.002026611841363698,3.1736135668063072,0.15164134728785122,1.0,0.0,460.5,15.739723278663094
PU-C,0.4,0.2,10,409.3,9.585927185202275,0.0,0.0,409.3,9.585927185202275,0.19741436938056722,0.004247089842479602,0.018720000000000014,0.0014244531114314227,2.4881725542829374,0.1111129094878147,1.0,0.0,406.3,9.585927185202275
PU-C,0.4,0.3,10,358.6,12.153828843436768,0.0,0.0,358.6,12.153828843436768,0.19939876454300248,0.006175520320949483,0.019289999999999984,0.0019665225935928407,1.9607768083980772,0.10261108053780862,1.0,0.0,355.6,12.153828843436768
PU-C,0.4,0.4,10,301.4,8.268010643437753,0.0,0.0,301.4,8.268010643437753,0.19805630060727708,0.0049386928147497665,0.021140000000000003,0.0011329607230614834,1.5197202000068502,0.10921679285415424,1.0,0.0,298.4,8.268010643437753
PU-C,0.4,0.5,10,252.0,8.175845182269809,0.0,0.0,252.0,8.175845182269809,0.2014524975034874,0.005891930043974687,0.021929999999999995,0.0029594687961787248,0.929714683390921,0.06099253114672228,1.0,0.0,249.0,8.175845182269809
PU-C,0.4,0.6,10,208.3,6.988959547425893,0.0,0.0,208.3,6.988959547425893,0.2113311074557714,0.006311291715097603,0.027790000000000002,0.0033961236072256747,0.5673169083078392,0.06331429105194032,1.0,0.0,205.3,6.988959547425893
PU-C,0.4,0.7,10,148.3,6.456779382943171,0.0,0.0,148.3,6.456779382943171,0.20724990481976419,0.007970979732355974,0.028349999999999986,0.0042209596065349905,0.364760012505576,0.010809328674668493,1.0,0.0,145.3,6.456779382943171
PU-C,0.4,0.8,10,111.1,5.408737786623091,0.0,0.0,111.1,5.408737786623091,0.23927149252267554,0.009995591168909667,0.05364000000000002,0.005511144265133247,0.31856467489269563,0.0073147763328126544,1.0,0.0,108.1,5.408737786623091
PU-F,0.0,0.0,10,126.2,3.4634600554294765,0.0,0.0,126.2,3.4634600554294765,0.0548635721381288,0.0013231676614586403,0.012540000000000006,0.001241701341797703,0.38370173738803715,0.018750706898697657,1.0,0.0,123.2,3.4634600554294765
PU-F,0.0,0.1,10,59.1,4.061882431692095,0.0,0.0,59.1,4.061882431692095,0.031793124676914884,0.0018163090374939835,0.008899999999999996,0.0006502990764939532,0.12760042489971965,0.007581587612353249,1.0,0.0,56.1,4.061882431692095
PU-F,0.0,0.2,10,41.7,4.948737212663448,0.0,0.0,41.7,4.948737212663448,0.026765906944638117,0.002571147998647212,0.006349999999999989,0.0009210199660038725,0.11375336659839377,0.007483034313477389,1.0,0.0,38.7,4.948737212663448
PU-F,0.0,0.3,10,33.9,3.8570282169912455,0.0,0.0,33.9,3.8570282169912455,0.02591151181841269,0.002345963493338361,0.006040000000000001,0.0009315697624022731,0.12862849999801257,0.005095466772710436,1.0,0.0,30.9,3.8570282169912455
PU-F,0.0,0.4,10,28.4,2.472964932132187,0.0,0.0,28.4,2.472964932132187,0.026358897489262744,0.0017722322337222457,0.006380000000000008,0.0006619499813262168,0.14261606661602855,0.0032550555903213996,1.0,0.0,25.4,2.472964932132187
PU-F,0.0,0.5,10,19.4,2.4276188608044165,0.0,0.0,19.4,2.4276188608044165,0.023595249041682108,0.002202279468473162,0.0049899999999999944,0.00042490521818923583,0.1526518625789322,0.003451643434622981,1.0,0.0,16.4,2.4276188608044165
PU-F,0.0,0.6,10,16.5,1.607275126832159,0.0,0.0,16.5,1.607275126832159,0.026263973221648484,0.0018159001488784862,0.005769999999999997,0.0005264239947249967,0.17632906669750809,0.001831140576775672,1.0,0.0,13.5,1.607275126832159
PU-F,0.0,0.7,10,14.1,1.27758452644912,0.0,0.0,14.1,1.27758452644912,0.03125140587217175,0.0019987101694947367,0.005879999999999996,0.0006327716807822504,0.19521262079942972,0.0016356157759896868,1.0,0.0,11.1,1.27758452644912
PU-F,0.0,0.8,10,8.5,0.5,0.0,0.0,8.5,0.5,0.03333620799239725,0.001271131916047606,0.0035699999999999955,0.0003771383477363874,0.21190850839484482,0.004098471099284836,1.0,0.0,5.5,0.5
PU-F,0.4,0.0,10,484.0,17.083455284117566,0.0,0.0,484.0,17.083455284117566,0.18491133724455722,0.006040931871880539,0.020230000000000005,0.0023082966302737863,5.446285774704302,0.3214187474985003,1.0,0.0,481.0,17.083455284117566
PU-F,0.4,0.1,10,460.1,15.564525191744346,0.0,0.0,460.1,15.564525191744346,0.1957742216764018,0.006123688146771336,0.017780000000000008,0.0016924538398431972,4.9630698207998645,0.2110317318118769,1.0,0.0,457.1,15.564525191744346
