method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
PU-C,0,0.4,0.5,1500,1500,225,0,225,0.18199383554747328,0.008900000000000019,0.7001263750134967,1,222
PU-F,0,0.4,0.5,1500,1500,234,0,234,0.18851460044970736,0.026800000000000046,0.7390798330307007,1,231
PU-G,0,0.4,0.5,1500,1500,284,0,284,0.22446389746619388,0.03510000000000002,0.9228873749962077,1,281
GREATS,0,0.4,0.5,1500,1500,283,0,283,,0.017100000000000004,0.6113805829663761,1,280
MaxLoss,0,0.4,0.6,1200,1800,243,0,243,0.24262274953071028,0.023800000000000043,0.398158208001405,1,240
PU-C,0,0.4,0.6,1200,1800,197,0,197,0.20115190133219585,0.015800000000000036,0.43366220901953056,1,194
PU-F,0,0.4,0.6,1200,1800,247,0,247,0.246201274683699,0.03500000000000003,0.719715666025877,1,244
PU-G,0,0.4,0.6,1200,1800,246,0,246,0.24530702689662576,0.027800000000000047,0.8532710840227082,1,243
GREATS,0,0.4,0.6,1200,1800,235,0,235,,0.015900000000000025,0.5691853330354206,1,232
MaxLoss,0,0.4,0.7,900,2100,134,0,134,0.1898119124234654,0.020199999999999996,0.29738250002264977,1,131
PU-C,0,0.4,0.7,900,2100,140,0,140,0.1972026217263192,0.01990000000000003,0.3383193330373615,1,137
PU-F,0,0.4,0.7,900,2100,154,0,154,0.21435099828522652,0.026900000000000035,0.4425027499673888,1,151
PU-G,0,0.4,0.7,900,2100,173,0,173,0.23742782464250922,0.014599999999999946,0.6046512500033714,1,170
GREATS,0,0.4,0.7,900,2100,171,0,171,,0.00880000000000003,0.7116507919854484,1,168
MaxLoss,0,0.4,0.8,600,2400,90,0,90,0.2001374858082272,0.049900000000000055,0.2726568329962902,1,87
PU-C,0,0.4,0.8,600,2400,113,0,113,0.24298511043889448,0.06240000000000001,0.3161967499763705,1,110
PU-F,0,0.4,0.8,600,2400,111,0,111,0.23929446149850264,0.01319999999999999,0.3444839579751715,1,108
