dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,PU-C,0.1,0.0,100,3,100.0,0.0,104.0,0.0,248.33333333333334,5.783117190965824,352.3333333333333,5.783117190965824,0.4044055260795479,0.005983869497491871,0.23703333333333335,0.012644146647537907,0.7044481810642055,0.008917729857306243,0.24695,0.005336303339703756,0.40151425064963453,0.005947249095281637,189.41015518595205,8.71432005598968,0.9962146844093999,0.0009656643728555189,0.0,0.0,0.0,0.0,101.0,0.0,0.14102564102564102,0.016025641025641024,0.0,0.0,0.5799534916877747,0.003786272248438269
mnist,PU-C,0.1,0.0,200,3,200.0,0.0,204.0,0.0,143.33333333333334,12.38726945070803,347.3333333333333,12.38726945070803,0.3992019519403887,0.012807239946395736,0.16473333333333337,0.010469214127356649,0.6534347136826536,0.013408936716634982,0.1433066666666667,0.012343981439461848,0.27981713545858167,0.015246668323361853,282.58782464049847,7.952708653890195,1.8926228837420542,0.005055561465126234,0.0,0.0,1.0,0.0,201.0,0.0,0.13398692810457516,0.011437908496732024,0.0,0.0,0.5770619908968607,0.006285830904133151
mnist,PU-C,0.1,0.0,50,3,50.0,0.0,54.0,0.0,354.6666666666667,19.632739096836296,408.6666666666667,19.632739096836296,0.4621970567192572,0.020037475302363807,0.35313333333333335,0.026338332858739884,0.7551782407763796,0.022879741217629184,0.3521633333333334,0.017667622301197707,0.5136825050079948,0.018183649477630955,129.9494785976736,11.252743824831686,0.5061206941803297,0.0004001159669006034,0.0,0.0,0.0,0.0,51.0,0.0,0.16666666666666666,0.021383343303319473,0.0,0.0,0.5754201213518778,0.008292595029704568
mnist,PU-C,0.2,0.0,100,3,100.0,0.0,104.0,0.0,367.6666666666667,13.86041525752786,471.6666666666667,13.86041525752786,0.526096653775312,0.013938095833107532,0.34423333333333334,0.028788963934890825,0.8055343122130793,0.013385455171360382,0.36646666666666666,0.014813215196048637,0.5283763361412562,0.015035676406134388,188.3216240054188,6.213165857108384,1.0102004560952385,0.00114702803576305,0.0,0.0,0.0,0.0,101.0,0.0,0.2467948717948718,0.02101743116763461,0.0,0.0,0.5733458797136942,0.0054139608857719625
mnist,PU-C,0.2,0.0,200,3,200.0,0.0,204.0,0.0,263.0,4.618802153517007,467.0,4.618802153517007,0.521435215002081,0.00465358446274499,0.2584666666666667,0.008165237970268293,0.7734875115058694,0.003876961894348341,0.26325333333333334,0.004980576718056273,0.4195375784906001,0.005469127563813411,282.23406116799634,7.3301906586269965,1.947023483303686,0.002228014040758481,0.0,0.0,1.0,0.0,201.0,0.0,0.24183006535947713,0.01452319349234573,0.0,0.0,0.5737679998079935,0.0001442567629710737
mnist,PU-C,0.2,0.0,50,3,50.0,0.0,54.0,0.0,421.0,15.17673658377628,475.0,15.17673658377628,0.529441865083451,0.015287055638208341,0.40243333333333337,0.01603582794176148,0.807775860072066,0.015527833433545041,0.41981333333333337,0.016333463945056016,0.581669018909321,0.0161224233051225,127.58060593720286,5.395945368799977,0.5083705993990103,0.00028434644207708695,0.0,0.0,0.0,0.0,51.0,0.0,0.2777777777777778,0.04276668660663895,0.0,0.0,0.571919322013855,0.0073385277150185895
mnist,PU-C,0.3,0.0,100,3,100.0,0.0,104.0,0.0,389.6666666666667,18.74685158751849,493.6666666666667,18.74685158751849,0.548150316986721,0.018739374801746127,0.34190000000000004,0.022391292950609164,0.8195968840526104,0.012991529801991749,0.38921333333333336,0.01772398218359644,0.5512837658777779,0.01766032679673279,183.40472768688372,0.8255974826269722,1.020943332153062,0.004776173331753805,0.0,0.0,0.0,0.0,101.0,0.0,0.3237179487179487,0.025032851525341834,0.0,0.0,0.5783771077791849,0.004956434079522296
mnist,PU-C,0.3,0.0,200,3,200.0,0.0,204.0,0.0,307.0,4.041451884327381,511.0,4.041451884327381,0.565552664513234,0.004034034770007523,0.2824,0.0025579940057266345,0.806054105930153,0.0037736842414528063,0.30627000000000004,0.00472093564172755,0.46596720303989975,0.005019553763301717,278.11740163598046,1.1878234689994243,1.975640634695689,0.004018358242741586,0.0,0.0,1.0,0.0,201.0,0.0,0.29248366013071897,0.01452319349234573,0.0,0.0,0.5828385949134827,0.003053306907461481
mnist,PU-C,0.3,0.0,50,3,50.0,0.0,54.0,0.0,456.6666666666667,8.950481054731702,510.6666666666667,8.950481054731702,0.5652058729513859,0.00893893042360748,0.4506333333333334,0.03972192229879,0.8307248351733033,0.007260696316081245,0.4564033333333333,0.009710731749518711,0.6172825730061366,0.009335647754257242,121.5488330049124,0.7278009159167845,0.5127393066262206,0.0031931016811894038,0.0,0.0,0.0,0.0,51.0,0.0,0.35802469135802467,0.01234567901234568,0.0,0.0,0.5713720122973124,0.0032117599146229184
mnist,PU-C,0.4,0.0,100,3,100.0,0.0,104.0,0.0,430.3333333333333,4.255715111601235,534.3333333333334,4.255715111601235,0.588772408120955,0.004225610424314513,0.47056666666666663,0.009729051569626106,0.8537940568286988,0.002983028532985904,0.43080999999999997,0.0044571104241798954,0.5925875846108387,0.004350830676974009,193.71364504158313,4.346482600642198,1.0228854312251012,0.00037947044269924307,0.0,0.0,0.0,0.0,101.0,0.0,0.3974358974358975,0.0064102564102564066,0.0,0.0,0.5844024419784546,0.00693790888532423
mnist,PU-C,0.4,0.0,200,3,200.0,0.0,204.0,0.0,361.0,4.041451884327381,565.0,4.041451884327381,0.6191039729941016,0.003983094330871715,0.42250000000000004,0.019479989733056844,0.8479009690529323,0.004963104149168461,0.35987333333333327,0.005056224986203736,0.5217868739622725,0.005169779596748136,287.212667643634,4.329080512559925,1.9867453870053093,0.0009263103709684944,0.0,0.0,1.0,0.0,201.0,0.0,0.3758169934640523,0.0016339869281045694,0.0,0.0,0.5771055618921915,0.003197743956293405
mnist,PU-C,0.4,0.0,50,3,50.0,0.0,54.0,0.0,463.3333333333333,11.976829482147787,517.3333333333334,11.97682948214779,0.5718389475950971,0.011940109023312072,0.4820666666666667,0.022209782629383036,0.843736461013573,0.009332185020043949,0.46322333333333326,0.012777183222882483,0.623763129382117,0.012233339240610434,135.1004808830922,5.629194597604349,0.5122344559058547,0.0004027583253399451,0.0,0.0,0.0,0.0,51.0,0.0,0.4012345679012346,0.02225648935471598,0.0,0.0,0.5825052460034689,0.012982180751403935
mnist,PU-F,0.0,0.0,100,3,100.0,0.0,104.0,0.0,79.0,10.598742063723098,183.0,10.598742063723098,0.22511031765801212,0.011560852242824257,0.12519999999999998,0.005200320502943381,0.5146708569896278,0.01413258146076143,0.07841666666666665,0.008675686972479134,0.1943935177967835,0.01238079267687313,211.9394289979806,4.153875085450048,1.355556711864968,0.008544050695903927,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6197621822357178,0.0022129664689957474
mnist,PU-F,0.0,0.0,200,3,193.66666666666666,6.333333333333333,197.66666666666666,6.333333333333333,2.0,1.0,199.66666666666666,7.333333333333333,0.2432193402783014,0.007940614770632237,0.0816,0.0018823743871327178,0.40824440381481947,0.008148878854554665,0.002206666666666669,0.0007963318682838491,0.06044063800872477,0.002792348271171188,311.58331961897665,5.830643509353057,2.247647392253081,0.051069605542731995,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.33333333333333337,194.66666666666666,6.333333333333333,0.0,0.0,0.0,0.0,0.588146984577179,0.003989892631927948
mnist,PU-F,0.0,0.0,50,3,50.0,0.0,54.0,0.0,199.33333333333334,12.170090842352456,253.33333333333334,12.170090842352456,0.30067751653647673,0.01293883279426085,0.21696666666666664,0.0013617798810543443,0.6179875325098982,0.012103072362938396,0.20156666666666664,0.01329358909817476,0.3497701802176298,0.015514566804566091,139.51936921626842,3.7106972937617506,0.7556221233680844,0.005964526555870447,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6174361904462179,0.0016959645358599273
mnist,PU-F,0.1,0.0,100,3,100.0,0.0,104.0,0.0,260.3333333333333,23.91884426788032,364.3333333333333,23.91884426788032,0.4166674804679739,0.02459914610942885,0.2744,0.04346941453481979,0.7316624839940863,0.024291428426519792,0.26267,0.02369879954765644,0.41842389308251327,0.025806912597222932,210.20549859341497,5.8678265126139735,1.5905698050434391,0.031653212563457656,0.0,0.0,0.0,0.0,101.0,0.0,0.22756410256410256,0.00847997215084805,0.0,0.0,0.621228833993276,0.004782922374456123
