dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
volume_gap_fashion_mnist,MaxLoss,0.1,0.0,warm_start,200,5,200.0,0.0,204.0,0.0,2045.6,103.72781690559191,2249.6,103.72781690559191,0.47555274396436287,0.020910117843544074,0.3935,0.006596400533624366,0.39349999999999996,0.006596400533624373,,,,,,,,,3.4754657190060243,0.45092409700391234,0.0,0.0,1.0,0.0,201.0,0.0,0.38725490196078427,0.006391374907061419,0.6088235294117647,0.023833815257143565,0.7252676725387573,0.011280486316296773,0.7252676725387573,0.011280486316296773,0.9999994277954102,4.2549534553467625e-07,0.03216029261720591,0.00030798552294360464,0.87192118226601,0.008948720258416245,0.9270935960591131,0.002872390095982903,0.864039408866995,0.00916309125011739,0.4362745098039215,0.02644334109659055,0.5637254901960784,0.026443341096590554,0.043137254901960784,0.0047526273111924795,0.9392695174112345,0.0074361994482916765,0.004901960784313725,0.0,0.2411542532165029,0.0029022084271623067,1.412384045496896,0.0040630917980271995
volume_gap_fashion_mnist,MaxLoss,0.1,0.0,warm_start,50,5,50.0,0.0,54.0,0.0,2640.8,262.9103269177534,2694.8,262.9103269177534,0.5642951958463527,0.05241271480937133,0.47424999999999995,0.022122810626138818,0.47424999999999995,0.022122810626138807,,,,,,,,,0.9529670810094103,0.44145590003306623,0.0,0.0,0.0,0.0,51.0,0.0,0.4222222222222222,0.020621349491963044,0.6703703703703704,0.09840985374508461,0.7923095941543579,0.01639522513900671,0.7923095941543579,0.01639522513900671,0.9999971032142639,1.922986624944721e-06,0.06135957960812551,0.005636509028101705,0.8264150943396226,0.007059730918441397,0.7811320754716983,0.02279819995017845,0.7735849056603774,0.02151274386979507,0.4666666666666667,0.10064946845704587,0.5333333333333333,0.10064946845704587,0.1074074074074074,0.014814814814814814,0.9320786888624275,0.018490473242082077,0.018518518518518517,0.0,0.24583566432078902,0.012725532794918698,1.4058300699508952,0.017815745912886184
volume_gap_fashion_mnist,MaxLoss,0.1,0.3,warm_start,100,5,100.0,0.0,104.0,0.0,1528.6,89.72714193598279,1632.6,89.72714193598279,0.49677416955819353,0.02586552603607593,0.39735,0.016722851132507276,0.39735,0.01672285113250727,,,,,,,,,1.0607432896038518,0.002419301759566696,0.0,0.0,0.0,0.0,101.0,0.0,0.39038461538461533,0.008382497968347448,0.6173076923076923,0.03252218177939954,0.7499172449111938,0.009123680139020518,0.7499172449111938,0.009123680139020518,0.9999979972839356,1.2859417206601864e-06,0.05130585779264135,0.0019129552366936489,0.821359223300971,0.02542873952176465,0.8660194174757281,0.013866851317558946,0.8058252427184465,0.01965869585564716,0.3923076923076923,0.03180352963181005,0.6076923076923076,0.03180352963181005,0.05192307692307692,0.0057692307692307696,0.9524351017107753,0.006708762662189835,0.009615384615384616,0.0,0.2575982294315099,0.004324130148270611,1.389362478795886,0.0060537822075788375
volume_gap_fashion_mnist,MaxLoss,0.1,0.3,warm_start,200,5,200.0,0.0,204.0,0.0,1377.8,56.94506124327201,1581.8,56.94506124327201,0.48225765115348623,0.01640906267878061,0.37710000000000005,0.013290174942415179,0.3771,0.013290174942415163,,,,,,,,,2.8279019576264544,0.0022518132415494368,0.0,0.0,1.0,0.0,201.0,0.0,0.3980392156862745,0.006466130371702415,0.6980392156862745,0.01791732047303635,0.7157783746719361,0.0058150062579341065,0.7157783746719361,0.0058150062579341065,0.9999999523162841,1.4889235492702477e-07,0.03338121199255506,0.0010811449848825718,0.852216748768473,0.013309611907493895,0.9241379310344827,0.005071738985707876,0.8492610837438423,0.012423172623565026,0.5156862745098039,0.019935979811434076,0.484313725490196,0.01993597981143407,0.04607843137254902,0.004545891419360638,0.9342033189246317,0.00413717771492987,0.004901960784313725,0.0,0.24876147925213216,0.006050620844331083,1.401733929047015,0.008470869182063535
volume_gap_fashion_mnist,MaxLoss,0.1,0.3,warm_start,50,5,50.0,0.0,54.0,0.0,1583.2,82.79577283895598,1637.2,82.79577283895598,0.4981206671684049,0.023881417006679635,0.44915000000000005,0.025063743734725665,0.44915000000000005,0.025063743734725665,,,,,,,,,0.47709089680574834,0.0017289305474159418,0.0,0.0,0.0,0.0,51.0,0.0,0.4185185185185185,0.011111111111111117,0.6666666666666666,0.05003428180039368,0.7846406817436218,0.01373641062841455,0.7846406817436218,0.01373641062841455,0.9999984383583069,8.65479145929177e-07,0.07063131411120578,0.0034769495322233227,0.750943396226415,0.01829313153742013,0.7509433962264151,0.023414478577341257,0.7056603773584905,0.035599928800213614,0.41481481481481486,0.03954473426678264,0.5851851851851851,0.039544734266782636,0.08888888888888888,0.006928995160692484,0.94412862940618,0.008955831332951835,0.018518518518518517,0.0,0.25710551995597364,0.010758101357236025,1.3900522720616366,0.0150613419001304
volume_gap_fashion_mnist,MaxLoss,0.1,0.6,warm_start,100,5,100.0,0.0,104.0,0.0,847.6,59.27275934187643,951.6,59.27275934187643,0.5150858357315883,0.02982169271359223,0.41125000000000006,0.015942670729836947,0.41125000000000006,0.01594267072983695,,,,,,,,,0.9523560563800857,0.0013357038608712557,0.0,0.0,0.0,0.0,101.0,0.0,0.4269230769230769,0.014455092671512411,0.7461538461538462,0.039947265534309585,0.7642472624778748,0.009150833356421643,0.7642472624778748,0.009150833356421643,0.9999982595443726,8.750725148972854e-07,0.05124729119458245,0.001155418919736019,0.8077669902912621,0.003632677074537805,0.8563106796116504,0.0056611183445099975,0.7980582524271844,0.0056611183445099975,0.47115384615384615,0.041020632707118344,0.5288461538461539,0.041020632707118344,0.06153846153846154,0.0049029033784546,0.9510043564927348,0.006267966474548962,0.009615384615384616,0.0,0.25220783592930607,0.004399388098683019,1.3969090296989712,0.006159143338156249
volume_gap_fashion_mnist,MaxLoss,0.1,0.6,warm_start,200,5,200.0,0.0,204.0,0.0,719.6,62.89403787323564,923.6,62.89403787323564,0.5009566121036186,0.03157199417977065,0.38285,0.01030188089622472,0.38285,0.010301880896224726,,,,,,,,,2.596868399810046,0.0021799957798298284,0.0,0.0,1.0,0.0,201.0,0.0,0.403921568627451,0.007204381596421114,0.7960784313725491,0.01889640712489841,0.7296944499015808,0.011459163520762676,0.7296944499015808,0.011459163520762676,0.9999986052513122,9.93736531561252e-07,0.03472480768053403,0.0011163926354123331,0.839408866995074,0.012616993571296255,0.9024630541871922,0.006497983230676307,0.8354679802955666,0.010403306444306839,0.5735294117647058,0.020854948417826123,0.4264705882352941,0.02085494841782612,0.043137254901960784,0.0018341457778303634,0.9396015283695759,0.0025624828528092547,0.004901960784313725,0.0,0.2516735827514357,0.005624402852766703,1.39765698414799,0.007874163993873362
volume_gap_fashion_mnist,MaxLoss,0.1,0.6,warm_start,50,5,50.0,0.0,54.0,0.0,938.2,92.41287789047584,992.2,92.41287789047584,0.5350547122303396,0.046377548009273364,0.42145,0.02145815695720395,0.42145,0.02145815695720394,,,,,,,,,0.43045989361125975,0.0008143359607034117,0.0,0.0,0.0,0.0,51.0,0.0,0.4148148148148148,0.019945054841238898,0.7592592592592592,0.04829038818668628,0.7740635991096496,0.006468920532840855,0.7740635991096496,0.006468920532840855,0.9999959468841553,2.7337032068893018e-06,0.0718732441371342,0.002820776834543303,0.7584905660377359,0.016230802390646483,0.739622641509434,0.021841201703377798,0.7169811320754716,0.01978884619188966,0.45185185185185184,0.043271560909436756,0.5481481481481482,0.043271560909436756,0.1037037037037037,0.007407407407407407,0.9427117029334366,0.008434628249709373,0.018518518518518517,0.0,0.2667652054674136,0.006411879924314944,1.3765287123456207,0.00897663189404087
volume_gap_fashion_mnist,PU-R,0.1,0.0,warm_start,100,5,100.0,0.0,104.0,0.0,2523.8,119.6559233803325,2627.8,119.6559233803325,0.5514016336528584,0.02397282428909657,0.45685000000000003,0.02065469075052929,0.4568499999999999,0.020654690750529288,,,,,,,,,2.3741268878104167,0.028578514587403927,0.0,0.0,0.0,0.0,101.0,0.0,0.3480769230769231,0.007065835796489932,0.46153846153846156,0.01849556159776091,0.6973857879638672,0.0049667937377635306,0.6973857879638672,0.0049667937377635306,0.9999863982200623,5.310984568798505e-06,0.05383505676556559,0.0015761990613125552,0.8601941747572817,0.00951258152537158,0.8970873786407768,0.004950504382128915,0.8427184466019417,0.00990100876425783,0.19230769230769235,0.015203257981578752,0.8076923076923077,0.01520325798157873,0.032692307692307694,0.004902903378454601,0.9851149412023563,0.001647993987313657,0.009615384615384616,0.0,0.2571841663036583,0.002808975853999542,1.3899421671748782,0.003932566195599352
volume_gap_fashion_mnist,PU-R,0.1,0.0,warm_start,200,5,200.0,0.0,204.0,0.0,2257.2,67.68042553057717,2461.2,67.68042553057717,0.518133175233379,0.01356991718457614,0.37254999999999994,0.006390618123468191,0.37255000000000005,0.006390618123468177,,,,,,,,,6.602850644220598,0.06906345865816538,0.0,0.0,1.0,0.0,201.0,0.0,0.3352941176470588,0.015077016175715392,0.5019607843137255,0.03326839117834735,0.6520559191703796,0.019453941825207318,0.6520559191703796,0.019453941825207318,0.9999880075454712,4.366763359374204e-06,0.02934239726935701,0.0008430760731483683,0.9339901477832513,0.006346846663411384,0.9487684729064039,0.005071738985707894,0.929064039408867,0.005952239395859388,0.24411764705882355,0.04426446159791886,0.7558823529411764,0.044264461597918844,0.024509803921568627,0.0015501361079256761,0.9748504837382335,0.005123162991752635,0.004901960784313725,0.0,0.2133449314775345,0.002077338522981896,1.4513170959314516,0.0029082739321747084
