method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
GREATS,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1513,1567,,0.4215,0.4215,,,,,0.8096583220176399,0,0,51,0.3888888888888889,0.6296296296296297,0.7179538607597351,0.7179538607597351,0.9999836683273315,0.06751628641812306,0.8490566037735849,0.8301886792452831,0.8301886792452831,0.24074074074074073,0.7592592592592593,0.037037037037037035,0.9842939492022541,0.018518518518518517,0.2832201108304726,1.3534918448373383
GREATS,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1446,1550,,0.42900000000000005,0.429,,,,,1.828360831947066,0,0,101,0.3557692307692308,0.6442307692307693,0.7313448190689087,0.7313448190689087,0.9999985694885254,0.05289711361949884,0.8058252427184466,0.8446601941747572,0.7766990291262136,0.3173076923076923,0.6826923076923077,0.028846153846153848,0.982812563679621,0.009615384615384616,0.26111907894990083,1.3844332894701388
GREATS,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1217,1421,,0.31675,0.31675,,,,,4.502044216031209,0,1,201,0.35294117647058826,0.6617647058823529,0.7239415645599365,0.7239415645599365,0.9999973773956299,0.03522768455185914,0.8669950738916257,0.9113300492610837,0.8620689655172413,0.4019607843137255,0.5980392156862745,0.024509803921568627,0.9705046279126401,0.004901960784313725,0.23363773917967556,1.4229071651484542
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,1131,1185,0.6316076345392503,0.4295,0.4295,,,,,0.43121131404768676,0,0,51,0.35185185185185186,0.5925925925925926,0.7770394086837769,0.7770394086837769,0.9999967813491821,0.0750282013191367,0.7735849056603774,0.7358490566037735,0.7169811320754716,0.2962962962962963,0.7037037037037037,0.09259259259259259,0.961223886467997,0.018518518518518517,0.2638720698471355,1.3805791022140101
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,922,1026,0.5526635674177669,0.39475000000000005,0.39475,,,,,0.9563487829873338,0,0,101,0.38461538461538464,0.6538461538461539,0.7318128943443298,0.7318128943443298,0.9999948740005493,0.05426506104978543,0.8155339805825242,0.8543689320388349,0.7961165048543689,0.38461538461538464,0.6153846153846154,0.04807692307692308,0.9687198761379382,0.009615384615384616,0.2650301005665273,1.3789578592068616
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,606,810,0.4437736958498135,0.36950000000000005,0.3695,,,,,2.6019099600380287,0,1,201,0.37745098039215685,0.75,0.7139215469360352,0.7139215469360352,0.999994695186615,0.03613548457916147,0.8325123152709359,0.9113300492610837,0.8275862068965517,0.5147058823529411,0.4852941176470588,0.04411764705882353,0.9426163182599168,0.004901960784313725,0.24907190549479338,1.401299332307289
PU-R,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,828,882,0.4802808001986705,0.37849999999999995,0.3785,,,,,0.6500081989215687,0,0,51,0.37037037037037035,0.6666666666666666,0.7540807723999023,0.7540807723999023,0.9999972581863403,0.08118067260058422,0.7358490566037735,0.7358490566037735,0.6981132075471698,0.3333333333333333,0.6666666666666666,0.07407407407407407,0.9716243467133381,0.018518518518518517,0.28866827109733695,1.3458644204637282
PU-R,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,806,910,0.4944207146181725,0.4085,0.4085,,,,,1.5505617129383609,0,0,101,0.36538461538461536,0.6634615384615384,0.7464871406555176,0.7464871406555176,0.9999964833259583,0.0566952037579805,0.7475728155339806,0.8446601941747572,0.7378640776699029,0.38461538461538464,0.6153846153846154,0.04807692307692308,0.9678715988735458,0.009615384615384616,0.2627661144694444,1.3821274397427776
PU-R,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,698,902,0.49038398294942454,0.36324999999999996,0.36325,,,,,4.5211219399934635,0,1,201,0.38235294117647056,0.75,0.7419994473457336,0.7419994473457336,0.9999968409538269,0.03310097511765992,0.8669950738916257,0.9064039408866995,0.8620689655172413,0.5196078431372549,0.4803921568627451,0.0392156862745098,0.9500706280846776,0.004901960784313725,0.22959245031525546,1.4285705695586421
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,985,1039,0.559157025127206,0.45599999999999996,0.456,,,,,0.6975812340388075,0,0,51,0.35185185185185186,0.5740740740740741,0.7655385732650757,0.7655385732650757,0.9999997615814209,0.08392313178980125,0.6981132075471698,0.7169811320754716,0.6792452830188679,0.25925925925925924,0.7407407407407407,0.05555555555555555,0.9786697780212607,0.018518518518518517,0.28241790000470257,1.3546149399934164
