method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R-Vol,volume_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,1971,2075,0.4404106120346114,0.40549999999999997,0.4055,,,,,3.009725778363645,0,0,101,0.21153846153846154,0.5,0.6269912123680115,0.6269912123680115,0.9857436418533325,0.042486230851811115,0.9805825242718447,0.9611650485436893,0.9611650485436893,1.0,0.5,0.22241803485438827,2.5551639302912235
PU-R-Vol,volume_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1730,1934,0.4118609363795258,0.35450000000000004,0.3545,,,,,8.148465005680919,0,1,201,0.22058823529411764,0.4950980392156863,0.5844616889953613,0.5844616889953613,0.993676483631134,0.02418144580763604,0.9901477832512315,0.9901477832512315,0.9901477832512315,0.9999306652175605,0.4950980392156863,0.18874296111917005,2.62251407776166
GREATS,volume_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2541,2595,,0.48124999999999996,0.48125,,,,,1.3548836121335626,0,0,51,0.3333333333333333,0.7037037037037037,0.752045750617981,0.752045750617981,0.999829888343811,0.0762957401995389,0.7735849056603774,0.7924528301886793,0.7547169811320755,0.876716288999464,0.2962962962962963,0.270640387425814,2.4587192251483723
GREATS,volume_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2145,2249,,0.41200000000000003,0.412,,,,,2.9089041417464614,0,0,101,0.3076923076923077,0.7307692307692307,0.7565456032752991,0.7565456032752991,0.9999434351921082,0.05358771097312853,0.8349514563106796,0.8932038834951457,0.8349514563106796,0.8403586716091171,0.2692307692307692,0.23718549826123161,2.525629003477537
GREATS,volume_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1790,1994,,0.35724999999999996,0.35725,,,,,6.805330767296255,0,1,201,0.29901960784313725,0.696078431372549,0.7278795838356018,0.7278795838356018,0.9999979734420776,0.03150283104368472,0.9605911330049262,0.9507389162561576,0.9408866995073891,0.8860318997477157,0.30392156862745096,0.20352335980889685,2.5929532803822064
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.1,50,50,4500,500,54,2207,2261,0.5296977396938019,0.49650000000000005,0.4965,,,,,0.7050505261868238,0,0,51,0.3148148148148148,0.6296296296296297,0.7991034984588623,0.7991034984588623,1.0,0.07048973047508383,0.7547169811320755,0.7547169811320755,0.7169811320754716,0.9509560484549724,0.37037037037037035,0.2500846974287009,2.4998306051425985
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.1,100,100,4500,500,104,2419,2523,0.5878255923162214,0.473,0.473,,,,,1.4861727394163609,0,0,101,0.3076923076923077,0.6346153846153846,0.7321400046348572,0.7321400046348572,1.000000238418579,0.05546498877330891,0.8058252427184466,0.8737864077669902,0.7572815533980582,0.9470622432515329,0.36538461538461536,0.2625062829546377,2.4749874340907247
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.1,200,200,4500,500,204,1622,1826,0.43235813186038285,0.37075,0.37075,,,,,3.613957941532135,0,1,201,0.3137254901960784,0.6029411764705882,0.7103375792503357,0.7103375792503357,0.9999997615814209,0.03163966066731608,0.916256157635468,0.9556650246305419,0.9113300492610837,0.9692040949598236,0.39705882352941174,0.2185282502130163,2.5629434995739673
Marginal,volume_duplicate_fashion_mnist,0,0.1,0.1,50,50,4500,500,54,1085,1139,0.2763484846218489,0.31775,0.31775,,,,,0.894834659062326,0,0,51,0.07407407407407407,0.6481481481481481,0.6304171681404114,0.6304171681404114,0.999164879322052,0.04098465103866919,0.9622641509433962,0.9811320754716981,0.9622641509433962,0.9357110512652843,0.35185185185185186,0.22917231838847862,2.5416553632230428
Marginal,volume_duplicate_fashion_mnist,0,0.1,0.1,100,100,4500,500,104,916,1020,0.24898499489063397,0.25375000000000003,0.25375,,,,,1.8783234590664506,0,0,101,0.057692307692307696,0.5384615384615384,0.6097038984298706,0.6097038984298706,0.999601423740387,0.026827261054739177,0.9805825242718447,0.9902912621359223,0.9805825242718447,0.9957274520849256,0.46153846153846156,0.20210702317958493,2.59578595364083
