method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,mnist,0,0.0,0.4,50,50,600,400,54,94,148,0.30666646955069155,0.19410000000000005,0.6023270202770818,0.1533,0.2924265439015192,110.60095844111054,0.5620241540018469,0,0,51,0.0,0.0,0.5841352939605713
PU-C,mnist,0,0.0,0.4,100,100,600,400,104,39,143,0.297665253339801,0.13060000000000005,0.5518942405425703,0.06573333333333332,0.1765079193862244,172.69469191812377,1.0788584291003644,0,1,101,0.0,0.0,0.5965070128440857
Marginal,mnist,0,0.0,0.4,50,50,600,400,54,127,181,0.3653831365518272,0.24419999999999997,0.652324752110157,0.21416666666666673,0.36451995715845953,95.43341492944127,0.5167459060903639,0,0,51,0.0,0.0,0.6242094039916992
Marginal,mnist,0,0.0,0.4,100,100,600,400,104,92,196,0.39171031350269914,0.18989999999999996,0.6473984068994015,0.15576666666666666,0.2954493436161571,146.31731446299779,0.9901865739375353,0,1,101,0.0,0.0,0.5967220067977905
MaxLoss,mnist,0,0.0,0.6,50,50,400,600,54,45,99,0.32053921528859064,0.18579999999999997,0.607510425382831,0.111625,0.23968410067143447,104.88732805425312,0.4164899489842355,0,0,51,0.0,0.0,0.5883901119232178
MaxLoss,mnist,0,0.0,0.6,100,100,400,600,104,2,106,0.33955328253796324,0.12180000000000002,0.5133603236958667,0.005774999999999979,0.07101064595969969,177.03477168183852,0.8004848400596529,0,1,101,0.0,0.0,0.5900087356567383
PU-R,mnist,0,0.0,0.6,50,50,400,600,54,95,149,0.4534345018910244,0.27769999999999995,0.7518188760851121,0.236175,0.3894944347152926,110.31235789463491,0.5525196110829711,0,0,51,0.0,0.0,0.5733437538146973
PU-R,mnist,0,0.0,0.6,100,100,400,600,104,17,121,0.37982113496400416,0.13739999999999997,0.5919128746611992,0.04127500000000001,0.1390338855849705,169.50471831321215,1.2042408790439367,0,1,101,0.0,0.0,0.5928227305412292
PU-C,mnist,0,0.0,0.6,50,50,400,600,54,71,125,0.39045643992722034,0.238,0.6890020632946278,0.176375,0.320342346773468,107.36786651166348,0.49606162682175636,0,0,51,0.0,0.0,0.5889211893081665
PU-C,mnist,0,0.0,0.6,100,100,400,600,104,18,122,0.38248387264320627,0.15139999999999998,0.5982342804705529,0.04507500000000002,0.14512395872897196,168.94005324755477,0.9556900958996266,0,1,101,0.0,0.0,0.5812690258026123
Marginal,mnist,0,0.0,0.6,50,50,400,600,54,96,150,0.4560289928340353,0.2659,0.7351296441341073,0.240025,0.3938120880027517,95.39316431513797,0.45440393197350204,0,0,51,0.0,0.0,0.5950351357460022
Marginal,mnist,0,0.0,0.6,100,100,400,600,104,63,167,0.4997916935244575,0.2097,0.7210170610782498,0.15765,0.2977507740434319,146.9347896634082,0.871779901906848,0,1,101,0.0,0.0,0.5902966856956482
MaxLoss,mnist,0,0.0,0.8,50,50,200,800,54,13,67,0.44498383486643434,0.17390000000000005,0.6873777255582955,0.0628,0.17219942629922097,106.85110632644756,0.40844404115341604,0,0,51,0.0,0.0,0.5714829564094543
MaxLoss,mnist,0,0.0,0.8,100,69,200,800,73,0,73,0.47660708084004,0.139,0.6254060680909479,0.0017500000000000016,0.05917675001463113,138.6822572245123,0.5870635679457337,1,0,70,0.0,0.0,0.586894154548645
PU-R,mnist,0,0.0,0.8,50,50,200,800,54,18,72,0.47136887366650626,0.20489999999999997,0.7119746481778707,0.09089999999999997,0.2119965026901903,100.55755743326472,0.5313274071086198,0,0,51,0.0,0.0,0.5809120535850525
PU-R,mnist,0,0.0,0.8,100,74,200,800,78,0,78,0.5026096434448846,0.14180000000000004,0.6134263794709442,0.0,0.051604029648496474,137.98408969948824,0.8447495680302382,1,0,75,0.0,0.0,0.5830510258674622
PU-C,mnist,0,0.0,0.8,50,50,200,800,54,16,70,0.4608539938926697,0.1815,0.7110950715820683,0.08399999999999995,0.20249875102774592,104.388946014418,0.47860837494954467,0,0,51,0.0,0.0,0.5788251757621765
PU-C,mnist,0,0.0,0.8,100,73,200,800,77,0,77,0.49743396998383105,0.14029999999999998,0.622862613083553,0.0006000000000000005,0.05476825670768254,140.37428009762715,0.7137387548573315,1,0,74,0.0,0.0,0.5786758661270142
Marginal,mnist,0,0.0,0.8,50,50,200,800,54,29,83,0.5283054190222174,0.22150000000000003,0.7734596357545276,0.14515,0.2823679281893535,101.8897856835504,0.44028182700276375,0,0,51,0.0,0.0,0.6008265018463135
Marginal,mnist,0,0.0,0.8,100,100,200,800,104,6,110,0.6619772095000371,0.1835,0.7142054272290862,0.03450000000000003,0.12784774787445716,143.92764695754363,0.8440000561531633,0,1,101,0.0,0.0,0.6201687455177307
MaxLoss,mnist,0,0.3,0.0,50,50,1000,0,54,450,504,0.5585665549151599,0.4374,0.8313722382047174,0.44916999999999996,0.61039103971305,130.18124258283547,0.46699824393726885,0,0,51,0.4444444444444444,0.0,0.6056265830993652
MaxLoss,mnist,0,0.3,0.0,100,100,1000,0,104,432,536,0.5904303944553249,0.4708,0.8718523978144791,0.43284000000000006,0.5945778352779583,231.85832041692333,0.9209463009610772,0,1,101,0.4519230769230769,0.0,0.6066703796386719
PU-R,mnist,0,0.3,0.0,50,50,1000,0,54,440,494,0.5485623091226444,0.4404,0.8216921779940637,0.43542000000000003,0.5970874191738735,130.30682373504567,0.6842189359012991,0,0,51,0.35185185185185186,0.0,0.5616373419761658
PU-R,mnist,0,0.3,0.0,100,100,1000,0,104,369,473,0.5274811378330924,0.32020000000000004,0.813237945008418,0.37178000000000005,0.533923271730827,194.07493161173176,1.5261420828755945,0,1,101,0.28846153846153844,0.0,0.5832540988922119
PU-C,mnist,0,0.3,0.0,50,50,1000,0,54,463,517,0.5715388267417438,0.45089999999999997,0.8353990719664529,0.46331000000000006,0.6239479610812424,121.1015418843471,0.6045600299257785,0,0,51,0.37037037037037035,0.0,0.5777148604393005
PU-C,mnist,0,0.3,0.0,100,100,1000,0,104,428,532,0.5864599505439401,0.38639999999999997,0.845423714101219,0.4244599999999999,0.5863972807131309,185.04804626095853,1.2215684419497848,0,1,101,0.36538461538461536,0.0,0.5743476152420044
Marginal,mnist,0,0.3,0.0,50,50,1000,0,54,436,490,0.5445543937385082,0.3217,0.8087292389025295,0.43457999999999997,0.5962708098535396,112.38320279082271,0.5315365251153708,0,0,51,0.2962962962962963,0.0,0.6020036339759827
Marginal,mnist,0,0.3,0.0,100,100,1000,0,104,397,501,0.5555676136864349,0.2943,0.8185168375673673,0.3981300000000001,0.5603992457352877,169.11296743852998,1.0499400340486318,0,1,101,0.2980769230769231,0.0,0.6058867573738098
MaxLoss,mnist,0,0.3,0.2,50,50,800,200,54,374,428,0.595274634019006,0.4972,0.8573726939912345,0.46472499999999994,0.6252977273659841,124.2535350632884,0.47849299595691264,0,0,51,0.37037037037037035,0.0,0.6267940998077393
MaxLoss,mnist,0,0.3,0.2,100,100,800,200,104,304,408,0.5704310340806842,0.45389999999999997,0.8555262029740901,0.3869375,0.5492101470698055,208.2327039329301,0.9242657360155135,0,1,101,0.4519230769230769,0.0,0.5729185342788696
PU-R,mnist,0,0.3,0.2,50,50,800,200,54,389,443,0.6138050197041593,0.5323,0.8685589463468191,0.4842499999999999,0.6437953358626444,122.47589977565745,0.6817836910486221,0,0,51,0.3888888888888889,0.0,0.5657562613487244
PU-R,mnist,0,0.3,0.2,100,100,800,200,104,332,436,0.6051684963167645,0.41800000000000004,0.8600511000360522,0.4107,0.5728669576525508,187.67216263648044,1.502128689084202,0,1,101,0.3269230769230769,0.0,0.57062166929245
PU-C,mnist,0,0.3,0.2,50,50,800,200,54,329,383,0.5391594606335275,0.3507,0.8262512810510988,0.4108624999999999,0.5730274598004624,131.9616900960054,0.603608428966254,0,0,51,0.3333333333333333,0.0,0.5755799412727356
PU-C,mnist,0,0.3,0.2,100,100,800,200,104,306,410,0.5729223618400283,0.37760000000000005,0.8459016551277507,0.38061249999999996,0.5428500595603897,197.66990625406157,1.1886729379184544,0,1,101,0.36538461538461536,0.0,0.5930368900299072
Marginal,mnist,0,0.3,0.2,50,50,800,200,54,346,400,0.560450300166849,0.3136,0.8279314882854767,0.4321749999999999,0.5939302989208423,113.71580505686312,0.5404097340069711,0,0,51,0.2777777777777778,0.0,0.6246634721755981
Marginal,mnist,0,0.3,0.2,100,100,800,200,104,307,411,0.5741674465825781,0.2812,0.8335942669966282,0.3847999999999999,0.5470637978621635,171.10977366890575,1.0440393041353673,0,1,101,0.22115384615384615,0.0,0.6028823852539062
MaxLoss,mnist,0,0.3,0.4,50,50,600,400,54,265,319,0.6004084598389454,0.43300000000000005,0.8680764510998713,0.4355833333333333,0.5972461522757536,128.46056799233045,0.4726484161801636,0,0,51,0.5,0.0,0.6124075055122375
