method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.3,0.6,2000,3000,800,351,1151,796,0.6148148979991674,0.25960000000000005,0.2596,0.1755,0.0,0.7772397627307872,0.17584000000000002,0.3878150680521963,690.6826918622087,1.0,30.85877307871642,0.0,1.0116725628910501,29.84710051582537,30.85877307871642,0.9995,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.2231053156434408,0.1755,1.0476053156434408,797,2000,2000,0.1193776641714437,0.00012568600613418795,0.3076923076923077,1.234885682521912,25.382064554997893,89.6441263789311,0,797,1273606,0.34125,0.0,0.5622025728225708,0.5622025728225708,0.9932554960250854,0.007099070556832475,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16055339682706166,1.4197233015864692
GREATS,mnist,0,0.3,0.6,2000,3000,800,219,1019,796,,0.36519999999999997,0.3652,0.10950000000000004,0.0,0.7590317823168788,0.11109,0.30436242393492335,910.8658160919564,1.0,30.85877307871642,0.0,1.0116725628910501,29.84710051582537,30.85877307871642,0.9995,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.1571053156434408,0.10950000000000004,1.0476053156434408,797,2000,2000,0.1193776641714437,0.00012568600613418795,0.3076923076923077,1.234885682521912,25.382064554997893,49.930803602561355,0,797,1273606,0.41,0.0,0.5810309648513794,0.5810309648513794,0.9943124055862427,0.007541869797024675,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15953418994602805,1.420232905026986
PU-R,mnist,0,0.3,0.7,1500,3500,800,175,975,796,0.6933300564996898,0.26980000000000004,0.2698,0.11733333333333329,0.0012499999999999734,0.771992819857831,0.11602666666666667,0.31110114093391295,710.7692051799964,1.0,38.44807769249299,0.0012499999999999734,1.0120433825029667,37.43478430999002,38.44682769249299,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.368287320047547,0.11733333333333329,1.2509539867142137,797,1500,1500,0.1193776641714437,0.00012568600613418795,0.46153846153846156,0.4876560556199891,21.028732967288033,89.3638333613053,0,797,875106,0.3475,0.0,0.5708875060081482,0.5708875060081482,0.9977537393569946,0.0076935271812936246,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1610748765044324,1.4194625617477838
GREATS,mnist,0,0.3,0.7,1500,3500,800,33,833,796,,0.29890000000000005,0.2989,0.02200000000000002,0.0,0.689605945577933,0.02261333333333333,0.16210558574076778,888.3414125173749,1.0,38.44682769249299,0.0,1.0120433825029667,37.43478430999002,38.44682769249299,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.2729539867142137,0.02200000000000002,1.2509539867142137,797,1500,1500,0.1193776641714437,0.00012568600613418795,0.46153846153846156,0.4876560556199891,21.028732967288033,48.611282602883875,0,797,875106,0.405,0.0,0.5730999112129211,0.5730999112129211,0.9927115440368652,0.006998853298727055,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1584211427298664,1.4207894286350669
PU-R,mnist,0,0.3,0.8,1000,4000,776,0,776,772,0.8212419140036218,0.35660000000000003,0.3566,0.0,0.0,0.6762307346948906,0.0003200000000000003,0.10252243371107535,714.126386655168,1.0,49.91696616013153,0.0,1.012566254188933,48.9043999059426,49.91696616013153,0.999,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.5829355085754202,0.0,1.5829355085754202,773,1000,1000,0.1193776641714437,0.00012568600613418795,0.6153846153846154,1.2536126666626368,13.287666670996696,80.9416189417243,1,773,471530,0.4059278350515464,0.0,0.5688107013702393,0.5688107013702393,0.9942272305488586,0.008241661844714995,0.9961290322580645,0.9974193548387097,0.9961290322580645,0.0,0.0,0.1645576272261135,1.4177211863869432
GREATS,mnist,0,0.3,0.8,1000,4000,647,0,647,643,,0.3547,0.3547,0.0,0.0,0.7062695828260613,0.00024000000000000022,0.10208949390275553,798.376848284239,1.0,44.13355751588447,0.0,1.012566254188933,43.120991261695536,44.13355751588447,0.999,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.491374315203873,0.0,1.491374315203873,644,1000,1000,0.1193776641714437,0.00012568600613418795,0.46153846153846156,3.9094253690431287,12.550719777955075,29.461550809442997,1,644,434378,0.42040185471406494,0.0,0.5676454901695251,0.5676454901695251,0.994627833366394,0.008772416318544755,0.9984520123839009,0.9984520123839009,0.9984520123839009,0.0,0.0,0.1580707939862938,1.420964603006853
PU-R,mnist,1,0.3,0.0,5000,0,800,1537,2337,796,0.4932328066206537,0.2528,0.2528,0.3074,0.0,0.7708222504203156,0.307108,0.5350885807755097,659.364083829547,1.0,14.387668439452662,0.0,1.0104923776789552,13.377176061773707,14.387668439452662,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9913562425752629,0.9913562425752629,0.3074,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,103.02826023288071,0,797,3664606,0.34125,0.0,0.5629015564918518,0.5629015564918518,0.9969756007194519,0.007785059625964183,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.1652191685833624,1.4173904157083188
GREATS,mnist,1,0.3,0.0,5000,0,800,1700,2500,796,,0.4406,0.4406,0.33999999999999997,0.0,0.8329898352039057,0.34059199999999995,0.5693792621009645,947.8856938629876,1.0,14.387668439452662,0.0,1.0104923776789552,13.377176061773707,14.387668439452662,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0239562425752629,0.33999999999999997,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,61.63061665557325,0,797,3664606,0.4525,0.0,0.5835845470428467,0.5835845470428467,0.9916461110115051,0.007889908231393863,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16139062366015636,1.4193046881699218
PU-R,mnist,1,0.3,0.1,4500,500,800,1368,2168,796,0.5089742396376096,0.26339999999999997,0.2634,0.30400000000000005,0.0,0.7768816448347217,0.30407555555555554,0.531926113517922,645.6988119957009,1.0,15.747062503289165,0.0,1.0106280122561337,14.73643449103303,15.747062503289165,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0034450334629375,0.30400000000000005,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,100.84614916332066,0,797,3266106,0.31375,0.0,0.5582256317138672,0.5582256317138672,0.9976516962051392,0.007130276317357346,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16149152277129086,1.4192542386143545
GREATS,mnist,1,0.3,0.1,4500,500,800,1464,2264,796,,0.4414,0.4414,0.32533333333333336,0.0,0.8344594197007725,0.32506222222222225,0.5536163720612763,962.1296368361301,1.0,15.747062503289165,0.0,1.0106280122561337,14.73643449103303,15.747062503289165,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0247783667962707,0.32533333333333336,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,59.250839532352984,0,797,3266106,0.45125,0.0,0.5770367980003357,0.5770367980003357,0.9932689070701599,0.007878507162270617,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16318210693296245,1.4184089465335188
PU-R,mnist,1,0.3,0.2,4000,1000,800,1163,1963,796,0.5195058567915112,0.27690000000000003,0.2769,0.29074999999999995,0.0,0.7779107362319381,0.290705,0.517864532181243,643.8360654123142,1.0,17.41285625089355,0.0,1.010779660365391,16.40207659052816,17.41285625089355,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0270916988253516,0.29074999999999995,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,98.59781397785991,0,797,2867606,0.3425,0.0,0.5586295127868652,0.5586295127868652,0.9955413341522217,0.00797381263240258,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16648302127248185,1.416758489363759
GREATS,mnist,1,0.3,0.2,4000,1000,800,1103,1903,796,,0.3738,0.3738,0.27575000000000005,0.0,0.8038094991676435,0.27501000000000003,0.501105816471039,907.1147106669475,1.0,17.41285625089355,0.0,1.010779660365391,16.40207659052816,17.41285625089355,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0120916988253517,0.27575000000000005,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,57.43823269754648,0,797,2867606,0.4275,0.0,0.5863132476806641,0.5863132476806641,0.9925882816314697,0.007868793675295999,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16161944201252504,1.4191902789937374
