dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,MaxLoss,0.0,0.4,5,344.4,7.826876771739797,0.0,0.0,344.4,7.826876771739797,0.13518243321450427,0.0028135221152257596,0.05608,0.0008242572413997794,0.05608,0.0008242572413997955,,,,,,,,,6.476153700985014,0.3181722386335925,1.0,0.0,,,341.4,7.826876771739797,0.0,0.0,0.0,0.0,0.5783082008361816,0.002081466762315103,0.5783082008361816,0.002081466762315103,0.9892129778862,0.0005018859088645515,0.017883961349376472,0.0003453719060271851,0.9970820249644865,6.495735611877251e-05,0.9970820249644865,6.495735611877251e-05,0.9970820249644865,6.495735611877251e-05,0.0,0.0,0.0,0.0,0.18014103530221076,0.0007675023106839594,1.4099294823488946,0.0003837511553419575
mnist,MaxLoss,0.0,0.5,5,310.4,6.889121859859934,0.0,0.0,310.4,6.889121859859934,0.14720289793331176,0.0029837881613229717,0.05714000000000001,0.0015085091978506418,0.05714,0.0015085091978506472,,,,,,,,,5.161960370652378,0.2209281983787028,1.0,0.0,,,307.4,6.889121859859934,0.0,0.0,0.0,0.0,0.5799511194229126,0.0013408594710819569,0.5799511194229126,0.0013408594710819569,0.9879586458206177,0.0004498503540659086,0.01994070999191973,0.0006228775776901094,0.9967611502883571,7.624662835541731e-05,0.9961419552419173,0.0005873520825735722,0.9961419552419173,0.0005873520825735722,0.0,0.0,0.0,0.0,0.18452181098520112,0.0012191582572496724,1.4077390945073993,0.0006095791286248689
mnist,MaxLoss,0.0,0.6,5,269.6,3.709447398198281,0.0,0.0,269.6,3.709447398198281,0.1614042982342653,0.0020111424910949777,0.0615,0.0017242389625570964,0.0615,0.0017242389625571045,,,,,,,,,3.838552424684167,0.09810668792604844,1.0,0.0,,,266.6,3.709447398198281,0.0,0.0,0.0,0.0,0.5804226279258728,0.0029249426149246848,0.5804226279258728,0.0029249426149246848,0.9876406192779541,0.0015864194634344457,0.022794007144039452,0.0004473517155993562,0.9955388620706029,0.0007246671013540595,0.9954989623898005,0.0008134804044104025,0.9947636682721533,0.0009482922373287817,0.0,0.0,0.0,0.0,0.19064703815506712,0.0011446099253528531,1.4046764809224663,0.0005723049626764421
mnist,MaxLoss,0.0,0.7,5,223.4,4.467661580737736,0.0,0.0,223.4,4.467661580737736,0.1808244009152986,0.003242551146567039,0.06943999999999999,0.0009431860898041357,0.06944,0.0009431860898041278,,,,,,,,,2.7197639260441067,0.09318684435691704,1.0,0.0,,,220.4,4.467661580737736,0.0,0.0,0.0,0.0,0.5831902384757995,0.001450669203202686,0.5831902384757995,0.001450669203202686,0.9878822088241577,0.0008938697395496499,0.025341694703720878,0.0004375126526254821,0.9936919324942559,0.0011217014536463476,0.9936919324942559,0.0011217014536463476,0.9918875370680944,0.002228249142538944,0.0,0.0,0.0,0.0,0.19455431722948627,0.0011795020628128541,1.4027228413852568,0.000589751031406441
mnist,MaxLoss,0.0,0.8,5,181.2,2.6153393661244038,0.0,0.0,181.2,2.6153393661244038,0.22319605603115633,0.0028481888261474696,0.083,0.0033250563904992712,0.08299999999999999,0.003325056390499265,,,,,,,,,1.853649272583425,0.044433260928568405,1.0,0.0,,,178.2,2.6153393661244038,0.0,0.0,0.0,0.0,0.5831634759902954,0.002700028747905583,0.5831634759902954,0.002700028747905583,0.9883631348609925,0.0009867710736796583,0.03073967818269583,0.00030658484802233165,0.9944459533156291,8.024553855688428e-05,0.990071102729925,0.002648500425540652,0.990071102729925,0.002648500425540652,0.0,0.0,0.0,0.0,0.2061679654474955,0.000689113413097501,1.396916017276252,0.0003445567065487388
mnist,PU-R,0.0,0.0,5,667.8,13.738267721950972,0.0,0.0,667.8,13.738267721950972,0.15061880999710411,0.00290491203931338,0.04179999999999997,0.0008526429498916828,0.0418,0.0008526429498916878,,,,,,,,,60.15709485542029,3.0840477223172726,1.0,0.0,,,664.8,13.738267721950972,0.0,0.0,0.0,0.0,0.563824987411499,0.002466445630007881,0.563824987411499,0.002466445630007881,0.9946425914764404,0.0005958192119769168,0.00921130765996537,0.00013434449058682884,0.9982000197267104,0.0002958006063589078,0.9984976387743293,3.23081419212281e-05,0.9982000197267104,0.0002958006063589078,0.0,0.0,0.0,0.0,0.16609889828704094,0.0006322644588291078,1.4169505508564795,0.0003161322294145544
mnist,PU-R,0.0,0.1,5,625.8,12.23682965477578,0.0,0.0,625.8,12.23682965477578,0.15732697520870714,0.002875723425857605,0.04518000000000002,0.0012920526305069836,0.04518,0.001292052630506977,,,,,,,,,50.93002722971141,2.573824384372782,1.0,0.0,,,622.8,12.23682965477578,0.0,0.0,0.0,0.0,0.5665641307830811,0.0009521805962791352,0.5665641307830811,0.0009521805962791352,0.9935656428337097,0.0008683517192404969,0.009981669002399376,0.00015972101577778615,0.998079042580548,0.0003162481917790784,0.99809489280077,0.0002798524676923141,0.9977769277769226,0.00035957589327138833,0.0,0.0,0.0,0.0,0.1657852701731778,0.0010311461219373729,1.417107364913411,0.0005155730609686787
mnist,PU-R,0.0,0.2,5,572.2,17.362027531368565,0.0,0.0,572.2,17.362027531368565,0.16259882650338114,0.004597719339273391,0.04698,0.0011659331027121629,0.04698,0.0011659331027121587,,,,,,,,,40.43650589026511,3.0173827532317086,1.0,0.0,,,569.2,17.362027531368565,0.0,0.0,0.0,0.0,0.5660933732986451,0.0024239654321593852,0.5660933732986451,0.0024239654321593852,0.9918097615242004,0.0005821034954747122,0.011529485651529836,0.0003664165636781312,0.997921246365107,0.0002867586251243682,0.997874465648237,0.0003925334052313453,0.9975529222398769,0.00041739940860736343,0.0,0.0,0.0,0.0,0.17002026826740754,0.0009291960193614275,1.4149898658662963,0.0004645980096807088
mnist,PU-R,0.0,0.3,5,541.4,16.393901305058538,0.0,0.0,541.4,16.393901305058538,0.17623236597282813,0.0049639320973708205,0.04922,0.000835104783844521,0.04922,0.0008351047838445181,,,,,,,,,34.86283682249486,2.660521136784039,1.0,0.0,,,538.4,16.393901305058538,0.0,0.0,0.0,0.0,0.5666587591171265,0.00117286133440076,0.5666587591171265,0.00117286133440076,0.992532205581665,0.00039549339762030405,0.011905227486871155,0.0002580673838117749,0.9981424824964684,5.8121279973285164e-05,0.9981424824964684,5.8121279973285164e-05,0.9981424824964684,5.8121279973285164e-05,0.0,0.0,0.0,0.0,0.16937529430039405,0.0006057026673386207,1.4153123528498028,0.0003028513336693063
mnist,PU-R,0.0,0.4,5,461.8,5.425863986500214,0.0,0.0,461.8,5.425863986500214,0.17709314892999828,0.0019239942520582155,0.05149999999999999,0.00044609416046389365,0.051500000000000004,0.0004460941604639095,,,,,,,,,22.972507963329555,0.6636719197791107,1.0,0.0,,,458.8,5.425863986500214,0.0,0.0,0.0,0.0,0.570165479183197,0.0016485983235978708,0.570165479183197,0.0016485983235978708,0.9927517890930175,0.0006174701887091014,0.013544372569943508,0.00014705622403502885,0.9974031157242307,0.00041526508368511694,0.9973781971886737,0.0004709461978140379,0.9969526652737801,0.0005456472055481831,0.0,0.0,0.0,0.0,0.1721213062238258,0.00036152373873071455,1.413939346888087,0.0001807618693653794
mnist,PU-R,0.0,0.5,5,435.4,10.943491216243562,0.0,0.0,435.4,10.943491216243562,0.20075021466473117,0.004654814998847082,0.054259999999999996,0.0010814804667676656,0.054259999999999996,0.0010814804667676617,,,,,,,,,19.778136208467185,1.1771444019735195,1.0,0.0,,,432.4,10.943491216243562,0.0,0.0,0.0,0.0,0.5708522081375123,0.0020374376514098727,0.5708522081375123,0.0020374376514098727,0.9920036435127259,0.0006547475950007696,0.015052515427522912,0.00042745754863040614,0.9972464143141634,0.00042904384387190073,0.9972464143141634,0.00042904384387190073,0.9972464143141634,0.00042904384387190073,0.0,0.0,0.0,0.0,0.17621005672795803,0.0009683703029224771,1.411894971636021,0.0004841851514612651
mnist,PU-R,0.0,0.6,5,380.2,1.0677078252031311,0.0,0.0,380.2,1.0677078252031311,0.22075379808666185,0.0005676778113472801,0.05621999999999998,0.001726093856080843,0.056220000000000006,0.0017260938560808327,,,,,,,,,13.97156315241009,0.10399582551435278,1.0,0.0,,,377.2,1.0677078252031311,0.0,0.0,0.0,0.0,0.5718906641006469,0.0024937205308614573,0.5718906641006469,0.0024937205308614573,0.990318763256073,0.0003181671475323208,0.016939791688444027,0.0002713586566031101,0.996837851115966,0.0005218422349644835,0.9963101247606435,0.0006424332450409455,0.9957851903774415,0.00063929309103015,0.0,0.0,0.0,0.0,0.1797093554141138,0.0009817284305160543,1.4101453222929432,0.0004908642152580473
mnist,PU-R,0.0,0.7,5,302.6,5.67978872846517,0.0,0.0,302.6,5.67978872846517,0.23772026260849088,0.004042497534781059,0.06740000000000002,0.0019864541273334393,0.06739999999999999,0.0019864541273334237,,,,,,,,,8.138265253044665,0.33541650193761774,1.0,0.0,,,299.6,5.67978872846517,0.0,0.0,0.0,0.0,0.5724793553352356,0.0024892382245617836,0.5724793553352356,0.0024892382245617836,0.9916479229927063,0.0009663529516736453,0.02123369328758796,0.0004020818145415684,0.994072071553758,0.0011610064537511764,0.9966796543679927,6.235925791928069e-05,0.994072071553758,0.0011610064537511764,0.0,0.0,0.0,0.0,0.18938439753668865,0.0014170575914938977,1.4053078012316556,0.0007085287957469384
mnist,PU-R,0.0,0.8,5,228.6,1.630950643030009,0.0,0.0,228.6,1.630950643030009,0.27436012893449513,0.0017451262951466945,0.08184000000000002,0.0014630789452384364,0.08184,0.0014630789452384318,,,,,,,,,4.518964922986925,0.059307677673918556,1.0,0.0,,,225.6,1.630950643030009,0.0,0.0,0.0,0.0,0.5801748275756836,0.0019459435482356768,0.5801748275756836,0.0019459435482356768,0.9897663712501525,0.0006587359076208303,0.026597133411430912,0.0005440650091555645,0.9956054281976158,3.13570938336848e-05,0.9929926731339911,0.0010427791097626811,0.9929926731339911,0.0010427791097626811,0.0,0.0,0.0,0.0,0.1987952827579434,0.0014884777166429284,1.4006023586210283,0.0007442388583214839
