method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,1,0.0,0.0,support,5000,0,499,0,499,0.11476201220648363,0.04579999999999995,0.0458,,,,,15.683866648934782,1,496,0.0,0.0,0.5761458873748779,0.5761458873748779,0.9917173981666565,0.012651331311308715,0.9959839357429718,0.9979919678714859,0.9959839357429718,0.0,0.0,0.16814334249886456,1.4159283287505677
Marginal,mnist,1,0.0,0.0,support,5000,0,800,104,904,0.20022039744071662,0.048699999999999966,0.0487,,,,,47.45782429294195,0,797,0.0,0.0,0.5547488331794739,0.5547488331794739,0.9968961477279663,0.005988567612853393,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.0,0.0,0.1594962552888042,1.420251872355598
PU-R,mnist,1,0.0,0.0,support,5000,0,687,0,687,0.15467773930868134,0.04039999999999999,0.0404,,,,,63.74663001904264,1,684,0.0,0.0,0.5665159225463867,0.5665159225463867,0.9937800168991089,0.009137610118305339,0.9985422740524781,0.9985422740524781,0.9985422740524781,0.0,0.0,0.16807595675399603,1.415962021623002
GREATS,mnist,1,0.0,0.0,support,5000,0,620,0,620,,0.04239999999999999,0.0424,,,,,29.335057846968994,1,617,0.0,0.0,0.5806069374084473,0.5806069374084473,0.9904998540878296,0.009719345129587009,0.9983844911147012,0.9983844911147012,0.9983844911147012,0.0,0.0,0.16289699752638823,1.418551501236806
MaxLoss,mnist,1,0.0,0.1,support,4500,500,363,0,363,0.09492899454198778,0.04610000000000003,0.0461,,,,,7.769101656973362,1,360,0.0,0.0,0.6243190765380859,0.6243190765380859,0.9847317934036255,0.021762933818757206,0.9972375690607734,0.994475138121547,0.994475138121547,0.0,0.0,0.19014679484315844,1.4049266025784208
Marginal,mnist,1,0.0,0.1,support,4500,500,683,0,683,0.1707475641160272,0.04379999999999995,0.0438,,,,,33.41574261605274,1,680,0.0,0.0,0.5835587978363037,0.5835587978363037,0.9935286641120911,0.010763943234261922,0.9970674486803519,0.998533724340176,0.9970674486803519,0.0,0.0,0.1775136469108478,1.411243176544576
PU-R,mnist,1,0.0,0.1,support,4500,500,434,0,434,0.11193897854536772,0.043200000000000016,0.0432,,,,,20.47478102101013,1,431,0.0,0.0,0.6158517003059387,0.6158517003059387,0.9832398295402527,0.01810792170886561,0.9976905311778291,0.9976905311778291,0.9976905311778291,0.0,0.0,0.1816533480271532,1.4091733259864234
GREATS,mnist,1,0.0,0.1,support,4500,500,642,0,642,,0.04149999999999998,0.0415,,,,,30.938526696991175,1,639,0.0,0.0,0.5956600308418274,0.5956600308418274,0.9897395968437195,0.011573068890575314,0.9984399375975039,0.9984399375975039,0.9984399375975039,0.0,0.0,0.17343670693015767,1.4132816465349212
MaxLoss,mnist,1,0.0,0.2,support,4000,1000,253,0,253,0.07672137505142018,0.04530000000000001,0.0453,,,,,3.9080073370132595,1,250,0.0,0.0,0.6881253123283386,0.6881253123283386,0.9891566038131714,0.03435512825787541,0.9920634920634921,0.9841269841269841,0.9801587301587301,0.0,0.0,0.20871482731980628,1.395642586340097
Marginal,mnist,1,0.0,0.2,support,4000,1000,559,0,559,0.15911367360968143,0.040000000000000036,0.04,,,,,20.86287505889777,1,556,0.0,0.0,0.6170708537101746,0.6170708537101746,0.9894745349884033,0.01372191932688277,0.9982078853046595,0.996415770609319,0.996415770609319,0.0,0.0,0.18237417346179052,1.4088129132691047
