dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,MaxLoss,0.0,0.2,support,5,263.6,10.44796630928718,0.0,0.0,263.6,10.44796630928718,0.07962325828848407,0.002866494908176109,0.044420000000000015,0.0013009227494359477,0.04442,0.0013009227494359525,,,,,,,,,4.241410081181675,0.3053563933719387,1.0,0.0,,,260.6,10.44796630928718,0.0,0.0,0.0,0.0,0.6885388135910034,0.003058196293647169,0.6885388135910034,0.003058196293647169,0.9885753154754638,0.002904536702415199,0.03196780336803853,0.001430501932331956,0.9931565062899448,0.000735246593466149,0.9869825287347325,0.002265944511448953,0.9846532118019338,0.0026245609272660202,0.0,0.0,0.0,0.0,0.20392300079834236,0.0019218365719787793,1.398038499600829,0.0009609182859893705
mnist,MaxLoss,0.0,0.3,support,5,213.8,6.061352984276695,0.0,0.0,213.8,6.061352984276695,0.07522795684635639,0.0019226368415486768,0.04496,0.0003944616584663195,0.04495999999999999,0.0003944616584663201,,,,,,,,,3.083088467339985,0.13101090679484878,1.0,0.0,,,210.8,6.061352984276695,0.0,0.0,0.0,0.0,0.7342108011245727,0.0026001751827659206,0.7342108011245727,0.0026001751827659206,0.9846212506294251,0.0032416351835262186,0.03879009788796323,0.0010066253123608656,0.9858227393271763,0.0015399897093211505,0.983249346277957,0.00425894203702346,0.9756053883387115,0.004440023743985871,0.0,0.0,0.0,0.0,0.20805583045425252,0.0010955317439875873,1.3959720847728738,0.0005477658719937958
mnist,MaxLoss,0.0,0.4,support,5,180.2,5.342284155677232,0.0,0.0,180.2,5.342284155677232,0.07520417260238901,0.0019907033922137245,0.043340000000000024,0.0008304215796810649,0.043340000000000004,0.0008304215796810672,,,,,,,,,2.554771055583842,0.10936269249624583,1.0,0.0,,,177.2,5.342284155677232,0.0,0.0,0.0,0.0,0.7700714349746705,0.004872466652824557,0.7700714349746705,0.004872466652824557,0.9847075939178467,0.003253167161517227,0.046822772262533154,0.0010417562440375875,0.9681396284138539,0.006932532314763225,0.9720440389519298,0.002512932954766894,0.9537368772965898,0.006377004742047656,0.0,0.0,0.0,0.0,0.21122952716877008,0.0016506078840382687,1.394385236415615,0.0008253039420191374
mnist,MaxLoss,0.0,0.5,support,5,147.4,3.4871191548325386,0.0,0.0,147.4,3.4871191548325386,0.07538838514592498,0.0015737885134658397,0.044340000000000004,0.0010490948479522767,0.04434,0.001049094847952271,,,,,,,,,2.2204496124060826,0.07349400749443152,1.0,0.0,,,144.4,3.4871191548325386,0.0,0.0,0.0,0.0,0.798892593383789,0.002060275233788646,0.798892593383789,0.002060275233788646,0.9875645160675048,0.0019474260436861143,0.05673867092105023,0.0011482747302996208,0.91408599628064,0.0137059852753222,0.9454926301144431,0.006250480537891931,0.8843219666679906,0.01094412557271474,0.0,0.0,0.0,0.0,0.21374503060790215,0.0017694815248043808,1.3931274846960489,0.0008847407624022224
mnist,MaxLoss,0.0,0.6,support,5,126.0,2.7748873851023217,0.0,0.0,126.0,2.7748873851023217,0.08193214216735215,0.0015769471188603241,0.04514,0.0006257795138864759,0.04514,0.0006257795138864804,,,,,,,,,1.9527256758185103,0.04999424189204086,1.0,0.0,,,123.0,2.7748873851023217,0.0,0.0,0.0,0.0,0.8171775102615356,0.002964653504094406,0.8171775102615356,0.002964653504094406,0.984766936302185,0.002021387955054325,0.06365124569772682,0.0013474610785134307,0.8408953512386322,0.012112694951630839,0.9134278722893523,0.010242500891316062,0.8150633452824241,0.01685774399062673,0.0,0.0,0.0,0.0,0.21456908098585553,0.002257050538109216,1.392715459507072,0.001128525269054615
mnist,MaxLoss,0.0,0.7,support,5,101.6,2.7676705006196096,0.0,0.0,101.6,2.7676705006196096,0.09033170030452312,0.0021221349714618306,0.04887999999999999,0.0007618398781896343,0.04888,0.0007618398781896362,,,,,,,,,1.6617471794132144,0.051943911803637326,1.0,0.0,,,98.6,2.7676705006196096,0.0,0.0,0.0,0.0,0.8186801075935364,0.00556871484229685,0.8186801075935364,0.00556871484229685,0.9792689442634582,0.004783929098915012,0.07281508913478621,0.0014027078992223997,0.7564335216157111,0.016273164203113706,0.8624456377853958,0.008567196938696085,0.7343242747004549,0.01334027267062641,0.0,0.0,0.0,0.0,0.2223241821531329,0.002628949907469512,1.3888379089234335,0.0013144749537347743
mnist,MaxLoss,0.0,0.8,support,5,84.2,1.854723699099141,0.0,0.0,84.2,1.854723699099141,0.11473319615470245,0.0021466776917334653,0.05442,0.0007983733462484867,0.05442,0.0007983733462484823,,,,,,,,,1.4191100668162107,0.03565336581470941,1.0,0.0,,,81.2,1.854723699099141,0.0,0.0,0.0,0.0,0.8159710168838501,0.004935065786826884,0.8159710168838501,0.004935065786826884,0.9739438414573669,0.002023283667791515,0.08110868196489643,0.0018789548371681702,0.7592535515284276,0.009374311719365537,0.8264080871609731,0.013148033630550171,0.7179750912103721,0.014586686954650815,0.0,0.0,0.0,0.0,0.23211954454455,0.003666942574223748,1.3839402277277248,0.001833471287111871
mnist,PU-R,0.0,0.0,support,5,667.8,13.738267721950972,0.0,0.0,667.8,13.738267721950972,0.15061880999710411,0.00290491203931338,0.04179999999999997,0.0008526429498916828,0.0418,0.0008526429498916878,,,,,,,,,59.749465351202524,2.794212637632954,1.0,0.0,,,664.8,13.738267721950972,0.0,0.0,0.0,0.0,0.563824987411499,0.002466445630007881,0.563824987411499,0.002466445630007881,0.9946425914764404,0.0005958192119769168,0.00921130765996537,0.00013434449058682884,0.9982000197267104,0.0002958006063589078,0.9984976387743293,3.23081419212281e-05,0.9982000197267104,0.0002958006063589078,0.0,0.0,0.0,0.0,0.16609889828704094,0.0006322644588291078,1.4169505508564795,0.0003161322294145544
mnist,PU-R,0.0,0.1,support,5,419.8,9.150956234186674,0.0,0.0,419.8,9.150956234186674,0.10854345357511193,0.0021873892986399267,0.04346000000000001,0.0007242927584892814,0.043460000000000006,0.0007242927584892722,,,,,,,,,19.006507458421403,1.0272906344346349,1.0,0.0,,,416.8,9.150956234186674,0.0,0.0,0.0,0.0,0.6152418971061706,0.0024454401140701354,0.6152418971061706,0.0024454401140701354,0.9852896809577942,0.0007583793370611466,0.01967247829956014,0.0006098923875268378,0.9966526272836331,0.0005891904466794033,0.9946888035832557,0.0014609735257362193,0.993733802332659,0.0016553270883198886,0.0,0.0,0.0,0.0,0.18608850014226602,0.0014223657919316605,1.4069557499288667,0.0007111828959658145
mnist,PU-R,0.0,0.2,support,5,269.8,6.208059278067502,0.0,0.0,269.8,6.208059278067502,0.08133211358217522,0.0017030494734705409,0.04558000000000002,0.0006224146527838232,0.045579999999999996,0.0006224146527838168,,,,,,,,,7.15564894056879,0.30713548043409516,1.0,0.0,,,266.8,6.208059278067502,0.0,0.0,0.0,0.0,0.6795470714569092,0.0035335193931601734,0.6795470714569092,0.0035335193931601734,0.9794029831886292,0.002328441833381588,0.032227808641307754,0.0002330927018532097,0.9889794551718329,0.002132636929161874,0.983720755644607,0.0011989146506825982,0.9800963668489114,0.002343245902081672,0.0,0.0,0.0,0.0,0.20566875084596864,0.00048522028718245893,1.3971656245770157,0.00024261014359125356
