method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
Marginal,mnist,1,0.3,0.6,500,500,2000,3000,504,570,1074,0.57660538086202,0.22960000000000003,0.7709050231078144,0.2855099999999999,0.44377369478269524,488.7939293410114,6.291087531950325,0,1,501,0.2777777777777778,0.0,0.5814949870109558
MaxLoss,mnist,1,0.3,0.8,50,50,1000,4000,54,461,515,0.5695455432287417,0.4766,0.8406763369764878,0.4577399999999999,0.6186225945995277,135.64791617406144,0.5258422261103988,0,0,51,0.4444444444444444,0.0,0.6049039363861084
MaxLoss,mnist,1,0.3,0.8,100,100,1000,4000,104,357,461,0.5153907752246596,0.39059999999999995,0.817866749258143,0.36006,0.5219955121564771,219.32118987190012,0.9802764290943742,0,0,101,0.4423076923076923,0.0,0.567147433757782
MaxLoss,mnist,1,0.3,0.8,200,200,1000,4000,204,309,513,0.5675513677997515,0.3641,0.8410180659872805,0.30775,0.4675550802596601,361.56111427962713,1.7865742410067469,0,0,201,0.43137254901960786,0.0,0.5842899084091187
MaxLoss,mnist,1,0.3,0.8,500,500,1000,4000,504,28,532,0.5864599505439401,0.33230000000000004,0.6663493609202799,0.030160000000000027,0.12041812273540103,639.1085664910565,4.034444089978933,0,1,501,0.42063492063492064,0.0,0.5755934119224548
PU-R,mnist,1,0.3,0.8,50,50,1000,4000,54,464,518,0.5725351338041946,0.5144,0.8335879263162681,0.46121,0.6219424700359639,120.56503037755732,0.7617389028891921,0,0,51,0.35185185185185186,0.0,0.5726269483566284
PU-R,mnist,1,0.3,0.8,100,100,1000,4000,104,415,519,0.5735312176402658,0.3891,0.8375780964509405,0.41395999999999994,0.5760836003477857,183.57405254966747,1.6154572039376944,0,0,101,0.2980769230769231,0.0,0.595994770526886
PU-R,mnist,1,0.3,0.8,200,200,1000,4000,204,327,531,0.5854667774983682,0.3621,0.822752456073263,0.32730999999999993,0.4881489741416635,280.48085079031966,3.96599966310896,0,0,201,0.3088235294117647,0.0,0.5871400833129883
PU-R,mnist,1,0.3,0.8,500,500,1000,4000,504,116,620,0.6729579045204446,0.24019999999999997,0.7304759997243243,0.11591999999999998,0.24528446461297113,501.9451929481418,20.755686373915523,0,1,501,0.3392857142857143,0.0,0.5755596160888672
PU-C,mnist,1,0.3,0.8,50,50,1000,4000,54,457,511,0.565556300978642,0.4618,0.8432777210874032,0.4645899999999999,0.6251690049945755,132.25613639438086,0.6855509611777961,0,0,51,0.46296296296296297,0.0,0.5777782201766968
