method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,4,0.0,0.0,3000,0,135,0,135,0.058221797517035156,0.006800000000000028,0.3038232090184465,1,132,0.0,0.22962962962962963,0.8129353523254395
PU-C,4,0.0,0.0,3000,0,107,0,107,0.04751565994229168,0.014700000000000046,0.29363350005587563,1,104,0.0,0.2523364485981308,0.7972546815872192
PU-F,4,0.0,0.0,3000,0,124,0,124,0.054035715002100915,0.013599999999999945,0.395851582987234,1,121,0.0,0.12903225806451613,0.7695716619491577
PU-G,4,0.0,0.0,3000,0,127,0,127,0.055179738090373576,0.010199999999999987,0.33112879103282467,1,124,0.0,0.18110236220472442,0.7429669499397278
GREATS,4,0.0,0.0,3000,0,176,0,176,,0.005499999999999949,0.5972113750176504,1,173,0.0,0.2215909090909091,0.5920453667640686
MaxLoss,4,0.1,0.0,3000,0,227,0,227,0.09253143524983898,0.011099999999999999,0.4393878749688156,1,224,0.1762114537444934,0.3744493392070485,0.48919588327407837
PU-C,4,0.1,0.0,3000,0,234,0,234,0.09510343405418098,0.01629999999999998,1.0806581669603474,1,231,0.17094017094017094,0.3717948717948718,0.6236810088157654
PU-F,4,0.1,0.0,3000,0,224,0,224,0.09142779844114557,0.010399999999999965,1.3299070000066422,1,221,0.17857142857142858,0.375,0.5728242993354797
PU-G,4,0.1,0.0,3000,0,273,0,273,0.10935921070631593,0.011900000000000022,1.9816614580340683,1,270,0.14652014652014653,0.3772893772893773,0.46353471279144287
GREATS,4,0.1,0.0,3000,0,271,0,271,,0.0030999999999999917,0.8448852089932188,1,268,0.14760147601476015,0.3763837638376384,0.4514881372451782
MaxLoss,4,0.2,0.0,3000,0,357,0,357,0.13971675105858594,0.0121,0.6579205000307411,1,354,0.22408963585434175,0.3473389355742297,0.37440311908721924
PU-C,4,0.2,0.0,3000,0,344,0,344,0.13504496222594753,0.015900000000000025,1.914109917008318,1,341,0.23255813953488372,0.3488372093023256,0.39973700046539307
