method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
PU-C,0.0,10,108.3,1.4533486237727757,0.0,0.0,108.3,1.4533486237727757,0.048014304105890915,0.00055946344200608,0.016959999999999996,0.0006083127850410858,0.2047991041035857,0.011034194074547341,1.0,0.0,105.3,1.4533486237727757,0.0,0.0,0.14386930646038015,0.02466709284000654,0.8247444987297058,0.007781727779645887
PU-C,0.1,10,205.8,5.748043145279965,0.0,0.0,205.8,5.748043145279965,0.08469887308310717,0.0021231394285528946,0.009220000000000016,0.0011829154191610122,1.0503755208977963,0.022998079323936164,1.0,0.0,202.8,5.748043145279965,0.18671129472310982,0.006884763348771404,0.31707123733305104,0.016396539678126813,0.5958544909954071,0.01715601932003002
PU-C,0.2,10,298.7,10.617647783028236,0.0,0.0,298.7,10.617647783028236,0.11866006011259742,0.0038504986315056294,0.011050000000000004,0.0011316899850322224,1.698285100114299,0.1126189770497811,1.0,0.0,295.7,10.617647783028236,0.2573285128464704,0.005793414532497911,0.3988179173313891,0.011270852836484251,0.5174564063549042,0.04430115874811265
PU-C,0.3,10,392.5,7.0494286608522,0.0,0.0,392.5,7.0494286608522,0.15242193836602383,0.0025184487715663013,0.014700000000000001,0.0013180794108601103,2.4214335834025404,0.12006977338903778,1.0,0.0,389.5,7.0494286608522,0.29559585602422334,0.0069223190117067845,0.4301361112390186,0.009326238822314172,0.46798071563243865,0.02753857588651376
PU-C,0.4,10,500.2,18.824806329238378,0.0,0.0,500.2,18.824806329238378,0.1906287723511923,0.00665224893829512,0.01630999999999999,0.0016070988353759307,3.433696620899718,0.273266668986287,1.0,0.0,497.2,18.824806329238378,0.31482594464315083,0.009549889943967835,0.4368435836481804,0.00986799459584683,0.5381457448005676,0.03924653342019581
PU-F,0.0,10,126.2,3.4634600554294765,0.0,0.0,126.2,3.4634600554294765,0.0548635721381288,0.0013231676614586403,0.012540000000000006,0.001241701341797703,0.3850464206014294,0.017986381291491504,1.0,0.0,123.2,3.4634600554294765,0.0,0.0,0.13436692357054467,0.01975076966224536,0.7993602693080902,0.013647010484824374
PU-F,0.1,10,225.0,7.069496288829761,0.0,0.0,225.0,7.069496288829761,0.0917755875736475,0.0025970113535461192,0.006520000000000003,0.0007998333159685988,1.8156528876104858,0.10614443472681329,1.0,0.0,222.0,7.069496288829761,0.1741164912547428,0.005308568337099644,0.30751252269747115,0.013885933817309,0.54752117395401,0.023447444232613805
PU-F,0.2,10,325.9,11.508885456222268,0.0,0.0,325.9,11.508885456222268,0.12849223425728268,0.004146461526598663,0.010259999999999981,0.0012491952965364875,3.233919991698349,0.2038977129024633,1.0,0.0,322.9,11.508885456222268,0.22936795339918378,0.006282078044192662,0.36291627619932976,0.012580516684034542,0.45898314714431765,0.028259540995789395
PU-F,0.3,10,407.7,11.520079089234681,0.0,0.0,407.7,11.520079089234681,0.157832793117268,0.004109867118596227,0.014190000000000003,0.0015127201400861351,4.3939550539012995,0.18186755455623396,1.0,0.0,404.7,11.520079089234681,0.27431507438644875,0.006152630894750796,0.420333975953364,0.009887327431361373,0.4567009598016739,0.03984402164727816
PU-F,0.4,10,484.0,17.083455284117566,0.0,0.0,484.0,17.083455284117566,0.18491133724455722,0.006040931871880539,0.020230000000000005,0.0023082966302737863,5.315328633395256,0.31822875733274314,1.0,0.0,481.0,17.083455284117566,0.30674563105973407,0.005629430788671721,0.4230117491402157,0.006240533884277204,0.5759396225214004,0.0626231717476903
