method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,mnist,1,0.3,0.0,1000,0,300,312,612,0.6651702736271545,0.3549,0.8435689327945325,0.31211000000000017,0.47217100814562823,360.4224179062027,4.510531832464039,0,297,0.2966666666666667,0.0,0.5952156782150269
GREATS,mnist,1,0.3,0.0,1000,0,300,207,507,,0.38660000000000005,0.8019190065333399,0.20469999999999997,0.3536154381796449,467.4521435798776,2.9266374949365854,0,297,0.4,0.0,0.6114349961280823
MaxLoss,mnist,1,0.4,0.0,1000,0,300,275,575,0.6289518003468402,0.43500000000000005,0.8546805252952001,0.27821,0.4358789074034101,464.13252862443136,1.8449453124776483,0,297,0.4666666666666667,0.0,0.5867485404014587
PU-C,mnist,1,0.4,0.0,1000,0,300,284,584,0.6377915695193224,0.26980000000000004,0.8261084432796775,0.28289000000000003,0.4409454026001291,368.54534063954924,2.6236906591802835,0,297,0.35333333333333333,0.0,0.5670060515403748
PU-F,mnist,1,0.4,0.0,1000,0,300,265,565,0.6191077351104468,0.4141,0.8250491241287515,0.26644,0.42305339388118746,398.3627316314924,4.668242439627647,0,297,0.42,0.0,0.5909520387649536
PU-G,mnist,1,0.4,0.0,1000,0,300,369,669,0.7203021419118159,0.44930000000000003,0.8850188166745716,0.36989999999999995,0.5320163295718222,378.6312418983824,4.525091268122196,0,297,0.38,0.0,0.5747107863426208
GREATS,mnist,1,0.4,0.0,1000,0,300,249,549,,0.42090000000000005,0.8358106719249919,0.24525999999999995,0.3996595900866166,475.9634544014613,2.9938259264454246,0,297,0.42,0.0,0.6005816459655762
MaxLoss,mnist,2,0.0,0.0,1000,0,172,0,172,0.21316163567826152,0.07279999999999998,0.38499160759862716,0.00038000000000000035,0.05376653814222626,294.3452783011866,1.1056129103526473,1,169,0.0,0.0,0.5890195965766907
PU-C,mnist,2,0.0,0.0,1000,0,226,0,226,0.27157832658849657,0.0806,0.40193953964019963,0.001240000000000001,0.05734003203917076,309.76544550285183,1.8122196020558476,1,223,0.0,0.0,0.5797474384307861
PU-F,mnist,2,0.0,0.0,1000,0,182,0,182,0.2240735339000821,0.08450000000000002,0.4017596881971076,0.002220000000000002,0.06076248357195808,301.39480410607746,1.9860290074720979,1,179,0.0,0.0,0.579093337059021
PU-G,mnist,2,0.0,0.0,1000,0,300,12,312,0.3624971266835928,0.09419999999999995,0.47641487537611743,0.011790000000000012,0.08522245098986277,356.2594338207093,3.2462782245129347,0,297,0.0,0.0,0.5834508538246155
GREATS,mnist,2,0.0,0.0,1000,0,230,0,230,,0.08460000000000001,0.4254935920615258,0.0,0.051604029648496474,359.02789452533796,1.9948082333430648,1,227,0.0,0.0,0.6034900546073914
