dataset,method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,PU-C,0.0,3,228.0,8.144527815247079,0.0,0.0,228.0,8.144527815247079,0.2736962025713486,0.008714061049757391,0.08216666666666668,0.0023024141919105387,0.40338560839284443,0.0023001852032078197,0.0009633333333333343,0.00014495209936772613,0.056256833824723185,0.0005698626543891857,314.48963204633293,4.299072735012436,1.8424668290341895,0.053367419187782705,1.0,0.0,225.0,8.144527815247079,0.0,0.0,0.0,0.0,0.5741897622744242,0.002810975883948457
mnist,PU-C,0.1,3,300.0,0.0,73.66666666666667,8.412952976082641,373.6666666666667,8.412952976082641,0.4264020173965643,0.008664022140487358,0.1438,0.021560457632743654,0.6078663207965641,0.007984690375410435,0.07490999999999999,0.008756468085554405,0.18940758031991553,0.012617295680852276,360.84129694133327,10.174322080385547,2.504050998017192,0.003528082902119099,0.0,0.0,297.0,0.0,0.15444444444444444,0.01927705730321941,0.0,0.0,0.5781941612561544,0.004011223387363478
mnist,PU-C,0.2,3,300.0,0.0,209.0,11.532562594670797,509.0,11.532562594670797,0.5635307092452422,0.011502751705786773,0.24856666666666669,0.02701026553820686,0.7619791200511008,0.013424111875564434,0.20857666666666666,0.012427347978461779,0.35791909096480645,0.014276799188708365,360.23368981381196,7.8384392433553245,2.6149294124916196,0.007129764649955329,0.0,0.0,297.0,0.0,0.24666666666666667,0.011706281947614158,0.0,0.0,0.5726523001988729,0.0031541595078283854
mnist,PU-C,0.3,3,300.0,0.0,257.3333333333333,13.245544324203683,557.3333333333334,13.245544324203683,0.6115050006580228,0.013096398806566415,0.27396666666666664,0.016988754450452736,0.7997821593666666,0.010660036975307886,0.25841333333333333,0.013119426223903394,0.41407600167278186,0.014538455471851782,349.7311705264032,0.22649823360307875,2.638546408774952,0.017771907584185266,0.0,0.0,297.0,0.0,0.3111111111111111,0.02111111111111112,0.0,0.0,0.5787755648295084,0.001717954241779328
mnist,PU-C,0.4,3,300.0,0.0,296.6666666666667,6.3595946761129705,596.6666666666666,6.359594676112971,0.6501907746229941,0.006225190837695969,0.31603333333333333,0.02442309926642762,0.8323688061646157,0.0031686202171617934,0.29635333333333336,0.006771170094189365,0.4553811976978981,0.0072596151175703194,359.6725302213103,5.200980454561703,2.668247531478604,0.022328086619914412,0.0,0.0,297.0,0.0,0.37222222222222223,0.017249082995844472,0.0,0.0,0.5697162548700968,0.0013609248537789949
mnist,PU-F,0.0,3,198.33333333333334,8.212456663169947,0.0,0.0,198.33333333333334,8.212456663169947,0.24177138780942187,0.008898081927610779,0.07990000000000001,0.0023115651263447778,0.40472395564810243,0.006425850534035677,0.001496666666666668,0.0005232696351892699,0.05810352817753175,0.0019799088993265024,312.06824162218874,7.6584651786071,2.1162589425221086,0.06537448784992361,1.0,0.0,195.33333333333334,8.212456663169947,0.0,0.0,0.0,0.0,0.5841485261917114,0.006093094322953296
mnist,PU-F,0.1,3,300.0,0.0,63.666666666666664,11.551815634108971,363.6666666666667,11.551815634108971,0.4160854254150763,0.011912575284880154,0.1668333333333333,0.01720662017299673,0.6075307730701119,0.016746715984259457,0.06309333333333335,0.011310208270014775,0.17198914154560097,0.01666250090075904,394.9157391341526,6.439872071592812,3.7050522888700166,0.09294321251879493,0.0,0.0,297.0,0.0,0.22444444444444445,0.012521586299538496,0.0,0.0,0.6004940470059713,0.002281158356190739
mnist,PU-F,0.2,3,300.0,0.0,177.66666666666666,9.527737285304303,477.6666666666667,9.527737285304301,0.5321541424297417,0.009577443828064245,0.27219999999999994,0.018222605009529595,0.752743107391492,0.00857879284515042,0.17931333333333332,0.00980920882527114,0.3237120181739213,0.011668507164237684,400.229775512739,4.206861817003259,4.259366013109684,0.05240163099859706,0.0,0.0,297.0,0.0,0.3022222222222222,0.006186404847588917,0.0,0.0,0.5980174541473389,0.0036409068084259193
mnist,PU-F,0.3,3,300.0,0.0,252.33333333333334,2.96273147243853,552.3333333333334,2.96273147243853,0.6066035445352705,0.002927918021448879,0.3473333333333333,0.01896315140242018,0.8134230186405546,0.0037465427727813314,0.25286000000000003,0.004082025640945108,0.40808636079907473,0.00451565776939744,394.53809908900183,5.907463853678665,4.46228344583263,0.06171858171398584,0.0,0.0,297.0,0.0,0.37777777777777777,0.00587944735792132,0.0,0.0,0.6044378081957499,0.0042054660974005864
mnist,PU-F,0.4,3,300.0,0.0,281.6666666666667,9.527737285304301,581.6666666666666,9.527737285304303,0.6354803128827674,0.009353731496495911,0.39943333333333336,0.00840125651977793,0.8359577496308654,0.006625771956767406,0.2815033333333333,0.008723887385283654,0.4393816903839009,0.009437701700288379,399.2381273899327,2.2519300404712244,4.674765966832638,0.0160048330368685,0.0,0.0,297.0,0.0,0.42111111111111105,0.0067586250336647,0.0,0.0,0.59772656361262,0.0033878171724205093
