method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,2050,2850,796,0.5958204725175165,0.4009761109684048,0.40097611096840485,0.41000000000000003,0.0,0.8592170560208613,0.410044,0.6370851551495315,757.1859782172228,1.0,12.342316409249195,0.0,1.0100653650054274,11.332251044243767,12.342316409249195,0.9998,544.120536739557,4.217462932454695e-05,76.99178121721825,785.0,1.0,1.0,1.093956242575263,0.41000000000000003,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,105.46593625843525,0,797,3664606,0.3025,0.7625,0.5708979964256287,0.5708979964256287,0.9974322319030762,0.006593031843702247,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.7908580905528101,0.2375,0.15587067957533804,1.422064660212331
GREATS,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,1894,2694,796,,0.41870023118417676,0.4187002311841767,0.38239999999999996,0.022499999999999964,0.895607009707937,0.382216,0.6104863231826254,1386.2984651576617,1.0,12.364816409249194,0.022499999999999964,1.0100653650054274,11.332251044243767,12.342316409249195,0.9998,544.120536739557,4.217462932454695e-05,76.99178121721825,785.0,1.0,1.0,1.0663562425752628,0.38239999999999996,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,62.161000546999276,0,797,3664606,0.33875,0.755,0.5950810313224792,0.5950810313224792,0.999997615814209,0.005408731602757087,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.8032566997760643,0.245,0.1498297225075533,1.4250851387462233
PU-R,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1765,2565,796,0.5971083525219001,0.4081685075777036,0.40816850757770357,0.3924444444444445,0.0012499999999999734,0.854285849806283,0.39318222222222227,0.6210505238382511,730.4648195420046,1.0,13.466321385253133,0.0012499999999999734,1.0101949878921095,12.454876397361023,13.465071385253133,0.9997777777777778,544.120536739557,4.237022339865796e-05,76.81386669858183,785.0,1.0,1.0,1.0918894779073818,0.3924444444444445,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,102.81819825433195,0,797,3266106,0.3375,0.71625,0.55705326795578,0.55705326795578,0.9969761371612549,0.006310961901610053,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.8605102672837944,0.28375,0.15461320362246764,1.4226933981887662
GREATS,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1603,2403,796,,0.5080914461854611,0.5080914461854611,0.36177777777777775,0.03125,0.9048213540533934,0.3616222222222222,0.5903513970502566,1547.887248380813,1.0,13.496321385253133,0.03125,1.0101949878921095,12.454876397361023,13.465071385253133,0.9997777777777778,544.120536739557,4.237022339865796e-05,76.81386669858183,785.0,1.0,1.0,1.0612228112407152,0.36177777777777775,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,59.639133932068944,0,797,3266106,0.35,0.84125,0.60548996925354,0.60548996925354,0.9999998807907104,0.005443221484969495,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.631310753908714,0.15875,0.14787519297814777,1.4260624035109262
PU-R,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1545,2345,796,0.6147530601592734,0.48163370151554075,0.4816337015155407,0.38625,0.0,0.8636023952332754,0.38634500000000005,0.6144766595596546,757.5572138887716,1.0,14.850260850016557,0.0,1.0103423490787309,13.839918500937827,14.850260850016557,0.99975,544.120536739557,4.2509438423750025e-05,76.68798390230376,785.0,1.0,1.0,1.1225916988253517,0.38625,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,100.13073358871043,0,797,2867606,0.32625,0.74625,0.5586493611335754,0.5586493611335754,0.9973076581954956,0.006877890305456068,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.8171678115451255,0.25375,0.15689964969559703,1.4215501751522015
GREATS,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1401,2201,796,,0.49396352427433854,0.49396352427433854,0.35824999999999996,0.040000000000000036,0.9104072050906632,0.36024,0.588985892172166,1470.295853217692,1.0,14.890260850016556,0.040000000000000036,1.0103423490787309,13.839918500937827,14.850260850016557,0.99975,544.120536739557,4.2509438423750025e-05,76.68798390230376,785.0,1.0,1.0,1.0945916988253517,0.35824999999999996,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,57.58401739876717,0,797,2867606,0.34375,0.84375,0.614326000213623,0.614326000213623,0.999992847442627,0.00561073932736105,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.6252624052234231,0.15625,0.14889932147205343,1.4255503392639732
PU-R,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1293,2093,796,0.6281957846367732,0.3948111995890059,0.3948111995890059,0.36942857142857144,0.0,0.8660634996330528,0.3692971428571429,0.5979010421733095,763.6184712763502,1.0,16.57856535237879,0.0,1.0105086347628807,15.568056717615907,16.57856535237879,0.9997142857142857,544.120536739557,4.26944999227413e-05,76.52159940684231,785.0,1.0,1.0,1.1856982285796194,0.36942857142857144,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,97.85316984634846,0,797,2469106,0.2975,0.7525,0.5692817568778992,0.5692817568778992,0.9959615468978882,0.0070632917594365095,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.8072916195433456,0.2475,0.15765399774984495,1.4211730011250774
GREATS,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1050,1850,796,,0.45594657076804523,0.45594657076804523,0.30800000000000005,0.03500000000000003,0.892525159578015,0.3093085714285715,0.5373774280549051,1401.0744556291284,1.0,16.61356535237879,0.03500000000000003,1.0105086347628807,15.568056717615907,16.57856535237879,0.9997142857142857,544.120536739557,4.26944999227413e-05,76.52159940684231,785.0,1.0,1.0,1.124269657151048,0.30800000000000005,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,55.42229930590838,0,797,2469106,0.31875,0.86,0.6046248078346252,0.6046248078346252,0.9999986886978149,0.005736886231678635,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.584238811642856,0.14,0.14808366146076316,1.4259581692696184
PU-R,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,1093,1893,796,0.6629518232075498,0.4269201130233753,0.4269201130233753,0.3643333333333333,0.0,0.8824939549267636,0.36458666666666667,0.5932739563320594,800.2259760306758,1.0,18.77584389959648,0.0,1.0106968478981797,17.7651470516983,18.77584389959648,0.9996666666666667,544.120536739557,4.303542286001317e-05,76.21789795546712,785.0,1.0,1.0,1.3020946696469093,0.3643333333333333,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,96.1855343952775,0,797,2070606,0.29625,0.8025,0.5580024719238281,0.5580024719238281,0.998272180557251,0.0064833352437828,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.7168998285940986,0.1975,0.15653997051259344,1.4217300147437033
GREATS,boundary_duplicate_mnist,1,0.3,0.4,3000,2000,800,881,1681,796,,0.4538916003082456,0.45389160030824555,0.30233333333333334,0.03249999999999997,0.9057621477559515,0.30110000000000003,0.5288134689337934,1413.2508729014723,1.0,18.80834389959648,0.03249999999999997,1.0106968478981797,17.7651470516983,18.77584389959648,0.9996666666666667,544.120536739557,4.303542286001317e-05,76.21789795546712,785.0,1.0,1.0,1.2400946696469095,0.30233333333333334,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,54.23023637011647,0,797,2070606,0.3275,0.83875,0.5973641872406006,0.5973641872406006,0.9999994039535522,0.005557034479381892,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.6372915828248211,0.16125,0.14800353283120266,1.4259982335843988
