method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
GREATS,mnist,1,0.0,0.0,100,100,1000,0,104,105,209,,0.15769999999999995,0.5685953601773831,0.10338999999999998,0.22882089630566246,232.17906098268855,1.0587582597509027,0,0,101,0.0,0.0,0.621268093585968
GREATS,mnist,1,0.0,0.0,200,200,1000,0,204,4,208,,0.08130000000000004,0.435580349008026,0.0041500000000000035,0.06660781744653017,336.9424526051298,1.9704451281577349,0,1,201,0.0,0.0,0.6086041927337646
MaxLoss,mnist,1,0.1,0.0,50,50,1000,0,54,415,469,0.5234545751591213,0.4153,0.8063537580670319,0.3972700000000001,0.5595424529278248,150.00166579495195,0.400147158652544,0,0,51,0.3148148148148148,0.0,0.6083331108093262
MaxLoss,mnist,1,0.1,0.0,100,100,1000,0,104,263,367,0.4195543620735407,0.2893,0.7412136625321291,0.26041000000000003,0.41643515837483264,226.92886514721354,0.7849055575206876,0,0,101,0.3076923076923077,0.0,0.5828694105148315
MaxLoss,mnist,1,0.1,0.0,200,200,1000,0,204,174,378,0.4308754220837727,0.2612,0.7238554000049366,0.16812000000000005,0.31044589197456485,360.70777522461646,1.47023219242692,0,1,201,0.27450980392156865,0.0,0.6010274887084961
PU-C,mnist,1,0.1,0.0,50,50,1000,0,54,354,408,0.46160539746051654,0.3516,0.754271376519703,0.35523999999999994,0.5170623204789395,123.56522069044942,0.5064284289255738,0,0,51,0.16666666666666666,0.0,0.5696921944618225
PU-C,mnist,1,0.1,0.0,100,100,1000,0,104,256,360,0.41233479900984094,0.2612,0.706833521691902,0.25477,0.4102150392610052,181.56689082647367,0.9981150226667523,0,0,101,0.125,0.0,0.5794548988342285
PU-C,mnist,1,0.1,0.0,200,200,1000,0,204,168,372,0.42470390803646296,0.1856,0.6774407324648863,0.1678300000000001,0.3100964596390327,274.68864984928047,1.9026224855333567,0,1,201,0.11274509803921569,0.0,0.5690047144889832
PU-F,mnist,1,0.1,0.0,50,50,1000,0,54,415,469,0.5234545751591213,0.4478,0.8119900289612141,0.40068,0.5629368703277892,154.98408500143583,0.8325623255223036,0,0,51,0.2222222222222222,0.0,0.6573824286460876
PU-F,mnist,1,0.1,0.0,100,100,1000,0,104,240,344,0.39578757219715044,0.24629999999999996,0.7163446703355713,0.24362999999999999,0.39784173749074514,211.80791043929977,1.600115709938109,0,0,101,0.21153846153846154,0.0,0.6252870559692383
PU-F,mnist,1,0.1,0.0,200,200,1000,0,204,182,386,0.43909075204283,0.22330000000000005,0.7151512950842273,0.18144000000000002,0.32636779026871665,316.2879179197527,2.8617642810568213,0,1,201,0.19607843137254902,0.0,0.6129175424575806
PU-G,mnist,1,0.1,0.0,50,50,1000,0,54,426,480,0.5345190707594156,0.4404,0.8021937102460256,0.4231100000000001,0.5850752098969526,115.22519362409986,0.8600810198113322,0,0,51,0.18518518518518517,0.0,0.5994786620140076
PU-G,mnist,1,0.1,0.0,100,100,1000,0,104,349,453,0.5073127166251652,0.3722,0.7871311364931127,0.35002999999999995,0.5117115428654161,177.53202273694933,1.673724609427154,0,0,101,0.1346153846153846,0.0,0.6103463768959045
PU-G,mnist,1,0.1,0.0,200,200,1000,0,204,261,465,0.5194244554149918,0.29890000000000005,0.7652945676971962,0.26058000000000003,0.4166221919141043,270.32821424520006,3.1048113089054823,0,1,201,0.09803921568627451,0.0,0.5953819155693054
GREATS,mnist,1,0.1,0.0,50,50,1000,0,54,308,362,,0.31399999999999995,0.7341176829275406,0.30326000000000003,0.4627859335611074,156.8146171290729,0.567065586335957,0,0,51,0.2222222222222222,0.0,0.6379368305206299
GREATS,mnist,1,0.1,0.0,100,100,1000,0,104,274,378,,0.31920000000000004,0.7632578738823972,0.28126,0.4391828994011181,233.43473122217634,1.1144457031041384,0,0,101,0.2980769230769231,0.0,0.6286309957504272
GREATS,mnist,1,0.1,0.0,200,200,1000,0,204,147,351,,0.2358,0.701886355787262,0.14442000000000002,0.2814614804150936,367.4381924204754,2.1179949939250946,0,1,201,0.25980392156862747,0.0,0.6121744513511658
MaxLoss,mnist,1,0.2,0.0,50,50,1000,0,54,407,461,0.5153907752246596,0.40059999999999996,0.8110055757145768,0.40818000000000004,0.5703757411469944,144.54459547437085,0.4004609500989318,0,0,51,0.3888888888888889,0.0,0.6045699119567871
MaxLoss,mnist,1,0.2,0.0,100,100,1000,0,104,378,482,0.5365279107354581,0.4292,0.839750361057196,0.37732,0.539528612430451,239.84412208074218,0.7844357714056969,0,0,101,0.4230769230769231,0.0,0.5890581607818604
MaxLoss,mnist,1,0.2,0.0,200,200,1000,0,204,273,477,0.5315041459980421,0.38639999999999997,0.8252198026201379,0.27479,0.4321646323810654,382.0395821477237,1.4705082513391972,0,1,201,0.37745098039215685,0.0,0.5935115218162537
PU-C,mnist,1,0.2,0.0,50,50,1000,0,54,391,445,0.4992203586152755,0.3822,0.7773692937619551,0.38724,0.5495136521192053,119.39304197175852,0.5087696583941579,0,0,51,0.2037037037037037,0.0,0.5864089131355286
PU-C,mnist,1,0.2,0.0,100,100,1000,0,104,362,466,0.5204323190264404,0.35550000000000004,0.7961294398677832,0.36154,0.5235070033297798,177.56765959443194,1.0079205073416233,0,0,101,0.22115384615384615,0.0,0.5813776254653931
PU-C,mnist,1,0.2,0.0,200,200,1000,0,204,263,467,0.5214399601682089,0.2744,0.7675203846984656,0.26377,0.42012696643891484,269.33646199314285,1.9429546929895878,0,1,201,0.22058823529411764,0.0,0.5739386081695557
PU-F,mnist,1,0.2,0.0,50,50,1000,0,54,399,453,0.5073127166251652,0.3802,0.8026520739157469,0.39842000000000005,0.5606880542274809,142.90563438364492,0.8650713264942169,0,0,51,0.25925925925925924,0.0,0.6278058886528015
PU-F,mnist,1,0.2,0.0,100,100,1000,0,104,362,466,0.5204323190264404,0.3749,0.8173278676261548,0.36236999999999986,0.5243539954428433,214.9380039257204,1.6655206149443984,0,0,101,0.33653846153846156,0.0,0.6217641234397888
