method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,manifold_duplicate_fashion_mnist,3,0.1,0.8,50,50,1000,4000,54,448,502,0.556567482999526,0.48850000000000005,0.4885,,,,,0.6453478876501322,0,0,51,0.1111111111111111,0.7962962962962963,0.6474789977073669,0.6474789977073669,0.9888617396354675,0.07492542639374733,0.9056603773584906,0.8679245283018868,0.8490566037735849,0.8973827879447299,0.018518518518518517,0.26864376579203303,1.3656781171039833
PU-R,manifold_duplicate_fashion_mnist,3,0.1,0.8,100,100,1000,4000,104,418,522,0.5765181288588792,0.48475,0.48475,,,,,1.4618798838928342,0,0,101,0.1346153846153846,0.8365384615384616,0.5964742302894592,0.5964742302894592,0.9896268248558044,0.0413989495775364,0.970873786407767,0.970873786407767,0.9611650485436893,0.8727559882010015,0.009615384615384616,0.22572850928752522,1.3871357453562374
PU-R,manifold_duplicate_fashion_mnist,3,0.1,0.8,200,200,1000,4000,204,251,455,0.509333570022136,0.39925,0.39925,,,,,4.289902527816594,0,1,201,0.12254901960784313,0.803921568627451,0.5963688492774963,0.5963688492774963,0.9939218759536743,0.024014619188245587,0.9901477832512315,0.9852216748768473,0.9852216748768473,0.9034539112713031,0.0196078431372549,0.19252623518878315,1.4037368824056085
PU-R-Manifold,manifold_duplicate_fashion_mnist,3,0.1,0.8,50,50,1000,4000,54,399,453,0.5073127166251652,0.45075,0.45075,,,,,0.6529787573963404,0,0,51,0.12962962962962962,0.8148148148148148,0.7043061256408691,0.7043061256408691,0.9876583814620972,0.07200830241770677,0.9245283018867925,0.8867924528301887,0.8867924528301887,0.8884998222183995,0.018518518518518517,0.2566906631895944,1.3716546684052027
PU-R-Manifold,manifold_duplicate_fashion_mnist,3,0.1,0.8,100,100,1000,4000,104,377,481,0.5355236016912386,0.41225,0.41225,,,,,1.59142205119133,0,0,101,0.125,0.8269230769230769,0.6351102590560913,0.6351102590560913,0.9884107112884521,0.04163402275553028,0.970873786407767,0.970873786407767,0.9611650485436893,0.8742149531558443,0.009615384615384616,0.22350173679150429,1.3882491316042478
PU-R-Manifold,manifold_duplicate_fashion_mnist,3,0.1,0.8,200,200,1000,4000,204,253,457,0.5113535305135883,0.40674999999999994,0.40675,,,,,4.849934515543282,0,1,201,0.16176470588235295,0.8284313725490197,0.6071574687957764,0.6071574687957764,0.994024395942688,0.024204688743123867,0.9901477832512315,0.9852216748768473,0.9802955665024631,0.8863379003644517,0.014705882352941176,0.1927502351045165,1.4036248824477418
GREATS,manifold_duplicate_fashion_mnist,3,0.1,0.8,50,50,1000,4000,54,373,427,,0.42700000000000005,0.427,,,,,0.65200718306005,0,0,51,0.2037037037037037,0.7962962962962963,0.6637140512466431,0.6637140512466431,0.9999999403953552,0.06775657214083762,0.8867924528301887,0.8867924528301887,0.8490566037735849,0.8781517092474621,0.018518518518518517,0.270419061086881,1.3647904694565596
GREATS,manifold_duplicate_fashion_mnist,3,0.1,0.8,100,100,1000,4000,104,324,428,,0.4205,0.4205,,,,,1.370981433428824,0,0,101,0.16346153846153846,0.7692307692307693,0.6371886134147644,0.6371886134147644,1.000000238418579,0.04803001880645752,0.9514563106796117,0.941747572815534,0.912621359223301,0.9018331961151868,0.009615384615384616,0.2385479798946493,1.3807260100526753
GREATS,manifold_duplicate_fashion_mnist,3,0.1,0.8,200,200,1000,4000,204,269,473,,0.44999999999999996,0.45,,,,,3.394385770894587,0,1,201,0.19607843137254902,0.803921568627451,0.6186779737472534,0.6186779737472534,1.0000001192092896,0.027699846407316,0.9704433497536946,0.9802955665024631,0.9655172413793104,0.9111678763452082,0.029411764705882353,0.20179765099051922,1.3991011745047404
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.0,50,50,5000,0,54,2097,2151,0.45576320466352627,0.4205,0.4205,,,,,0.5699726017192006,0,0,51,0.2037037037037037,0.7037037037037037,0.7418405413627625,0.7418405413627625,1.000000238418579,0.08554497192490776,0.7358490566037735,0.7735849056603774,0.6981132075471698,0.8928426498408273,0.018518518518518517,0.28180931519530167,1.359095342402349
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.0,100,100,5000,0,104,2101,2205,0.46665658662095666,0.4425,0.4425,,,,,1.2585731046274304,0,0,101,0.23076923076923078,0.7115384615384616,0.677195131778717,0.677195131778717,1.000000238418579,0.06316073191831413,0.883495145631068,0.8932038834951457,0.8543689320388349,0.9131093165183195,0.019230769230769232,0.2735289191758304,1.3632355404120848
MaxLoss,manifold_duplicate_fashion_mnist,4,0.1,0.0,200,200,5000,0,204,1828,2032,0.4317132133874111,0.43400000000000005,0.434,,,,,3.197804158553481,0,1,201,0.2549019607843137,0.6813725490196079,0.65042644739151,0.65042644739151,1.000000238418579,0.043267091561861225,0.8916256157635468,0.9458128078817734,0.8817733990147784,0.9634948873418467,0.049019607843137254,0.24838089700036728,1.3758095514998163
Marginal,manifold_duplicate_fashion_mnist,4,0.1,0.0,50,50,5000,0,54,1916,1970,0.41915854113176465,0.39249999999999996,0.3925,,,,,0.7697129966691136,0,0,51,0.09259259259259259,0.6851851851851852,0.6315222382545471,0.6315222382545471,0.9951068162918091,0.043535993968242044,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9399324193341599,0.037037037037037035,0.22558925653167936,1.3872053717341604
Marginal,manifold_duplicate_fashion_mnist,4,0.1,0.0,100,100,5000,0,104,1872,1976,0.420374249399174,0.393,0.393,,,,,1.6530358474701643,0,0,101,0.11538461538461539,0.7884615384615384,0.621234118938446,0.621234118938446,0.996817946434021,0.02790750810781548,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.8896566358584121,0.019230769230769232,0.19986913671329393,1.4000654316433532
Marginal,manifold_duplicate_fashion_mnist,4,0.1,0.0,200,200,5000,0,204,1642,1846,0.3939978613052517,0.35475,0.35475,,,,,4.041403877548873,0,1,201,0.14215686274509803,0.8137254901960784,0.5927900671958923,0.5927900671958923,0.9978455305099487,0.016697549892978267,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.8802351868909045,0.014705882352941176,0.17739114391458372,1.4113044280427083
