method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-R,mnist,1,0.0,0.0,1000,0,233,0,233,0.2790674169664271,0.0826,0.40568295536067217,0.0008600000000000007,0.05586074407258529,318.7499119417637,4.256356327096,1,230,0.0,0.0,0.5841369032859802
PU-C,mnist,1,0.0,0.0,1000,0,239,0,239,0.28547296341275796,0.0736,0.3954008294841748,0.0005500000000000005,0.05454801818440308,307.15995128097177,2.2746323531027883,1,236,0.0,0.0,0.5708714127540588
Marginal,mnist,1,0.0,0.0,1000,0,300,30,330,0.3812558085191995,0.10809999999999997,0.4969673748184723,0.030000000000000037,0.12013966523799996,313.8550177428214,2.481438996968791,0,297,0.0,0.0,0.5726855397224426
MaxLoss,mnist,1,0.0,0.2,800,200,158,0,158,0.24584490852430463,0.08730000000000004,0.4020373584063691,0.00021249999999999546,0.05292758991049745,255.16542884514402,1.198556907940656,1,155,0.0,0.0,0.5781713724136353
PU-R,mnist,1,0.0,0.2,800,200,184,0,184,0.28104400681331754,0.09160000000000001,0.3850459607310938,0.0007499999999999929,0.05540824684189899,231.01810461084006,2.816999639151618,1,181,0.0,0.0,0.5818378925323486
PU-C,mnist,1,0.0,0.2,800,200,201,0,201,0.3038299811887555,0.08860000000000001,0.4032711235293253,0.00177499999999999,0.059263382757152205,244.2754410027923,1.8816353881265968,1,198,0.0,0.0,0.5804737210273743
Marginal,mnist,1,0.0,0.2,800,200,295,0,295,0.4271472829859704,0.08960000000000001,0.43992197728362503,0.0024999999999999467,0.061669381595376105,283.03984463456965,2.3836216521449387,1,292,0.0,0.0,0.5683407783508301
MaxLoss,mnist,1,0.0,0.4,600,400,118,0,118,0.2521851190831512,0.09730000000000005,0.4300430313980556,0.002183333333333346,0.06064179243327378,203.08353853829863,0.9004849621560425,1,115,0.0,0.0,0.5828045606613159
PU-R,mnist,1,0.0,0.4,600,400,154,0,154,0.31742961710551754,0.09589999999999999,0.4684360582896344,0.001066666666666667,0.05667955899765704,245.5754014420305,2.0749053491745144,1,151,0.0,0.0,0.5827680230140686
PU-C,mnist,1,0.0,0.4,600,400,167,0,167,0.34061316575389355,0.08279999999999998,0.4314943014075926,0.00018333333333333756,0.05277113253342398,216.3764221497021,1.5017035300843418,1,164,0.0,0.0,0.5889096260070801
Marginal,mnist,1,0.0,0.4,600,400,246,0,246,0.4780245915753767,0.08730000000000004,0.48618162807192083,0.0033333333333332993,0.06423822146239651,251.33421634724482,1.9185335289221257,1,243,0.0,0.0,0.5700074434280396
MaxLoss,mnist,1,0.0,0.6,400,600,96,0,96,0.31234382587717846,0.12290000000000001,0.4928683638830834,0.0007749999999999869,0.05551223365423147,179.41149504188763,0.6889437600038946,1,93,0.0,0.0,0.5825269222259521
PU-R,mnist,1,0.0,0.6,400,600,99,0,99,0.32053921528859064,0.11780000000000002,0.4961813422348244,0.0010499999999999876,0.05661487203388166,180.50026336687887,1.0774660329334438,1,96,0.0,0.0,0.5745735764503479
PU-C,mnist,1,0.0,0.6,400,600,106,0,106,0.33955328253796324,0.11450000000000005,0.47943295320301876,0.0006499999999999939,0.05498484923731912,170.72812776466498,0.9116845750249922,1,103,0.0,0.0,0.5791038274765015
Marginal,mnist,1,0.0,0.6,400,600,174,0,174,0.5176271152449772,0.12939999999999996,0.5184101748699868,0.0025249999999999474,0.06174915515969154,190.70259354628845,1.3022587730083615,1,171,0.0,0.0,0.5804423689842224
MaxLoss,mnist,1,0.0,0.8,200,800,67,0,67,0.44498383486643434,0.1642,0.6183925464162651,0.0007000000000000006,0.055198094211017575,137.9396482490888,0.49159576394595206,1,64,0.0,0.0,0.588998019695282
PU-R,mnist,1,0.0,0.8,200,800,64,0,64,0.42899325187318027,0.1501,0.6015259206875304,0.0006000000000000005,0.05476825670768254,130.35231402165627,0.6316265249624848,1,61,0.0,0.0,0.5800116062164307
PU-C,mnist,1,0.0,0.8,200,800,70,0,70,0.4608539938926697,0.1613,0.628481332118991,0.003250000000000003,0.06398893595603335,137.04763254898373,0.6006654920056462,1,67,0.0,0.0,0.5886716842651367
Marginal,mnist,1,0.0,0.8,200,800,99,0,99,0.6085444024647586,0.17169999999999996,0.6574845620319087,0.010900000000000012,0.08326175411075071,139.40106071144672,0.751530438894406,1,96,0.0,0.0,0.5891914367675781
MaxLoss,mnist,1,0.3,0.0,1000,0,300,237,537,0.5914224428124726,0.41279999999999994,0.8239798105168874,0.23500999999999997,0.3881850098447154,462.545919215155,2.223102029180154,0,297,0.43,0.0,0.5873362421989441
PU-R,mnist,1,0.3,0.0,1000,0,300,260,560,0.6141770508838817,0.2801,0.7999827049475318,0.25955,0.4154885854329663,347.1134176426736,7.332308119861409,0,297,0.30666666666666664,0.0,0.5721913576126099
