method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
PU-R-Manifold,manifold_orbit_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,2575,2779,0.5816889370908029,0.46299999999999997,0.463,,,,,9.703893657075241,0,1,201,0.4215686274509804,0.6813725490196079,0.6886443495750427,0.6886443495750427,1.000000238418579,0.057572658426068686,0.7635467980295566,0.8374384236453202,0.7536945812807881,0.5637254901960784,0.4362745098039216,0.058823529411764705,0.8978166068421543,0.004901960784313725,0.30445838462370695,0.7412739442284806,1.2129937269193318
GREATS,manifold_orbit_fashion_mnist,2,0.1,0.0,support,50,50,5000,0,54,2186,2240,,0.48350000000000004,0.4835,,,,,1.2754831740166992,0,0,51,0.42592592592592593,0.8703703703703703,0.7476360201835632,0.7476360201835632,1.000000238418579,0.09581629622657344,0.5849056603773585,0.5849056603773585,0.5283018867924528,0.5370370370370371,0.46296296296296297,0.12962962962962962,0.9295931813757488,0.018518518518518517,0.33202743675655766,0.7336924548919467,1.200587653459549
GREATS,manifold_orbit_fashion_mnist,2,0.1,0.0,support,100,100,5000,0,104,2121,2225,,0.44425000000000003,0.44425,,,,,2.7654763890895993,0,0,101,0.4230769230769231,0.8173076923076923,0.7720463275909424,0.7720463275909424,1.0000003576278687,0.07032680829751839,0.6796116504854369,0.7572815533980582,0.6504854368932039,0.5769230769230769,0.4230769230769231,0.09615384615384616,0.9056368086642611,0.009615384615384616,0.28264903543115355,0.7472715152564329,1.222807934055981
GREATS,manifold_orbit_fashion_mnist,2,0.1,0.0,support,200,200,5000,0,204,1665,1869,,0.40774999999999995,0.40775,,,,,6.28779321804177,0,1,201,0.4019607843137255,0.803921568627451,0.7335017919540405,0.7335017919540405,1.0000003576278687,0.059072448115043454,0.6650246305418719,0.8078817733990148,0.6502463054187192,0.6617647058823529,0.3382352941176471,0.06862745098039216,0.8789418443786348,0.004901960784313725,0.2942242490548988,0.744088331509903,1.2175990879252956
MaxLoss,manifold_orbit_fashion_mnist,2,0.1,0.2,support,50,50,4000,1000,54,473,527,0.1506208469509147,0.363,0.363,,,,,0.5826688430970535,0,0,51,0.7962962962962963,0.7962962962962963,0.6561459898948669,0.6561459898948669,1.0000001192092896,0.07089184702567335,0.8679245283018868,0.8113207547169812,0.7924528301886793,0.5555555555555556,0.4444444444444444,0.2037037037037037,0.8884967911871174,0.018518518518518517,0.31069273082228754,0.739559499023871,1.2101882711299707
MaxLoss,manifold_orbit_fashion_mnist,2,0.1,0.2,support,100,100,4000,1000,104,468,572,0.1625578345847316,0.33425000000000005,0.33425,,,,,1.292725705076009,0,0,101,0.8846153846153846,0.8846153846153846,0.6876435875892639,0.6876435875892639,1.000000238418579,0.06926185543676025,0.7766990291262136,0.8155339805825242,0.7378640776699029,0.6442307692307693,0.3557692307692308,0.10576923076923077,0.9242385452738177,0.009615384615384616,0.3054518710949035,0.7410007354489017,1.2125466580072934
MaxLoss,manifold_orbit_fashion_mnist,2,0.1,0.2,support,200,200,4000,1000,204,536,740,0.2067933200742118,0.33175,0.33175,,,,,3.3173878580564633,0,1,201,0.9264705882352942,0.9264705882352942,0.6988639235496521,0.6988639235496521,1.0000003576278687,0.06388942354124755,0.645320197044335,0.8325123152709359,0.6403940886699507,0.7598039215686274,0.24019607843137256,0.058823529411764705,0.9406635647016003,0.004901960784313725,0.2930688856747031,0.7444060564394567,1.2181190014463836
PU-R,manifold_orbit_fashion_mnist,2,0.1,0.2,support,50,50,4000,1000,54,447,501,0.14370396884623915,0.357,0.357,,,,,0.840112904086709,0,0,51,0.7407407407407407,0.7592592592592593,0.66280597448349,0.66280597448349,0.965753436088562,0.09025152364991745,0.8301886792452831,0.7735849056603774,0.7547169811320755,0.4444444444444444,0.5555555555555556,0.14814814814814814,0.9181343577569518,0.018518518518518517,0.30067362795754865,0.7423147523116741,1.214696867419103
PU-R,manifold_orbit_fashion_mnist,2,0.1,0.2,support,100,100,4000,1000,104,476,580,0.1646756463451311,0.32199999999999995,0.322,,,,,1.9309438720811158,0,0,101,0.8653846153846154,0.8653846153846154,0.670883059501648,0.670883059501648,0.9618539810180664,0.08296477100224171,0.7184466019417476,0.7378640776699029,0.6601941747572816,0.5769230769230769,0.4230769230769231,0.07692307692307693,0.9384191344423658,0.009615384615384616,0.2958254748122018,0.7436479944266445,1.2168785363345092
PU-R,manifold_orbit_fashion_mnist,2,0.1,0.2,support,200,200,4000,1000,204,486,690,0.19367696839617565,0.31725000000000003,0.31725,,,,,5.368972085067071,0,1,201,0.9117647058823529,0.9117647058823529,0.6916393041610718,0.6916393041610718,1.000000238418579,0.06909068009536255,0.6157635467980296,0.7931034482758621,0.6059113300492611,0.7450980392156863,0.2549019607843137,0.049019607843137254,0.9410790526615291,0.004901960784313725,0.2875963022305944,0.7459110168865866,1.2205816639962326
