method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.4,0.2,200,10,200.0,0.0,204.0,0.0,189.4,11.435033887138243,393.4,11.435033887138243,0.19034307060646824,0.005082208300744247,0.06922,0.006423668041789756,0.46656880020163954,0.003645293280061645,0.0,0.0,1.0,0.0,201.0,0.0,0.31029411764705883,0.011368839076339185,0.3955882352941177,0.013923447969132474,0.6545026242733002,0.031757625976952863
MaxLoss,0.4,0.2,50,10,50.0,0.0,54.0,0.0,389.4,25.508691329296635,443.4,25.508691329296635,0.2123727860103827,0.01129078485776725,0.12308999999999999,0.008792831044537232,0.24859427100163883,0.003228565504160547,0.0,0.0,0.0,0.0,51.0,0.0,0.32222222222222224,0.03162036660460666,0.37777777777777777,0.029371301860173622,0.8359437406063079,0.034984786365277576
MaxLoss,0.4,0.3,100,10,100.0,0.0,104.0,0.0,249.4,17.50631632043449,353.4,17.50631632043449,0.19669404463493265,0.008907639775675569,0.09498,0.00664954133756607,0.325136349897366,0.0017776973206810411,0.0,0.0,0.0,0.0,101.0,0.0,0.3701923076923077,0.013078337027630234,0.4673076923076923,0.0195065693009012,0.6359567463397979,0.04353266404400752
MaxLoss,0.4,0.3,200,10,200.0,0.0,204.0,0.0,127.6,9.6,331.6,9.6,0.18565042900154366,0.004896483092383329,0.06219,0.004061757966420181,0.4779863125062548,0.0024041630155721668,0.0,0.0,1.0,0.0,201.0,0.0,0.3357843137254902,0.0048609394707985355,0.45,0.01643436726886295,0.5609430581331253,0.028845700429771387
MaxLoss,0.4,0.3,50,10,50.0,0.0,54.0,0.0,310.2,16.509122057550822,364.2,16.509122057550822,0.20220379813108594,0.008385401835570683,0.11238000000000001,0.006142905573821637,0.27012805399135686,0.0017968138526599352,0.0,0.0,0.0,0.0,51.0,0.0,0.3833333333333333,0.023594462782242455,0.4703703703703703,0.02194615905510022,0.624417045712471,0.039421700005556275
MaxLoss,0.4,0.4,100,10,100.0,0.0,104.0,0.0,220.6,17.712017263867928,324.6,17.712017263867928,0.21175635450636038,0.010521630535270552,0.10478000000000001,0.007008214228080259,0.3431101459020283,0.00499131454518768,0.0,0.0,0.0,0.0,101.0,0.0,0.34807692307692306,0.019166559471443658,0.44038461538461543,0.02139528111317774,0.7325531899929046,0.04701756446046069
MaxLoss,0.4,0.4,200,10,200.0,0.0,204.0,0.0,106.0,15.12099350057543,310.0,15.12099350057543,0.20310530996648596,0.009002099304535546,0.06255999999999999,0.00854535871427032,0.48895809170790017,0.006076897973568567,0.0,0.0,1.0,0.0,201.0,0.0,0.3151960784313726,0.008921329212234442,0.4181372549019608,0.008831090926059909,0.5451959192752838,0.032173672480578286
MaxLoss,0.4,0.4,50,10,50.0,0.0,54.0,0.0,264.5,18.92984122724987,318.5,18.92984122724987,0.2080992331786547,0.011280650081202692,0.11561999999999999,0.007290874052158927,0.2931643750052899,0.004547159597921139,0.0,0.0,0.0,0.0,51.0,0.0,0.3592592592592593,0.03337902675208833,0.42222222222222233,0.03108562546176339,0.7029107421636581,0.051533059879408816
MaxLoss,0.4,0.5,100,10,100.0,0.0,104.0,0.0,139.4,5.810335618533579,243.4,5.810335618533579,0.1952785818022676,0.004196844726950834,0.08774000000000001,0.0029042574113034647,0.3533362916088663,0.0013803281962578835,0.0,0.0,0.0,0.0,101.0,0.0,0.37596153846153846,0.01150725837885656,0.4788461538461538,0.02187015655029741,0.6877303749322892,0.04338817513581063
MaxLoss,0.4,0.5,200,10,200.0,0.0,204.0,0.0,53.2,11.455032857996427,257.2,11.455032857996427,0.20514736910699866,0.008219435112312394,0.04958000000000001,0.006869607784372497,0.48656001670169646,0.0022948306642722096,0.0,0.0,1.0,0.0,201.0,0.0,0.32549019607843144,0.007054585995072844,0.4504901960784314,0.016444923722973973,0.5182190716266633,0.02386107885855532
MaxLoss,0.4,0.5,50,10,50.0,0.0,54.0,0.0,177.7,10.21986083836544,231.7,10.21986083836544,0.1867531880212482,0.007407133684505004,0.09512000000000001,0.003968705358454094,0.30417307910975067,0.001285400984474542,0.0,0.0,0.0,0.0,51.0,0.0,0.3833333333333333,0.02209324712120158,0.47037037037037044,0.026363156177855087,0.6596469849348068,0.03920841339255187
MaxLoss,0.4,0.6,100,10,100.0,0.0,104.0,0.0,101.1,10.95287887066937,205.1,10.95287887066937,0.2083379128074739,0.009883997799443366,0.08061,0.008180864529158545,0.3878282081976067,0.005088478602610186,0.0,0.0,0.0,0.0,101.0,0.0,0.31346153846153846,0.01157401928542807,0.4461538461538462,0.0205328427923679,0.6605940818786621,0.032775741317456634
