method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.0,0.1,100,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,0.09287529200082645,1,0,26,0.0,0.034482758620689655,0.8954413533210754
PU-C,0,0.0,0.1,200,25,2700,300,29,0,29,0.01794182026060298,0.006299999999999972,0.09579950000625104,1,0,26,0.0,0.034482758620689655,0.8954413533210754
PU-F,0,0.0,0.1,50,43,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,0.11261545901652426,1,0,44,0.0,0.0,0.886849045753479
PU-F,0,0.0,0.1,100,43,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,0.1151621249737218,1,0,44,0.0,0.0,0.886849045753479
PU-F,0,0.0,0.1,200,43,2700,300,47,0,47,0.02636197186075151,0.007800000000000029,0.11740870901849121,1,0,44,0.0,0.0,0.886849045753479
PU-G,0,0.0,0.1,50,50,2700,300,54,14,68,0.03580676292767748,0.01200000000000001,0.11570550000760704,0,0,51,0.0,0.0,0.8937892913818359
PU-G,0,0.0,0.1,100,55,2700,300,59,0,59,0.03179569693747908,0.008099999999999996,0.12603604199830443,1,0,56,0.0,0.0,0.8943890333175659
PU-G,0,0.0,0.1,200,55,2700,300,59,0,59,0.03179569693747908,0.008099999999999996,0.12838854198344052,1,0,56,0.0,0.0,0.8943890333175659
MaxLoss,0,0.0,0.2,50,25,2400,600,29,0,29,0.02017558040097356,0.0042999999999999705,0.07976695796241984,1,0,26,0.0,0.034482758620689655,0.8855744004249573
MaxLoss,0,0.0,0.2,100,25,2400,600,29,0,29,0.02017558040097356,0.0042999999999999705,0.08184441697085276,1,0,26,0.0,0.034482758620689655,0.8855744004249573
MaxLoss,0,0.0,0.2,200,25,2400,600,29,0,29,0.02017558040097356,0.0042999999999999705,0.08374745794571936,1,0,26,0.0,0.034482758620689655,0.8855744004249573
PU-C,0,0.0,0.2,50,30,2400,600,34,0,34,0.022852967551443726,0.007199999999999984,0.0934640410123393,1,0,31,0.0,0.08823529411764706,0.888832688331604
