method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,0,0.4,0.1,2700,300,420,0,420,0.18002453196095303,0.021599999999999953,0.7707902079564519,1,417,0.30952380952380953,0.45714285714285713,0.45410558581352234
PU-C,0,0.4,0.1,2700,300,437,0,437,0.18673023959854618,0.0232,2.3677860419848002,1,434,0.2951945080091533,0.41418764302059496,0.38927146792411804
PU-F,0,0.4,0.1,2700,300,409,0,409,0.1756783106829971,0.01770000000000005,3.9320550840348005,1,406,0.31295843520782396,0.43031784841075793,0.5871363878250122
PU-G,0,0.4,0.1,2700,300,460,0,460,0.1957820297102444,0.030299999999999994,4.087742833013181,1,457,0.3065217391304348,0.4369565217391304,0.364162415266037
MaxLoss,0,0.4,0.2,2400,600,379,0,379,0.18397163227200508,0.02429999999999999,0.7092336670029908,1,376,0.2955145118733509,0.41424802110817943,0.2952195107936859
PU-C,0,0.4,0.2,2400,600,393,0,393,0.190200247510802,0.016900000000000026,1.870106875023339,1,390,0.3053435114503817,0.4529262086513995,0.579395055770874
PU-F,0,0.4,0.2,2400,600,377,0,377,0.1830808500526473,0.012499999999999956,2.9009341670316644,1,374,0.29973474801061006,0.4323607427055703,0.4421496093273163
PU-G,0,0.4,0.2,2400,600,455,0,455,0.21765006688656285,0.01429999999999998,3.6623424169956706,1,452,0.27912087912087913,0.4043956043956044,0.3399095833301544
MaxLoss,0,0.4,0.3,2100,900,354,0,354,0.19710935821058229,0.027599999999999958,0.6655309589696117,1,351,0.2994350282485876,0.4632768361581921,0.7131404280662537
PU-C,0,0.4,0.3,2100,900,372,0,372,0.20626018091570586,0.023599999999999954,1.6491352500161156,1,369,0.3010752688172043,0.4381720430107527,0.8034417033195496
PU-F,0,0.4,0.3,2100,900,340,0,340,0.18997423280961812,0.023499999999999965,2.241305709001608,1,337,0.3205882352941177,0.4647058823529412,0.516241729259491
PU-G,0,0.4,0.3,2100,900,371,0,371,0.20575245609506965,0.021199999999999997,2.547331416979432,1,368,0.2857142857142857,0.42587601078167114,0.5381081700325012
MaxLoss,0,0.4,0.4,1800,1200,303,0,303,0.19904772489098832,0.023499999999999965,0.58170404197881,1,300,0.3102310231023102,0.4521452145214521,0.5766040682792664
PU-C,0,0.4,0.4,1800,1200,301,0,301,0.19785415864316747,0.022199999999999998,1.3318518339656293,1,298,0.3089700996677741,0.4485049833887043,0.6746845841407776
PU-F,0,0.4,0.4,1800,1200,297,0,297,0.19546560902381316,0.02300000000000002,1.685093332955148,1,294,0.2962962962962963,0.4377104377104377,0.32718148827552795
PU-G,0,0.4,0.4,1800,1200,328,0,328,0.21392894187010825,0.012399999999999967,1.8707768329768442,1,325,0.24390243902439024,0.3871951219512195,0.8425077199935913
MaxLoss,0,0.4,0.5,1500,1500,220,0,220,0.17836390651063994,0.01649999999999996,0.47413099999539554,1,217,0.37272727272727274,0.5363636363636364,0.5555939078330994
PU-C,0,0.4,0.5,1500,1500,225,0,225,0.18199383554747328,0.008900000000000019,0.8378495419747196,1,222,0.3511111111111111,0.48,0.5692437887191772
PU-F,0,0.4,0.5,1500,1500,234,0,234,0.18851460044970736,0.026800000000000046,0.8035152080119587,1,231,0.3247863247863248,0.5042735042735043,0.5405661463737488
PU-G,0,0.4,0.5,1500,1500,284,0,284,0.22446389746619388,0.03510000000000002,1.0679580830037594,1,281,0.2852112676056338,0.43309859154929575,0.6096925139427185
MaxLoss,0,0.4,0.6,1200,1800,243,0,243,0.24262274953071028,0.023800000000000043,0.5184930000104941,1,240,0.2839506172839506,0.45267489711934156,0.38218072056770325
PU-C,0,0.4,0.6,1200,1800,197,0,197,0.20115190133219585,0.015800000000000036,0.6023385420558043,1,194,0.34517766497461927,0.45685279187817257,0.5991228818893433
PU-F,0,0.4,0.6,1200,1800,247,0,247,0.246201274683699,0.03500000000000003,0.8572413329966366,1,244,0.2793522267206478,0.4574898785425101,0.7094640135765076
PU-G,0,0.4,0.6,1200,1800,246,0,246,0.24530702689662576,0.027800000000000047,0.9839609580230899,1,243,0.2804878048780488,0.45934959349593496,0.4902907609939575
MaxLoss,0,0.4,0.7,900,2100,134,0,134,0.1898119124234654,0.020199999999999996,0.41248670796630904,1,131,0.3358208955223881,0.4701492537313433,0.7721436619758606
PU-C,0,0.4,0.7,900,2100,140,0,140,0.1972026217263192,0.01990000000000003,0.3682173749548383,1,137,0.32142857142857145,0.4714285714285714,0.8141617774963379
PU-F,0,0.4,0.7,900,2100,154,0,154,0.21435099828522652,0.026900000000000035,0.45930883404798806,1,151,0.2857142857142857,0.44155844155844154,0.5749682784080505
PU-G,0,0.4,0.7,900,2100,173,0,173,0.23742782464250922,0.014599999999999946,0.6183923329808749,1,170,0.26011560693641617,0.4393063583815029,0.5769500732421875
MaxLoss,0,0.4,0.8,600,2400,90,0,90,0.2001374858082272,0.049900000000000055,0.3917778750183061,1,87,0.37777777777777777,0.5777777777777777,0.5491876602172852
PU-C,0,0.4,0.8,600,2400,113,0,113,0.24298511043889448,0.06240000000000001,0.3111526249558665,1,110,0.30973451327433627,0.48672566371681414,0.765856921672821
PU-F,0,0.4,0.8,600,2400,111,0,111,0.23929446149850264,0.01319999999999999,0.3566822499851696,1,108,0.34234234234234234,0.5315315315315315,0.6634888648986816
PU-G,0,0.4,0.8,600,2400,112,0,112,0.24114056106191128,0.019399999999999973,0.3538134999689646,1,109,0.33035714285714285,0.5446428571428571,0.7815459966659546
MaxLoss,1,0.0,0.0,3000,0,118,0,118,0.05174200655892491,0.018900000000000028,0.1527447499684058,1,115,0.0,0.17796610169491525,0.81413334608078
PU-C,1,0.0,0.0,3000,0,107,0,107,0.04751565994229168,0.018100000000000005,0.18130575004033744,1,104,0.0,0.14953271028037382,0.8137211203575134
PU-F,1,0.0,0.0,3000,0,132,0,132,0.057082461076788604,0.009000000000000008,0.37688066699774936,1,129,0.0,0.11363636363636363,0.7961007356643677
PU-G,1,0.0,0.0,3000,0,171,0,171,0.07177707378286868,0.0031999999999999806,0.5072575410013087,1,168,0.0,0.21052631578947367,0.6130948662757874
MaxLoss,1,0.0,0.1,2700,300,47,0,47,0.02636197186075151,0.006800000000000028,0.21144654200179502,1,44,0.0,0.06382978723404255,0.921396791934967
PU-C,1,0.0,0.1,2700,300,65,0,65,0.034475019783712924,0.009600000000000053,0.12544187501771376,1,62,0.0,0.13846153846153847,0.9118310809135437
PU-F,1,0.0,0.1,2700,300,74,0,74,0.038456011563539505,0.008900000000000019,0.14562229200964794,1,71,0.0,0.16216216216216217,0.8953701257705688
PU-G,1,0.0,0.1,2700,300,74,0,74,0.038456011563539505,0.00880000000000003,0.14592904096934944,1,71,0.0,0.13513513513513514,0.894431471824646
MaxLoss,1,0.0,0.2,2400,600,62,0,62,0.0372571304324083,0.008299999999999974,0.11331820796476677,1,59,0.0,0.14516129032258066,0.9161346554756165
PU-C,1,0.0,0.2,2400,600,47,0,47,0.029640937224030495,0.005900000000000016,0.11102999997092411,1,44,0.0,0.1702127659574468,0.9106559157371521
PU-F,1,0.0,0.2,2400,600,63,0,63,0.037758647406008095,0.007600000000000051,0.14471170800970867,1,60,0.0,0.1111111111111111,0.8874064683914185
PU-G,1,0.0,0.2,2400,600,73,0,73,0.04273886897135526,0.008199999999999985,0.1590779580292292,1,70,0.0,0.136986301369863,0.8848878741264343
MaxLoss,1,0.0,0.3,2100,900,49,0,49,0.0350237141828984,0.008600000000000052,0.12839299999177456,1,46,0.0,0.22448979591836735,0.8680700063705444
PU-C,1,0.0,0.3,2100,900,52,0,52,0.036773915810044855,0.006099999999999994,0.1450854999711737,1,49,0.0,0.2692307692307692,0.8897064328193665
PU-F,1,0.0,0.3,2100,900,48,0,48,0.03443813865305856,0.010099999999999998,0.14841908303787932,1,45,0.0,0.20833333333333334,0.8636617660522461
PU-G,1,0.0,0.3,2100,900,52,0,52,0.036773915810044855,0.008700000000000041,0.1531672920100391,1,49,0.0,0.19230769230769232,0.877402663230896
MaxLoss,1,0.0,0.4,1800,1200,38,0,38,0.033237001043744385,0.008600000000000052,0.1394560419721529,1,35,0.0,0.15789473684210525,0.8566263914108276
PU-C,1,0.0,0.4,1800,1200,32,0,32,0.029009448655415326,0.007800000000000029,0.14227091695647687,1,29,0.0,0.125,0.8629441857337952
PU-F,1,0.0,0.4,1800,1200,39,0,39,0.033934641047380865,0.007900000000000018,0.1550905000185594,1,36,0.0,0.1794871794871795,0.8894716501235962
