method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
PU-C,0.0,0.5,10,19.9,1.991370270832513,0.0,0.0,19.9,1.991370270832513,0.0241093531367369,0.0017862537398017672,0.005059999999999986,0.0005907057925340983,0.14879475419875235,0.0022195166408409024,1.0,0.0,16.9,1.991370270832513
PU-C,0.0,0.6,10,15.5,1.9278658321228337,0.0,0.0,15.5,1.9278658321228337,0.025033682672074065,0.0022383838843363824,0.005220000000000002,0.0005577335086460793,0.1737225541844964,0.0019446994664213705,1.0,0.0,12.5,1.9278658321228337
PU-C,0.0,0.7,10,12.8,1.2454361128179603,0.0,0.0,12.8,1.2454361128179603,0.029213513724971562,0.0019419079195875499,0.004860000000000008,0.000815570693168628,0.1919534791901242,0.0014206164437842587,1.0,0.0,9.8,1.2454361128179603
PU-C,0.0,0.8,10,8.2,1.0519822558706333,0.0,0.0,8.2,1.0519822558706333,0.03242567301495001,0.002595372952157631,0.0037000000000000145,0.0006782329983125234,0.20926492920261808,0.0009881939718117299,1.0,0.0,5.2,1.0519822558706333
PU-C,0.4,0.0,10,499.8,18.582428976499994,5.8,5.8,505.6,22.540925742598354,0.19251518761739134,0.007945517270991208,0.019709999999999995,0.003955543227196771,2.856159983301768,0.13302872350439524,0.9,0.09999999999999999,496.8,18.582428976499994
PU-C,0.4,0.1,10,463.5,15.739723278663094,0.0,0.0,463.5,15.739723278663094,0.1971119498834014,0.006170730512262086,0.01864000000000001,0.002026611841363698,2.6456688915903213,0.1170814475203368,1.0,0.0,460.5,15.739723278663094
PU-C,0.4,0.2,10,409.3,9.585927185202275,0.0,0.0,409.3,9.585927185202275,0.19741436938056722,0.004247089842479602,0.018720000000000014,0.0014244531114314227,2.1488765334011988,0.07381197592152608,1.0,0.0,406.3,9.585927185202275
PU-C,0.4,0.3,10,358.6,12.153828843436768,0.0,0.0,358.6,12.153828843436768,0.19939876454300248,0.006175520320949483,0.019289999999999984,0.0019665225935928407,1.6772837875061668,0.09472710783869326,1.0,0.0,355.6,12.153828843436768
PU-C,0.4,0.4,10,301.4,8.268010643437753,0.0,0.0,301.4,8.268010643437753,0.19805630060727708,0.0049386928147497665,0.021140000000000003,0.0011329607230614834,1.2745066584146116,0.05431180481628101,1.0,0.0,298.4,8.268010643437753
PU-C,0.4,0.5,10,252.0,8.175845182269809,0.0,0.0,252.0,8.175845182269809,0.2014524975034874,0.005891930043974687,0.021929999999999995,0.0029594687961787248,0.9229170001053717,0.03786786304834671,1.0,0.0,249.0,8.175845182269809
PU-C,0.4,0.6,10,208.3,6.988959547425893,0.0,0.0,208.3,6.988959547425893,0.2113311074557714,0.006311291715097603,0.027790000000000002,0.0033961236072256747,0.6396858958993107,0.028926028097884304,1.0,0.0,205.3,6.988959547425893
PU-C,0.4,0.7,10,148.3,6.456779382943171,0.0,0.0,148.3,6.456779382943171,0.20724990481976419,0.007970979732355974,0.028349999999999986,0.0042209596065349905,0.45120061660418287,0.03266824833042128,1.0,0.0,145.3,6.456779382943171
PU-C,0.4,0.8,10,111.1,5.408737786623091,0.0,0.0,111.1,5.408737786623091,0.23927149252267554,0.009995591168909667,0.05364000000000002,0.005511144265133247,0.3162075168045703,0.007496185994898229,1.0,0.0,108.1,5.408737786623091
PU-F,0.0,0.0,10,126.2,3.4634600554294765,0.0,0.0,126.2,3.4634600554294765,0.0548635721381288,0.0013231676614586403,0.012540000000000006,0.001241701341797703,0.3769477250054479,0.018734511752672038,1.0,0.0,123.2,3.4634600554294765
PU-F,0.0,0.1,10,59.1,4.061882431692095,0.0,0.0,59.1,4.061882431692095,0.031793124676914884,0.0018163090374939835,0.008899999999999996,0.0006502990764939532,0.13047555839293637,0.008532086273941624,1.0,0.0,56.1,4.061882431692095
PU-F,0.0,0.2,10,41.7,4.948737212663448,0.0,0.0,41.7,4.948737212663448,0.026765906944638117,0.002571147998647212,0.006349999999999989,0.0009210199660038725,0.11352626651641913,0.0074424601279730876,1.0,0.0,38.7,4.948737212663448
PU-F,0.0,0.3,10,33.9,3.8570282169912455,0.0,0.0,33.9,3.8570282169912455,0.02591151181841269,0.002345963493338361,0.006040000000000001,0.0009315697624022731,0.12780641650315375,0.0052503717709764045,1.0,0.0,30.9,3.8570282169912455
PU-F,0.0,0.4,10,28.4,2.472964932132187,0.0,0.0,28.4,2.472964932132187,0.026358897489262744,0.0017722322337222457,0.006380000000000008,0.0006619499813262168,0.14063075411249884,0.003151722174337512,1.0,0.0,25.4,2.472964932132187
PU-F,0.0,0.5,10,19.4,2.4276188608044165,0.0,0.0,19.4,2.4276188608044165,0.023595249041682108,0.002202279468473162,0.0049899999999999944,0.00042490521818923583,0.14992586679873057,0.003043851802204189,1.0,0.0,16.4,2.4276188608044165
PU-F,0.0,0.6,10,16.5,1.607275126832159,0.0,0.0,16.5,1.607275126832159,0.026263973221648484,0.0018159001488784862,0.005769999999999997,0.0005264239947249967,0.1754600542015396,0.0020155969157292885,1.0,0.0,13.5,1.607275126832159
PU-F,0.0,0.7,10,14.1,1.27758452644912,0.0,0.0,14.1,1.27758452644912,0.03125140587217175,0.0019987101694947367,0.005879999999999996,0.0006327716807822504,0.1942987542890478,0.0016440355000759636,1.0,0.0,11.1,1.27758452644912
PU-F,0.0,0.8,10,8.5,0.5,0.0,0.0,8.5,0.5,0.03333620799239725,0.001271131916047606,0.0035699999999999955,0.0003771383477363874,0.20962495409767143,0.0011263334356780236,1.0,0.0,5.5,0.5
PU-F,0.4,0.0,10,484.0,17.083455284117566,0.0,0.0,484.0,17.083455284117566,0.18491133724455722,0.006040931871880539,0.020230000000000005,0.0023082966302737863,4.9494306373992005,0.2837890911697294,1.0,0.0,481.0,17.083455284117566
PU-F,0.4,0.1,10,460.1,15.564525191744346,0.0,0.0,460.1,15.564525191744346,0.1957742216764018,0.006123688146771336,0.017780000000000008,0.0016924538398431972,4.448584229010157,0.19571391560109372,1.0,0.0,457.1,15.564525191744346
PU-F,0.4,0.2,10,399.5,10.572763750946738,0.0,0.0,399.5,10.572763750946738,0.19305790351936594,0.004704238343462918,0.02087000000000001,0.002215152364962739,3.4676825374132023,0.17513144938816003,1.0,0.0,396.5,10.572763750946738
PU-F,0.4,0.3,10,355.4,13.485135849849227,0.0,0.0,355.4,13.485135849849227,0.19775669537484647,0.006863843037703257,0.018909999999999982,0.0018806884082401534,2.333203662507003,0.13859455464463252,1.0,0.0,352.4,13.485135849849227
PU-F,0.4,0.4,10,310.9,9.4085658371035,0.0,0.0,310.9,9.4085658371035,0.20371237984509208,0.005606112600393431,0.02307999999999999,0.002224350092349078,1.8606248539872468,0.1406701301252684,1.0,0.0,307.9,9.4085658371035
PU-F,0.4,0.5,10,263.9,6.49178968646808,0.0,0.0,263.9,6.49178968646808,0.2100326031970326,0.004659060864012216,0.025609999999999987,0.0019931242922719156,1.2213357332977466,0.0734384979973631,1.0,0.0,260.9,6.49178968646808
PU-F,0.4,0.6,10,225.3,6.58963833099612,0.0,0.0,225.3,6.58963833099612,0.2266820284188725,0.005932661787004103,0.02780999999999999,0.002040830440994279,0.7946660124929622,0.02895982108754385,1.0,0.0,222.3,6.58963833099612
PU-F,0.4,0.7,10,157.7,7.23118247591637,0.0,0.0,157.7,7.23118247591637,0.2186976555036381,0.008920870011389774,0.02611000000000001,0.0021195099014211342,0.5528612623922526,0.029621990223089822,1.0,0.0,154.7,7.23118247591637
PU-F,0.4,0.8,10,105.4,5.67097875150313,0.0,0.0,105.4,5.67097875150313,0.22868572692968883,0.010526181605969062,0.03972000000000001,0.005092844653694701,0.3561783622892108,0.010375877843342832,1.0,0.0,102.4,5.67097875150313
PU-G,0.0,0.0,10,128.5,8.00312438988674,0.0,0.0,128.5,8.00312438988674,0.055693547235568984,0.003048671057449708,0.007310000000000006,0.0009477986190231693,0.36679805830353873,0.023645554622355642,1.0,0.0,125.5,8.00312438988674
PU-G,0.0,0.1,10,61.5,4.351883372620282,0.0,0.0,61.5,4.351883372620282,0.03286193859530613,0.0019439163409378046,0.007269999999999999,0.0006936297443321075,0.12883217058843002,0.006888629226918769,1.0,0.0,58.5,4.351883372620282
PU-G,0.0,0.2,10,53.3,6.137408066747539,0.0,0.0,53.3,6.137408066747539,0.03269993719295598,0.0031500645239646028,0.008479999999999988,0.0009160058223978004,0.13012834981200286,0.009345546449787976,1.0,0.0,50.3,6.137408066747539
PU-G,0.0,0.3,10,39.9,3.7960505792204615,0.0,0.0,39.9,3.7960505792204615,0.029556550760753454,0.0022555872155151082,0.006690000000000018,0.0006320073839231092,0.13570697918185032,0.005161403665158987,1.0,0.0,36.9,3.7960505792204615
PU-G,0.0,0.4,10,27.3,2.616401260425387,0.0,0.0,27.3,2.616401260425387,0.02553194934152998,0.0019280695399255872,0.005600000000000016,0.0008804039476916901,0.1394820085086394,0.0034853737740467307,1.0,0.0,24.3,2.616401260425387
