method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,110,1000,0,114,79,193,0.23602420464158058,0.12719999999999998,0.6134433474399077,0.08057999999999996,0.26081477631525146,248.62325126339377,1.9879963430576026,0,0,111,0.0,0.0,0.5898221731185913
MaxLoss,mnist,0,0.0,0.0,120,1000,0,124,61,185,0.2273381107370369,0.11809999999999998,0.5915970561317703,0.062320000000000014,0.23273891541389,259.19046957401207,2.115513698896393,0,0,121,0.0,0.0,0.585256814956665
MaxLoss,mnist,0,0.0,0.0,130,1000,0,134,26,160,0.2000030903145671,0.09999999999999998,0.530767235739291,0.027100000000000027,0.1711620969842967,270.34142766069675,2.243385861860588,0,0,131,0.0,0.0,0.5831373929977417
MaxLoss,mnist,0,0.0,0.0,140,1000,0,144,26,170,0.2109735436970368,0.0998,0.539869826698586,0.027160000000000024,0.1712804303270404,283.4619109861711,2.3709720368497074,0,0,141,0.0,0.0,0.5871666669845581
MaxLoss,mnist,0,0.0,0.0,150,1000,0,154,20,174,0.21534779062494636,0.09419999999999995,0.5337110049809881,0.02122000000000002,0.15920060220435545,295.6084628340707,2.4985140529461205,0,0,151,0.0,0.0,0.5877630710601807
MaxLoss,mnist,0,0.0,0.0,160,1000,0,164,11,175,0.21644014958292246,0.09030000000000005,0.5156212330025709,0.01176000000000001,0.1378707600626869,307.69163104591297,2.625900419894606,0,0,161,0.0,0.0,0.5879388451576233
MaxLoss,mnist,0,0.0,0.0,165,1000,0,169,0,169,0.20987876318395138,0.08589999999999998,0.4797077224817302,0.0014800000000000013,0.10770564268174859,312.92091766583553,2.7177305328659713,1,0,166,0.0,0.0,0.591910719871521
Marginal,mnist,0,0.0,0.0,0,1000,0,4,485,489,0.5435518600861542,0.4609,0.7542046918420775,0.47501999999999994,0.6965800463956279,1.041547863422393,0.07000289903953671,0,0,1,0.0,0.0,0.622212827205658
Marginal,mnist,0,0.0,0.0,10,1000,0,14,364,378,0.4308754220837727,0.37549999999999994,0.7341576923983656,0.3621599999999999,0.5908821866510926,40.58642771240977,0.2075237799435854,0,0,11,0.0,0.0,0.5573141574859619
Marginal,mnist,0,0.0,0.0,20,1000,0,24,329,353,0.4051032161223702,0.3215,0.7361601115293382,0.32964,0.5582877843764749,65.71463688747575,0.3445093638729304,0,0,21,0.0,0.0,0.5721551775932312
Marginal,mnist,0,0.0,0.0,30,1000,0,34,265,299,0.34889490506611764,0.2734,0.695226849573316,0.26549999999999996,0.4908132210489448,82.95057228031975,0.48153500887565315,0,0,31,0.0,0.0,0.5828169584274292
Marginal,mnist,0,0.0,0.0,40,1000,0,44,241,285,0.3341934643103741,0.25470000000000004,0.6893207830958218,0.24317999999999998,0.4662245048776607,99.07538074918322,0.6184583138674498,0,0,41,0.0,0.0,0.5859895944595337
Marginal,mnist,0,0.0,0.0,50,1000,0,54,222,276,0.3247125825146213,0.2279,0.6847389941775981,0.22489999999999996,0.4456055157206921,114.00897015364617,0.7553200400434434,0,0,51,0.0,0.0,0.583773136138916
Marginal,mnist,0,0.0,0.0,60,1000,0,64,212,276,0.3247125825146213,0.2229,0.6847589766376001,0.21285999999999997,0.43177032791703673,128.17391089202323,0.8906531988177449,0,0,61,0.0,0.0,0.5905119776725769
Marginal,mnist,0,0.0,0.0,70,1000,0,74,206,280,0.3289292565896176,0.21819999999999995,0.6876472814358924,0.20561999999999997,0.42334766071241925,140.6914061931001,1.027254736982286,0,0,71,0.0,0.0,0.5901310443878174
