method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-R,mnist,1,0.4,0.0,5000,0,800,1877,2677,0.5613493015989661,0.3468,0.7649191388358406,0.374434,0.5366111860550805,612.9261374040088,77.74829668318853,0,797,0.425,0.0,0.5669186115264893
PU-C,mnist,1,0.4,0.0,5000,0,800,1997,2797,0.5852736473316327,0.4336,0.7868854563915597,0.39915000000000006,0.5614148094846301,626.6519863758841,30.15489045600407,0,797,0.4275,0.0,0.5568965077400208
Marginal,mnist,1,0.4,0.0,5000,0,800,1905,2705,0.566937159455847,0.3304,0.7809840046955374,0.38100800000000007,0.5432485432372531,684.2823832510342,15.11968553904444,0,797,0.41625,0.0,0.5688422918319702
MaxLoss,mnist,2,0.0,0.0,5000,0,486,0,486,0.11198131454875693,0.04620000000000002,0.2301434034272613,0.0005619999999999936,0.054601225814604755,569.87325233992,6.771857243962586,1,483,0.0,0.0,0.5715470910072327
PU-R,mnist,2,0.0,0.0,5000,0,677,0,677,0.1525667640962638,0.04149999999999998,0.22941381456910212,0.00021199999999997664,0.0529249402368231,580.1448178194028,44.116695567034185,1,674,0.0,0.0,0.5621981024742126
PU-C,mnist,2,0.0,0.0,5000,0,664,0,664,0.14982066449010745,0.04359999999999997,0.2246463982277675,0.0001979999999999904,0.05285030129916207,557.1100555099662,12.132927361875772,1,661,0.0,0.0,0.5657323598861694
Marginal,mnist,2,0.0,0.0,5000,0,800,88,888,0.19687800720566884,0.04679999999999995,0.28774777430762344,0.01762799999999995,0.09730932585246926,533.6401515571084,12.221625806996599,0,797,0.0,0.0,0.5648254752159119
MaxLoss,mnist,2,0.1,0.0,5000,0,800,948,1748,0.3740631021792069,0.256,0.6278637372257662,0.18929600000000005,0.3356463075114552,865.8239811288473,10.89225302520208,0,797,0.355,0.0,0.5581185221672058
PU-R,mnist,2,0.1,0.0,5000,0,800,553,1353,0.2932323204004206,0.09150000000000003,0.48427018190618887,0.10977600000000003,0.237259675874178,637.7199449395162,66.06441136216745,0,797,0.155,0.0,0.559698760509491
PU-C,mnist,2,0.1,0.0,5000,0,800,582,1382,0.29919498914387077,0.11429999999999996,0.4889045897370536,0.11610799999999998,0.24552862703723538,615.3380284958195,19.840441178996116,0,797,0.16125,0.0,0.5651065707206726
Marginal,mnist,2,0.1,0.0,5000,0,800,722,1522,0.3279147537541576,0.10970000000000002,0.5137253500199251,0.144548,0.2816204860564943,546.8915881838312,13.169984978158027,0,797,0.12375,0.0,0.5646528601646423
MaxLoss,mnist,2,0.2,0.0,5000,0,800,1378,2178,0.46121144987409934,0.35109999999999997,0.716690765659049,0.274138,0.43145538562181385,876.9927667247412,10.928505931049585,0,797,0.405,0.0,0.5628771185874939
PU-R,mnist,2,0.2,0.0,5000,0,800,1194,1994,0.4240204200614244,0.17369999999999997,0.6394525476077325,0.23833400000000002,0.3919174974316594,621.5421794332926,71.44016712508164,0,797,0.24125,0.0,0.5577130317687988
PU-C,mnist,2,0.2,0.0,5000,0,800,1174,1974,0.41996903100516647,0.17589999999999995,0.6363391855191731,0.23459200000000002,0.38771485783515275,626.1376124570844,25.73175484011881,0,797,0.26375,0.0,0.5698121190071106
Marginal,mnist,2,0.2,0.0,5000,0,800,1210,2010,0.42726026283344254,0.15259999999999996,0.6342575598166453,0.24198000000000003,0.39599895327270496,574.0073242827119,14.107240840094164,0,797,0.1925,0.0,0.5660383701324463
MaxLoss,mnist,2,0.3,0.0,5000,0,800,1646,2446,0.5151230437331833,0.3882,0.760616888564108,0.326536,0.4873395846186474,859.033049018573,10.938707459019497,0,797,0.42875,0.0,0.568565309047699
PU-R,mnist,2,0.3,0.0,5000,0,800,1601,2401,0.5060918326489627,0.21419999999999995,0.7188238078552138,0.3200700000000001,0.4805603384919771,618.2555926907406,75.59453016193584,0,797,0.3025,0.0,0.5565590858459473
PU-C,mnist,2,0.3,0.0,5000,0,800,1589,2389,0.5036820750683546,0.2652,0.7137851149008387,0.31817000000000006,0.4785622725844535,598.9745957302181,27.658490190049633,0,797,0.32375,0.0,0.5601685047149658
Marginal,mnist,2,0.3,0.0,5000,0,800,1571,2371,0.5000663056271151,0.20650000000000002,0.7111581636536979,0.31416200000000005,0.47433834623440096,604.9968997926486,14.604160481132567,0,797,0.275,0.0,0.571194052696228
MaxLoss,mnist,2,0.4,0.0,5000,0,800,1820,2620,0.5499637318425812,0.4316,0.7964667080669154,0.36416000000000004,0.5261790098933823,902.9681717230199,10.952294616959989,0,797,0.47625,0.0,0.574625551700592
PU-R,mnist,2,0.4,0.0,5000,0,800,1965,2765,0.5788998630014248,0.4609,0.7798258292863274,0.39339399999999997,0.5556748393170173,610.0274035156514,78.47116440488026,0,797,0.42,0.0,0.5542899370193481
PU-C,mnist,2,0.4,0.0,5000,0,800,1890,2690,0.5639440793311223,0.4081,0.768500360768312,0.3768800000000001,0.5390841872122263,623.0010084640035,29.53903255611658,0,797,0.4125,0.0,0.5629822015762329
Marginal,mnist,2,0.4,0.0,5000,0,800,1947,2747,0.5753126718336716,0.40569999999999995,0.775846230925538,0.38964400000000005,0.5519234643711213,603.6823020394959,15.305906125111505,0,797,0.41375,0.0,0.5663683414459229
