method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
GREATS,boundary_duplicate_mnist,0,0.3,0.8,1000,4000,635,0,635,,0.4217826868738762,0.4217826868738762,,,,,30.803136193193495,1,632,0.29763779527559053,0.8582677165354331,0.5780851244926453,0.5780851244926453,0.999963104724884,0.008491393261330572,0.9936908517350158,0.9968454258675079,0.9936908517350158,0.5887575889245549,0.14173228346456693,0.1556028432706052,1.4221985783646973
MaxLoss,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,1897,2697,0.5653409693622962,0.4664782943745184,0.4664782943745184,,,,,51.6456549661234,0,797,0.355,0.82,0.6083176136016846,0.6083176136016846,0.9999982118606567,0.005580409447451557,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.6800770457282799,0.18,0.15545409158913695,1.4222729542054315
Marginal,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,2088,2888,0.6033748013433069,0.47932185974826613,0.47932185974826613,,,,,55.894713623449206,0,797,0.32125,0.9725,0.5857466459274292,0.5857466459274292,0.9999991655349731,0.005834274814558566,0.9912390488110138,0.9974968710888611,0.9912390488110138,0.18169519976312734,0.0275,0.16020244982176782,1.419898775089116
PU-R,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,2050,2850,0.5958204725175165,0.4009761109684048,0.40097611096840485,,,,,114.52115079667419,0,797,0.3025,0.7625,0.5708979964256287,0.5708979964256287,0.9974322319030762,0.006593031843702247,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.7908580905528101,0.2375,0.15587067957533804,1.422064660212331
GREATS,boundary_duplicate_mnist,1,0.3,0.0,5000,0,800,1894,2694,,0.41870023118417676,0.4187002311841767,,,,,68.05457386747003,0,797,0.33875,0.755,0.5950810313224792,0.5950810313224792,0.999997615814209,0.005408731602757087,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.8032566997760643,0.245,0.1498297225075533,1.4250851387462233
MaxLoss,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1584,2384,0.557033826422412,0.399948625738505,0.399948625738505,,,,,51.31125249527395,0,797,0.3575,0.79,0.5988869667053223,0.5988869667053223,0.9999994039535522,0.005995951616234415,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.7414827399312738,0.21,0.15377070616944388,1.423114646915278
Marginal,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1766,2566,0.5973292491398752,0.34138196763421524,0.34138196763421524,,,,,55.155852327123284,0,797,0.3025,0.79125,0.5625131726264954,0.5625131726264954,0.9998447895050049,0.005717342741668796,0.9949937421777222,0.9987484355444305,0.9949937421777222,0.7390866069605914,0.20875,0.15752527821157,1.421237360894215
PU-R,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1765,2565,0.5971083525219001,0.4081685075777036,0.40816850757770357,,,,,112.83797449432313,0,797,0.3375,0.71625,0.55705326795578,0.55705326795578,0.9969761371612549,0.006310961901610053,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.8605102672837944,0.28375,0.15461320362246764,1.4226933981887662
GREATS,boundary_duplicate_mnist,1,0.3,0.1,4500,500,800,1603,2403,,0.5080914461854611,0.5080914461854611,,,,,67.21771764755249,0,797,0.35,0.84125,0.60548996925354,0.60548996925354,0.9999998807907104,0.005443221484969495,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.631310753908714,0.15875,0.14787519297814777,1.4260624035109262
MaxLoss,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1381,2181,0.573994132108055,0.46570768045209354,0.4657076804520935,,,,,50.5771372821182,0,797,0.35125,0.79875,0.6006913781166077,0.6006913781166077,0.9999986886978149,0.0056261386509893815,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.7244210614477464,0.20125,0.15109392005476974,1.4244530399726152
Marginal,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1568,2368,0.6204528697999194,0.44207552016439766,0.44207552016439766,,,,,53.979632212780416,0,797,0.31125,0.91375,0.5892237424850464,0.5892237424850464,0.9999995827674866,0.005667295467392751,0.9937421777221527,0.9987484355444305,0.9937421777221527,0.423827364576068,0.08625,0.16119956740281208,1.419400216298594
PU-R,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1545,2345,0.6147530601592734,0.48163370151554075,0.4816337015155407,,,,,110.31236581876874,0,797,0.32625,0.74625,0.5586493611335754,0.5586493611335754,0.9973076581954956,0.006877890305456068,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.8171678115451255,0.25375,0.15689964969559703,1.4215501751522015
GREATS,boundary_duplicate_mnist,1,0.3,0.2,4000,1000,800,1401,2201,,0.49396352427433854,0.49396352427433854,,,,,64.94056196790189,0,797,0.34375,0.84375,0.614326000213623,0.614326000213623,0.999992847442627,0.00561073932736105,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.6252624052234231,0.15625,0.14889932147205343,1.4255503392639732
MaxLoss,boundary_duplicate_mnist,1,0.3,0.3,3500,1500,800,1070,1870,0.5648922474938445,0.47906498844079115,0.47906498844079115,,,,,50.760687357746065,0,797,0.3375,0.79125,0.5958713293075562,0.5958713293075562,0.9999985098838806,0.005885329116741953,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.7390866069605914,0.20875,0.1533694500702249,1.4233152749648874
