method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
GREATS,mnist,0,0.4,0.4,100,100,600,400,104,210,314,,0.4848,0.8843290552191765,0.35788333333333333,0.5197697482752396,237.18841537443,1.040403145365417,0,0,101,0.4423076923076923,0.0,0.6255497932434082
GREATS,mnist,0,0.4,0.4,200,200,600,400,204,110,314,,0.4858,0.8304155188169435,0.18325000000000002,0.3285126722846598,364.4060146661417,1.9474258441478014,0,1,201,0.47058823529411764,0.0,0.6090666651725769
MaxLoss,mnist,0,0.4,0.6,50,50,400,600,54,169,223,0.6395485629327595,0.4596,0.9019481511233126,0.41835,0.5804043432857428,134.6168295639415,0.35143603291362524,0,0,51,0.46296296296296297,0.0,0.5804042220115662
MaxLoss,mnist,0,0.4,0.6,100,100,400,600,104,123,227,0.6492740325629711,0.4206,0.9010677632679,0.307775,0.467581590079787,228.6869764818631,0.6704117329791188,0,0,101,0.4423076923076923,0.0,0.5971713662147522
MaxLoss,mnist,0,0.4,0.6,200,200,400,600,204,33,237,0.6734325066790916,0.40469999999999995,0.8249567334193975,0.09135000000000001,0.21261061318594784,351.2456255923537,1.2584200603887439,0,1,201,0.43137254901960786,0.0,0.5814396142959595
PU-C,mnist,0,0.4,0.6,50,50,400,600,54,168,222,0.6371117221424356,0.384,0.9001771238057172,0.42292500000000005,0.5848939461368075,128.71847075885543,0.4272228116169572,0,0,51,0.46296296296296297,0.0,0.5798027515411377
PU-C,mnist,0,0.4,0.6,100,100,400,600,104,121,225,0.6444156864308752,0.362,0.8797955212776039,0.30402500000000005,0.46359962012080896,195.06803417159344,0.8273149356245995,0,0,101,0.4230769230769231,0.0,0.5664349794387817
PU-C,mnist,0,0.4,0.6,200,200,400,600,204,68,272,0.7561349853640422,0.36450000000000005,0.8572531139650252,0.170425,0.31321895239917275,298.37273843575036,1.587856904603541,0,1,201,0.39705882352941174,0.0,0.5884649753570557
PU-F,mnist,0,0.4,0.6,50,50,400,600,54,169,223,0.6395485629327595,0.4617,0.9082565921490157,0.417925,0.5799865922437505,144.48907470870532,0.5721564535051584,0,0,51,0.4444444444444444,0.0,0.6368261575698853
PU-F,mnist,0,0.4,0.6,100,100,400,600,104,115,219,0.6297881391947158,0.3802,0.8862039117994371,0.28720000000000007,0.44559500315564293,221.57087605137568,1.0913854157552123,0,0,101,0.4326923076923077,0.0,0.6234258413314819
PU-F,mnist,0,0.4,0.6,200,200,400,600,204,44,248,0.6997441476560198,0.4102,0.8316605975777449,0.11114999999999998,0.23906206401622718,332.91426294079054,2.002433044835925,0,1,201,0.39705882352941174,0.0,0.6084630489349365
PU-G,mnist,0,0.4,0.6,50,50,400,600,54,176,230,0.6565450002672151,0.5211,0.9119566324229613,0.44554999999999995,0.6069001357822732,129.36775946978247,0.5653927689418197,0,0,51,0.46296296296296297,0.0,0.621638834476471
PU-G,mnist,0,0.4,0.6,100,100,400,600,104,145,249,0.7021221059840173,0.4403,0.9117881197917603,0.36317499999999986,0.5251750176944306,196.75916163002177,1.0903594549745321,0,0,101,0.4230769230769231,0.0,0.5945098400115967
PU-G,mnist,0,0.4,0.6,200,200,400,600,204,81,285,0.7860443231766112,0.377,0.8729136973339111,0.2025000000000001,0.351066541073097,288.2745971976578,2.0676346411928535,0,1,201,0.3872549019607843,0.0,0.6003568172454834
GREATS,mnist,0,0.4,0.6,50,50,400,600,54,163,217,,0.44120000000000004,0.9023499765596081,0.40430000000000005,0.5665319624126758,145.8986879808176,0.46781043987721205,0,0,51,0.4074074074074074,0.0,0.6538161635398865
GREATS,mnist,0,0.4,0.6,100,100,400,600,104,126,230,,0.40659999999999996,0.9081047347793022,0.31565,0.475907950305336,234.93979059734497,0.9070991724729538,0,0,101,0.4230769230769231,0.0,0.6456315517425537
GREATS,mnist,0,0.4,0.6,200,200,400,600,204,22,226,,0.4003,0.7943866288790534,0.058425000000000005,0.16569179065473078,356.48848526894926,1.734070636332035,0,1,201,0.4411764705882353,0.0,0.6237932443618774
MaxLoss,mnist,0,0.4,0.8,50,50,200,800,54,59,113,0.676301776082255,0.46619999999999995,0.9166472473565348,0.3026500000000001,0.46213677866227443,130.57695327154806,0.34494238812476397,0,0,51,0.4444444444444444,0.0,0.5902386903762817
MaxLoss,mnist,0,0.4,0.8,100,100,200,800,104,21,125,0.732494855124969,0.47030000000000005,0.886302280719227,0.11129999999999997,0.2392585551236431,219.83872684101362,0.6564825922250748,0,0,101,0.4423076923076923,0.0,0.5785434246063232
MaxLoss,mnist,0,0.4,0.8,200,133,200,800,137,0,137,0.786792742437683,0.49029999999999996,0.8124150997422116,0.0007500000000000007,0.05540824684189899,268.9384570232336,0.8782739909365773,1,0,134,0.44525547445255476,0.0,0.5857471227645874
PU-C,mnist,0,0.4,0.8,50,50,200,800,54,57,111,0.6667640359373763,0.5559000000000001,0.9007829337575383,0.2866,0.44494865742811107,121.6723418775933,0.4076267508789897,0,0,51,0.42592592592592593,0.0,0.5715076327323914
PU-C,mnist,0,0.4,0.8,100,100,200,800,104,36,140,0.8000421999022365,0.4538,0.9047330672316451,0.18040000000000006,0.32513340294835646,191.01181727214617,0.7881474466994405,0,0,101,0.3942307692307692,0.0,0.5987713932991028
PU-C,mnist,0,0.4,0.8,200,152,200,800,156,0,156,0.8681342283962294,0.46299999999999997,0.8029292465440494,0.011900000000000011,0.08546218721122528,235.75170460137377,1.1820304235443473,1,0,153,0.4423076923076923,0.0,0.5870696902275085
PU-F,mnist,0,0.4,0.8,50,50,200,800,54,73,127,0.7416817511548288,0.46220000000000006,0.9455195238295468,0.36355,0.5255573276596719,136.94302609376138,0.4860296482220292,0,0,51,0.3888888888888889,0.0,0.6312186121940613
PU-F,mnist,0,0.4,0.8,100,100,200,800,104,33,137,0.786792742437683,0.44389999999999996,0.9124891857277769,0.1622,0.3032880920720006,215.57238470660525,0.9222938464954495,0,0,101,0.46153846153846156,0.0,0.6180012226104736
