method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
PU-R,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,100,100,5000,0,104,1714,1818,0.38830676348879933,0.41500000000000004,0.415,,,,,2.1632500200066715,0,0,101,0.028846153846153848,0.4807692307692308,0.6063406467437744,0.6063406467437744,0.9859620928764343,0.041313356783204865,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.21153846153846154,0.7884615384615384,0.04807692307692308,0.9743356885087642,0.009615384615384616,0.22248977514747081,0.6249398005918191,1.527630623668891
PU-R,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,200,200,5000,0,204,1004,1208,0.2633441725047305,0.33599999999999997,0.336,,,,,5.817774186027236,0,1,201,0.04411764705882353,0.49019607843137253,0.6041913032531738,0.6041913032531738,0.993291974067688,0.023933720045489045,0.9901477832512315,0.9901477832512315,0.9901477832512315,0.29411764705882354,0.7058823529411765,0.029411764705882353,0.9602319496904379,0.004901960784313725,0.19008137910861492,0.6322316897005616,1.545455241490262
PU-R-Manifold,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,100,100,5000,0,104,1467,1571,0.33794206305174157,0.41600000000000004,0.416,,,,,2.703072504955344,0,0,101,0.057692307692307696,0.5192307692307693,0.6174807548522949,0.6174807548522949,0.9866185188293457,0.040756538727329775,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.21153846153846154,0.7884615384615384,0.038461538461538464,0.9797950353548078,0.009615384615384616,0.224988493405642,0.6243775889837306,1.526256328626897
PU-R-Manifold,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,200,200,5000,0,204,951,1155,0.25238663784693927,0.35975,0.35975,,,,,7.257529165013693,0,1,201,0.049019607843137254,0.49019607843137253,0.5954451560974121,0.5954451560974121,0.992975115776062,0.024438005527986095,0.9950738916256158,0.9852216748768473,0.9852216748768473,0.28431372549019607,0.7156862745098039,0.029411764705882353,0.9675721526971253,0.004901960784313725,0.1931972262302684,0.6315306240981896,1.5437415255733524
GREATS,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,100,100,5000,0,104,1546,1650,,0.4185,0.4185,,,,,2.138304426916875,0,0,101,0.057692307692307696,0.5961538461538461,0.6380436420440674,0.6380436420440674,0.9836943745613098,0.04386966519998115,0.970873786407767,0.9805825242718447,0.9611650485436893,0.27884615384615385,0.7211538461538461,0.04807692307692308,0.9697735567452823,0.009615384615384616,0.22640466475824944,0.6240589504293939,1.525477434382963
GREATS,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,200,200,5000,0,204,996,1200,,0.37150000000000005,0.3715,,,,,4.945000115898438,0,1,201,0.06862745098039216,0.5441176470588235,0.6225970983505249,0.6225970983505249,0.9896825551986694,0.024107672053898497,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.3333333333333333,0.6666666666666666,0.029411764705882353,0.9568034835714155,0.004901960784313725,0.1887375813553578,0.6325340441950446,1.5461943302545533
MaxLoss,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,100,100,5000,0,104,1333,1437,0.31049048609565943,0.38449999999999995,0.3845,,,,,1.1008789769839495,0,0,101,0.10576923076923077,0.5865384615384616,0.6243669390678406,0.6243669390678406,0.9868271350860596,0.043573072523746675,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.3557692307692308,0.6442307692307693,0.0673076923076923,0.9545097554699026,0.009615384615384616,0.22695592281711685,0.6239349173661487,1.5251742424505859
MaxLoss,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,200,200,5000,0,204,598,802,0.17887246276950464,0.345,0.345,,,,,2.9898188390070572,0,1,201,0.09313725490196079,0.553921568627451,0.6100432276725769,0.6100432276725769,0.9915282726287842,0.02441500731069466,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.3872549019607843,0.6127450980392157,0.03431372549019608,0.9436340382332622,0.004901960784313725,0.19110931747904422,0.632000403567215,1.5448898753865257
PU-R,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,100,100,5000,0,104,1554,1658,0.3557156634051353,0.36975,0.36975,,,,,2.1489162900252268,0,0,101,0.019230769230769232,0.5,0.622681200504303,0.622681200504303,0.9895482659339905,0.04078487179567585,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.2692307692307692,0.7307692307692307,0.038461538461538464,0.9688774594838879,0.009615384615384616,0.22289478054444753,0.6248486743774994,1.527407870700554
PU-R,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,200,200,5000,0,204,910,1114,0.2438971732626669,0.33225000000000005,0.33225,,,,,5.707328882999718,0,1,201,0.0392156862745098,0.5098039215686274,0.5918982625007629,0.5918982625007629,0.9928327798843384,0.02418732213595047,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.3235294117647059,0.6764705882352942,0.029411764705882353,0.9591650736321445,0.004901960784313725,0.19267395453679503,0.6316483602292211,1.5440293250047628
PU-R-Manifold,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,100,100,5000,0,104,1421,1525,0.3285290279891342,0.37625,0.37625,,,,,2.4889174519339576,0,0,101,0.038461538461538464,0.4230769230769231,0.621690034866333,0.621690034866333,0.9903690814971924,0.038901788254892364,0.9805825242718447,0.9902912621359223,0.9805825242718447,0.16346153846153846,0.8365384615384616,0.04807692307692308,0.9774728264396677,0.009615384615384616,0.2217366432406269,0.6251092552708589,1.5280448462176552
PU-R-Manifold,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,200,200,5000,0,204,994,1198,0.26127811637707055,0.32075,0.32075,,,,,6.939322851016186,0,1,201,0.029411764705882353,0.4215686274509804,0.5950533747673035,0.5950533747673035,0.9913879632949829,0.022255394552728812,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.2647058823529412,0.7352941176470589,0.029411764705882353,0.9634116489117305,0.004901960784313725,0.19119913711902659,0.631980194148219,1.5448404745845357
GREATS,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,100,100,5000,0,104,1425,1529,,0.40275000000000005,0.40275,,,,,2.036903109983541,0,0,101,0.057692307692307696,0.5096153846153846,0.6460151672363281,0.6460151672363281,0.988933265209198,0.043492797291973265,0.970873786407767,0.9805825242718447,0.9611650485436893,0.2403846153846154,0.7596153846153846,0.038461538461538464,0.9710001115116309,0.009615384615384616,0.22564403797999938,0.6242300914545001,1.5258957791110004
GREATS,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,200,200,5000,0,204,1006,1210,,0.33425000000000005,0.33425,,,,,4.844603820005432,0,1,201,0.058823529411764705,0.46078431372549017,0.6329909563064575,0.6329909563064575,0.9932918548583984,0.02487821429233833,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.27941176470588236,0.7205882352941176,0.024509803921568627,0.9678082007418215,0.004901960784313725,0.18942681876243964,0.6323789657784511,1.5458152496806583
MaxLoss,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,100,100,5000,0,104,1244,1348,0.29220378608442843,0.38825,0.38825,,,,,1.1071156380930915,0,0,101,0.019230769230769232,0.3557692307692308,0.6440432667732239,0.6440432667732239,0.9879807829856873,0.049401316900276444,0.9611650485436893,0.970873786407767,0.941747572815534,0.15384615384615385,0.8461538461538461,0.04807692307692308,0.9790786350514754,0.009615384615384616,0.23818082745091174,0.6214093138235449,1.5190005449019988
MaxLoss,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,200,200,5000,0,204,768,972,0.21440120006445795,0.33725000000000005,0.33725,,,,,2.9948522760532796,0,1,201,0.05392156862745098,0.38235294117647056,0.6128945350646973,0.6128945350646973,0.9910622835159302,0.026846148369586088,0.9901477832512315,0.9852216748768473,0.9802955665024631,0.19607843137254902,0.803921568627451,0.03431372549019608,0.9745417567316597,0.004901960784313725,0.19948621495817598,0.6301156016344104,1.5402825817730033
PU-R,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,100,100,5000,0,104,1253,1357,0.2940550438943319,0.37375,0.37375,,,,,2.078186656930484,0,0,101,0.04807692307692308,0.3942307692307692,0.6200215220451355,0.6200215220451355,0.9879233241081238,0.04134340470349326,0.9902912621359223,0.970873786407767,0.970873786407767,0.14423076923076922,0.8557692307692307,0.04807692307692308,0.9836741478670339,0.009615384615384616,0.22529652748696005,0.624308281315434,1.526086909882172
PU-R,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,200,200,5000,0,204,748,952,0.21023436554241925,0.3025,0.3025,,,,,5.485298746963963,0,1,201,0.05392156862745098,0.4068627450980392,0.6021085381507874,0.6021085381507874,0.993350088596344,0.023767108242188036,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.2107843137254902,0.7892156862745098,0.029411764705882353,0.9749310516180065,0.004901960784313725,0.1910366010048484,0.6320167647739091,1.5449298694473335
PU-R-Manifold,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,100,100,5000,0,104,1230,1334,0.289323118631728,0.3295,0.3295,,,,,2.5778626590035856,0,0,101,0.04807692307692308,0.46153846153846156,0.6184819340705872,0.6184819340705872,0.9904918670654297,0.03978618874567226,0.9902912621359223,0.970873786407767,0.970873786407767,0.19230769230769232,0.8076923076923077,0.028846153846153848,0.9823560455204572,0.009615384615384616,0.2211498872120517,0.6252412753772884,1.5283675620333717
PU-R-Manifold,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,200,200,5000,0,204,921,1125,0.246175964246504,0.30325,0.30325,,,,,6.802782451966777,0,1,201,0.049019607843137254,0.4264705882352941,0.6047675013542175,0.6047675013542175,0.9941955804824829,0.0245049603279391,0.9852216748768473,0.9950738916256158,0.9852216748768473,0.2549019607843137,0.7450980392156863,0.029411764705882353,0.9697947299866402,0.004901960784313725,0.19106363431800505,0.6320106822784489,1.5449150011250974
GREATS,manifold_group_noise_fashion_mnist,8,0.1,0.0,support,100,100,5000,0,104,1362,1466,,0.36750000000000005,0.3675,,,,,2.121740072965622,0,0,101,0.08653846153846154,0.5673076923076923,0.6480605006217957,0.6480605006217957,0.984870433807373,0.04181186934408632,0.9805825242718447,0.9805825242718447,0.970873786407767,0.27884615384615385,0.7211538461538461,0.04807692307692308,0.9716956283532403,0.009615384615384616,0.2212640556641559,0.625215587475565,1.5283047693847145
