method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,boundary_duplicate_mnist,2,0.3,0.5,100,100,2500,2500,104,1171,1275,0.5457827599020675,0.4885692268173645,0.4885692268173645,,,,,1.151820414699614,0,1,101,0.2403846153846154,0.9519230769230769,0.6296181678771973,0.6296181678771973,0.9967433214187622,0.02893672785292226,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.2781710079264945,0.04807692307692308,0.19688626772944476,1.4015568661352775
PU-R,boundary_duplicate_mnist,2,0.3,0.5,100,100,2500,2500,104,1139,1243,0.5329666216275655,0.47521191882866687,0.4752119188286668,,,,,1.6803764728829265,0,1,101,0.28846153846153844,0.6826923076923077,0.5588530898094177,0.5588530898094177,0.9878660440444946,0.04454204675208018,0.9902912621359223,0.970873786407767,0.970873786407767,0.9014296082981941,0.3173076923076923,0.2305022546932362,1.3847488726533819
GREATS,boundary_duplicate_mnist,2,0.3,0.5,100,100,2500,2500,104,1152,1256,,0.42640637040842533,0.4264063704084254,,,,,1.6704533156007528,0,1,101,0.3173076923076923,0.8557692307692307,0.6667979955673218,0.6667979955673218,0.999765932559967,0.057614422014471395,0.8932038834951457,0.912621359223301,0.8640776699029126,0.5952124653513117,0.14423076923076922,0.2512412312255395,1.3743793843872303
MaxLoss,boundary_duplicate_mnist,2,0.3,0.6,100,100,2000,3000,104,925,1029,0.5541626635240391,0.46801952221936804,0.4680195222193681,,,,,0.9095694934949279,0,1,101,0.38461538461538464,0.8076923076923077,0.6398882269859314,0.6398882269859314,0.9999774098396301,0.06014931003011546,0.8932038834951457,0.9223300970873787,0.8640776699029126,0.7062740891876007,0.19230769230769232,0.2587098192470044,1.3706450903764977
Marginal,boundary_duplicate_mnist,2,0.3,0.6,100,100,2000,3000,104,884,988,0.5336436284705997,0.5538145389160031,0.5538145389160031,,,,,1.0457621002569795,0,1,101,0.25961538461538464,0.7980769230769231,0.5915398597717285,0.5915398597717285,0.9935192465782166,0.030350149404574006,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.7257576154473544,0.20192307692307693,0.20527288766237226,1.3973635561688138
PU-R,boundary_duplicate_mnist,2,0.3,0.6,100,100,2000,3000,104,924,1028,0.5536630051792599,0.468790136141793,0.46879013614179293,,,,,1.5209934944286942,0,1,101,0.3557692307692308,0.6923076923076923,0.5797910690307617,0.5797910690307617,0.9886230230331421,0.04748838080219852,0.9902912621359223,0.970873786407767,0.970873786407767,0.8904916402194913,0.3076923076923077,0.23670957392694286,1.3816452130365287
GREATS,boundary_duplicate_mnist,2,0.3,0.6,100,100,2000,3000,104,922,1026,,0.4307731826354996,0.43077318263549963,,,,,1.4937004009261727,0,1,101,0.33653846153846156,0.7884615384615384,0.6573838591575623,0.6573838591575623,0.9999971389770508,0.06128458664255235,0.8640776699029126,0.8932038834951457,0.8349514563106796,0.7444131797881749,0.21153846153846154,0.2618145953943583,1.369092702302821
MaxLoss,boundary_duplicate_mnist,2,0.3,0.7,100,100,1500,3500,104,670,774,0.5612783944234252,0.4921654251220139,0.4921654251220139,,,,,0.8858996452763677,0,1,101,0.25961538461538464,0.75,0.6304165124893188,0.6304165124893188,0.9992049932479858,0.05779818573840035,0.8543689320388349,0.9320388349514563,0.8446601941747572,0.8112781244591328,0.25,0.25654975623997156,1.3717251218800142
Marginal,boundary_duplicate_mnist,2,0.3,0.7,100,100,1500,3500,104,658,762,0.5532862889231183,0.51425635756486,0.51425635756486,,,,,1.0042163832113147,0,1,101,0.3076923076923077,0.5673076923076923,0.6158815026283264,0.6158815026283264,0.9983733892440796,0.030911205659701842,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.9868884753797076,0.4326923076923077,0.20237264193556523,1.3988136790322174
PU-R,boundary_duplicate_mnist,2,0.3,0.7,100,100,1500,3500,104,672,776,0.5626092632883228,0.4330850244027742,0.4330850244027742,,,,,1.4263630798086524,0,1,101,0.25961538461538464,0.6923076923076923,0.5982550382614136,0.5982550382614136,0.9894275069236755,0.04905358361966402,0.9902912621359223,0.9514563106796117,0.9514563106796117,0.8904916402194913,0.3076923076923077,0.23626552846349794,1.381867235768251
GREATS,boundary_duplicate_mnist,2,0.3,0.7,100,100,1500,3500,104,648,752,,0.45723092730542003,0.45723092730542,,,,,1.3538386458531022,0,1,101,0.28846153846153844,0.7884615384615384,0.6765539050102234,0.6765539050102234,0.999972939491272,0.058776509848613184,0.8737864077669902,0.912621359223301,0.8543689320388349,0.7444131797881749,0.21153846153846154,0.25290232060197304,1.3735488396990134
