method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
GREATS,volume_gap_fashion_mnist,1,0.1,0.0,support,50,50,5000,0,54,2487,2541,,0.42274999999999996,0.42275,,,,,1.203013602993451,0,0,51,0.35185185185185186,0.5925925925925926,0.7454488277435303,0.7454488277435303,0.9999933242797852,0.07425973381636278,0.8113207547169812,0.7735849056603774,0.7735849056603774,0.2962962962962963,0.7037037037037037,0.037037037037037035,0.9836825863822729,0.018518518518518517,0.27659851485615533,0.8563810396006912,2.4468029702876892
GREATS,volume_gap_fashion_mnist,1,0.1,0.0,support,100,100,5000,0,104,2281,2385,,0.37175,0.37175,,,,,2.653864821069874,0,0,101,0.3173076923076923,0.5961538461538461,0.7200525403022766,0.7200525403022766,0.9999998807907104,0.055798297078864086,0.8155339805825242,0.8737864077669902,0.8058252427184466,0.34615384615384615,0.6538461538461539,0.038461538461538464,0.9734957633198086,0.009615384615384616,0.2634524804870629,0.865583263659056,2.4730950390258744
GREATS,volume_gap_fashion_mnist,1,0.1,0.0,support,200,200,5000,0,204,1106,1310,,0.33025000000000004,0.33025,,,,,6.010587532073259,0,1,201,0.27941176470588236,0.6764705882352942,0.6863897442817688,0.6863897442817688,0.9999993443489075,0.03229179097513847,0.8522167487684729,0.9064039408866995,0.8472906403940886,0.5196078431372549,0.4803921568627451,0.058823529411764705,0.9328465362397824,0.004901960784313725,0.24145583246318042,0.8809809172757737,2.5170883350736393
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.2,support,50,50,4000,1000,54,340,394,0.11505947384284809,0.34624999999999995,0.34625,,,,,0.5568124889396131,0,0,51,0.9074074074074074,0.9444444444444444,0.6926219463348389,0.6926219463348389,1.0,0.04376633479347769,0.9245283018867925,0.8867924528301887,0.8867924528301887,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.8962423191574082,0.018518518518518517,0.24479605542113836,0.8786427612052031,2.5104078891577233
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.2,support,100,100,4000,1000,104,293,397,0.11586701427586377,0.35775,0.35775,,,,,1.253953011939302,0,0,101,0.9519230769230769,0.9711538461538461,0.604881763458252,0.604881763458252,0.9999996423721313,0.03534087867846767,0.9223300970873787,0.8737864077669902,0.8737864077669902,0.7115384615384616,0.28846153846153844,0.08653846153846154,0.9392025298467759,0.009615384615384616,0.26254807129985,0.8662163500901049,2.4749038574003
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.2,support,200,200,4000,1000,204,194,398,0.11613613163353875,0.37324999999999997,0.37325,,,,,3.231221687979996,0,1,201,0.9705882352941176,0.9754901960784313,0.5706227421760559,0.5706227421760559,0.9999997615814209,0.02433291934614111,0.9359605911330049,0.9261083743842364,0.9113300492610837,0.8186274509803921,0.18137254901960784,0.05392156862745098,0.9603073986100981,0.004901960784313725,0.2622159845725761,0.8664488107991966,2.4755680308548476
PU-R,volume_gap_fashion_mnist,1,0.1,0.2,support,50,50,4000,1000,54,338,392,0.11452095553977415,0.35150000000000003,0.3515,,,,,0.7694269149797037,0,0,51,0.8333333333333334,0.8333333333333334,0.651432454586029,0.651432454586029,0.9999634027481079,0.07044331406084996,0.8867924528301887,0.8113207547169812,0.8113207547169812,0.37037037037037035,0.6296296296296297,0.05555555555555555,0.9718498050526347,0.018518518518518517,0.28094314153617916,0.8533398009246745,2.4381137169276417
PU-R,volume_gap_fashion_mnist,1,0.1,0.2,support,100,100,4000,1000,104,284,388,0.11344353610184044,0.356,0.356,,,,,1.7965133419493213,0,0,101,0.9134615384615384,0.9134615384615384,0.6006341576576233,0.6006341576576233,0.9999983310699463,0.04718401232390728,0.8737864077669902,0.8543689320388349,0.8446601941747572,0.6538461538461539,0.34615384615384615,0.07692307692307693,0.9330560102883141,0.009615384615384616,0.2756185026044034,0.8570670481769176,2.4487629947911933
PU-R,volume_gap_fashion_mnist,1,0.1,0.2,support,200,200,4000,1000,204,192,396,0.11559786554425955,0.35875,0.35875,,,,,4.9991891799727455,0,1,201,0.9362745098039216,0.9362745098039216,0.5773440003395081,0.5773440003395081,0.9999996423721313,0.03154100850224495,0.9014778325123153,0.8916256157635468,0.8768472906403941,0.7794117647058824,0.22058823529411764,0.05392156862745098,0.9356201000891351,0.004901960784313725,0.2692454712148322,0.8615281701496174,2.4615090575703356
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.2,support,50,50,4000,1000,54,345,399,0.11640521773369983,0.382,0.382,,,,,0.8041784430388361,0,0,51,0.7777777777777778,0.7962962962962963,0.6664814352989197,0.6664814352989197,0.9999984502792358,0.07282453923011725,0.8490566037735849,0.7735849056603774,0.7735849056603774,0.3333333333333333,0.6666666666666666,0.05555555555555555,0.9706763334392128,0.018518518518518517,0.2786991648671076,0.8549105845930247,2.442601670265785
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.2,support,100,100,4000,1000,104,297,401,0.11694329680176452,0.38749999999999996,0.3875,,,,,1.9337529150070623,0,0,101,0.8846153846153846,0.8942307692307693,0.6043552756309509,0.6043552756309509,0.999997615814209,0.05000028263741327,0.8640776699029126,0.8543689320388349,0.8446601941747572,0.625,0.375,0.07692307692307693,0.9236909534053874,0.009615384615384616,0.27451533423321756,0.8578392660367476,2.4509693315335648
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.2,support,200,200,4000,1000,204,204,408,0.1188256045570597,0.39025,0.39025,,,,,5.674845051020384,0,1,201,0.9313725490196079,0.9362745098039216,0.5749245882034302,0.5749245882034302,0.9999997019767761,0.03246905907915144,0.9064039408866995,0.8817733990147784,0.8817733990147784,0.7794117647058824,0.22058823529411764,0.05392156862745098,0.9372955291922777,0.004901960784313725,0.26865456255480674,0.8619418062116353,2.4626908748903866
GREATS,volume_gap_fashion_mnist,1,0.1,0.2,support,50,50,4000,1000,54,357,411,,0.33399999999999996,0.334,,,,,0.7996646240353584,0,0,51,0.24074074074074073,0.35185185185185186,0.779620885848999,0.779620885848999,0.9999285936355591,0.08201218354252149,0.7358490566037735,0.7735849056603774,0.6792452830188679,0.1111111111111111,0.8888888888888888,0.07407407407407407,0.9840045017660525,0.018518518518518517,0.24558725516742658,0.8780889213828014,2.508825489665147
GREATS,volume_gap_fashion_mnist,1,0.1,0.2,support,100,100,4000,1000,104,317,421,,0.32875,0.32875,,,,,1.702754967031069,0,0,101,0.40384615384615385,0.4423076923076923,0.7803763747215271,0.7803763747215271,0.9999982118606567,0.05442779793322665,0.8932038834951457,0.8737864077669902,0.8446601941747572,0.25,0.75,0.11538461538461539,0.9296376105215001,0.009615384615384616,0.21912526544899621,0.8966123141857026,2.5617494691020077
GREATS,volume_gap_fashion_mnist,1,0.1,0.2,support,200,200,4000,1000,204,230,434,,0.30174999999999996,0.30175,,,,,4.126446456997655,0,1,201,0.6323529411764706,0.7107843137254902,0.7703502178192139,0.7703502178192139,0.9999998807907104,0.030702793833070202,0.9408866995073891,0.9261083743842364,0.9064039408866995,0.5637254901960784,0.4362745098039216,0.08823529411764706,0.8385023363237639,0.004901960784313725,0.20533558277612074,0.9062650920567155,2.5893288344477585
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.4,support,50,50,3000,2000,54,251,305,0.120974114688579,0.33999999999999997,0.34,,,,,0.5796983330510557,0,0,51,0.8888888888888888,0.9444444444444444,0.652862548828125,0.652862548828125,0.9999989867210388,0.04242017464536541,0.9622641509433962,0.9245283018867925,0.9245283018867925,0.6666666666666666,0.3333333333333333,0.12962962962962962,0.9271582696223779,0.018518518518518517,0.24705530644694335,0.8770612854871396,2.505889387106113
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.4,support,100,100,3000,2000,104,202,306,0.1213360158726573,0.34724999999999995,0.34725,,,,,1.2959547439822927,0,0,101,0.9423076923076923,0.9711538461538461,0.5927477478981018,0.5927477478981018,0.9999995231628418,0.03004701345146281,0.9514563106796117,0.9320388349514563,0.9320388349514563,0.7403846153846154,0.25961538461538464,0.07692307692307693,0.9574789558070205,0.009615384615384616,0.24327449925791153,0.8797078505194619,2.513451001484177
MaxLoss,volume_gap_fashion_mnist,1,0.1,0.4,support,200,200,3000,2000,204,101,305,0.120974114688579,0.34850000000000003,0.3485,,,,,3.389062882051803,0,1,201,0.9705882352941176,0.9852941176470589,0.5638121366500854,0.5638121366500854,0.9999995231628418,0.01877216259797512,0.9605911330049262,0.9507389162561576,0.9507389162561576,0.8333333333333334,0.16666666666666666,0.05392156862745098,0.9697289160602327,0.004901960784313725,0.22872196654771584,0.8898946234165989,2.5425560669045684
PU-R,volume_gap_fashion_mnist,1,0.1,0.4,support,50,50,3000,2000,54,249,303,0.12025012710364535,0.34575,0.34575,,,,,0.765293239033781,0,0,51,0.8148148148148148,0.8518518518518519,0.6868672966957092,0.6868672966957092,0.9999737739562988,0.056076982041012566,0.9433962264150944,0.9056603773584906,0.8867924528301887,0.35185185185185186,0.6481481481481481,0.09259259259259259,0.966290959523684,0.018518518518518517,0.24187887213864573,0.8806847895029479,2.5162422557227084
PU-R,volume_gap_fashion_mnist,1,0.1,0.4,support,100,100,3000,2000,104,201,305,0.120974114688579,0.36850000000000005,0.3685,,,,,1.7763552110409364,0,0,101,0.9038461538461539,0.9230769230769231,0.6123247146606445,0.6123247146606445,0.9999575614929199,0.03881726871488742,0.9320388349514563,0.883495145631068,0.8737864077669902,0.625,0.375,0.057692307692307696,0.9558666910202454,0.009615384615384616,0.24301306878790543,0.879890851848466,2.513973862424189
PU-R,volume_gap_fashion_mnist,1,0.1,0.4,support,200,200,3000,2000,204,102,306,0.1213360158726573,0.36075,0.36075,,,,,5.003846541047096,0,1,201,0.9509803921568627,0.9558823529411765,0.5700520873069763,0.5700520873069763,0.999999463558197,0.023915840266960597,0.9507389162561576,0.9211822660098522,0.9113300492610837,0.803921568627451,0.19607843137254902,0.049019607843137254,0.9476777314261176,0.004901960784313725,0.23152332765285075,0.8879336706430044,2.5369533446942985
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.4,support,50,50,3000,2000,54,252,306,0.1213360158726573,0.35575,0.35575,,,,,0.7787072058999911,0,0,51,0.7962962962962963,0.8333333333333334,0.6624339818954468,0.6624339818954468,0.9999837875366211,0.06768426292066304,0.9056603773584906,0.8490566037735849,0.8490566037735849,0.2962962962962963,0.7037037037037037,0.05555555555555555,0.9810187923126329,0.018518518518518517,0.26315913034902344,0.8657886087556835,2.473681739301953
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.4,support,100,100,3000,2000,104,205,309,0.12242135201813653,0.36524999999999996,0.36525,,,,,1.8919970738934353,0,0,101,0.8942307692307693,0.9134615384615384,0.6141106486320496,0.6141106486320496,0.9999672174453735,0.044086464382346396,0.912621359223301,0.883495145631068,0.8737864077669902,0.6153846153846154,0.38461538461538464,0.057692307692307696,0.9592610881703026,0.009615384615384616,0.2471157665290902,0.8770189634296368,2.5057684669418196
PU-R-Vol,volume_gap_fashion_mnist,1,0.1,0.4,support,200,200,3000,2000,204,101,305,0.120974114688579,0.35824999999999996,0.35825,,,,,5.621564956963994,0,1,201,0.946078431372549,0.9509803921568627,0.5690651535987854,0.5690651535987854,0.9999991655349731,0.027007685240192952,0.9359605911330049,0.916256157635468,0.9113300492610837,0.7990196078431373,0.20098039215686275,0.049019607843137254,0.9451340465384815,0.004901960784313725,0.23532187556826617,0.8852746871022136,2.5293562488634675
GREATS,volume_gap_fashion_mnist,1,0.1,0.4,support,50,50,3000,2000,54,268,322,,0.33399999999999996,0.334,,,,,0.7679796089651063,0,0,51,0.35185185185185186,0.46296296296296297,0.7376817464828491,0.7376817464828491,0.9999499917030334,0.08132590676816005,0.8113207547169812,0.7924528301886793,0.7547169811320755,0.18518518518518517,0.8148148148148148,0.1111111111111111,0.965028089218825,0.018518518518518517,0.26696765675381723,0.8631226402723279,2.4660646864923654
