method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.3,0.5,support,2500,2500,800,322,1122,0.4842907820129767,0.3275,0.3275,,,,,50.70935585198458,0,797,0.5525,0.0,0.5911133289337158,0.5911133289337158,0.9906831979751587,0.009830864619589569,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1721378788503614,1.4139310605748192
Marginal,mnist,0,0.3,0.5,support,2500,2500,800,611,1411,0.5999840322183445,0.24470000000000003,0.2447,,,,,51.53820791793987,0,797,0.29625,0.0,0.5824249982833862,0.5824249982833862,0.9894260764122009,0.00877652092089641,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16696874892758545,1.4165156255362072
PU-R,mnist,0,0.3,0.5,support,2500,2500,800,425,1225,0.5257471021614037,0.30369999999999997,0.3037,,,,,97.81740729894955,0,797,0.47875,0.0,0.5789064168930054,0.5789064168930054,0.9928151965141296,0.009225143912307759,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16740577200849815,1.416297113995751
GREATS,mnist,0,0.3,0.5,support,2500,2500,800,602,1402,,0.27690000000000003,0.2769,,,,,57.152086081914604,0,797,0.3275,0.0,0.5900284647941589,0.5900284647941589,0.9917118549346924,0.011129011182074851,0.9949937421777222,0.9974968710888611,0.9937421777221527,0.0,0.0,0.17419425565401994,1.4129028721729902
MaxLoss,mnist,0,0.3,0.6,support,2000,3000,800,80,880,0.4792695876676589,0.2996,0.2996,,,,,51.689718395937234,0,797,0.51125,0.0,0.596421480178833,0.596421480178833,0.9878575205802917,0.009923819743926744,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.17066654161442113,1.4146667291927895
Marginal,mnist,0,0.3,0.6,support,2000,3000,800,369,1169,0.6237112990347669,0.26080000000000003,0.2608,,,,,52.62068254197948,0,797,0.30625,0.0,0.5849695205688477,0.5849695205688477,0.9919341802597046,0.008631959199108119,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16552033953761572,1.4172398302311922
PU-R,mnist,0,0.3,0.6,support,2000,3000,800,223,1023,0.5511641082121059,0.2864,0.2864,,,,,97.24808392301202,0,797,0.46875,0.0,0.6038669347763062,0.6038669347763062,0.986941933631897,0.010338043796367132,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1703427501297487,1.4148286249351256
GREATS,mnist,0,0.3,0.6,support,2000,3000,800,355,1155,,0.25670000000000004,0.2567,,,,,57.10793110297527,0,797,0.36,0.0,0.5941001772880554,0.5941001772880554,0.9925199747085571,0.010676090863156826,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.17460598038607547,1.4126970098069622
MaxLoss,mnist,0,0.3,0.7,support,1500,3500,705,0,705,0.5151629272731952,0.27980000000000005,0.2798,,,,,40.395294015994295,1,702,0.4794326241134752,0.0,0.6168137788772583,0.6168137788772583,0.9906466603279114,0.011207122101702473,0.9971590909090909,0.9957386363636364,0.9957386363636364,0.0,0.0,0.1730719354248775,1.4134640322875613
Marginal,mnist,0,0.3,0.7,support,1500,3500,800,159,959,0.6829504826455377,0.26459999999999995,0.2646,,,,,53.463111054035835,0,797,0.33875,0.0,0.595923125743866,0.595923125743866,0.991506040096283,0.009262941022390716,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.0,0.0,0.171254909714295,1.4143725451428524
